term 	 tf-idf weight 	 BM25 ranking 
 peace 	 314.7974920883068 1.7858844248440802 
education 	 442.04126765966555 1.4709344492304468 
center 	 632.1196291104578 1.4709344492304468 
newsletter 	 1498.30993339111 1.4709344492304468 
guatemala 	 304.4327582799608 1.9139488829342346 
dove 	 994.163432375883 1.6951451786207865 
fly 	 1541.1916632638452 1.4709344492304468 
gif 	 70.325857910426 1.6951451786207865 
index 	 176.98809968733207 1.4709344492304468 
htm 	 133.5082327711635 1.6951451786207865 
chris 	 935.6201306319456 1.6951451786207865 
sara 	 1780.4208358790077 1.4709344492304468 
theule 	 2435.4620662396865 1.4709344492304468 
lubienski 	 1217.7310331198432 1.6951451786207865 
report 	 641.9273326031355 1.4709344492304468 
christmas 	 1871.2402612638912 1.4709344492304468 
break 	 1177.407787722852 1.4709344492304468 
witness 	 1498.30993339111 1.4709344492304468 
delegation 	 1391.527677752841 1.4709344492304468 
happened 	 513.7305544212817 1.7858844248440802 
run 	 934.0881284153144 1.4709344492304468 
jennifer 	 811.8206887465622 1.7858844248440802 
harbury 	 347.92315231995525 1.9022566465498494 
planned 	 1237.0754017189452 1.4709344492304468 
trip 	 1391.527677752841 1.4709344492304468 
view 	 667.5332595452371 1.4709344492304468 
wfp's 	 1217.7310331198432 1.6951451786207865 
mission 	 1064.9726634351916 1.4709344492304468 
alignment 	 2435.4620662396865 1.4709344492304468 
philosophy 	 522.3665573621731 1.4709344492304468 
contact 	 328.5483951428044 1.6951451786207865 
admit 	 1871.2402612638912 1.4709344492304468 
constant 	 1498.30993339111 1.4709344492304468 
surveillance 	 1589.1293587759933 1.4709344492304468 
agents 	 618.5377008594726 1.6951451786207865 
guatemalan 	 347.92315231995525 1.9022566465498494 
military 	 105.21234962745174 1.9022566465498494 
association 	 789.9402002310246 1.4709344492304468 
impugn 	 2435.4620662396865 1.4709344492304468 
standing 	 1333.285634391087 1.4709344492304468 
term 	 797.1439281104807 1.4709344492304468 
volunteers 	 1871.2402612638912 1.4709344492304468 
tourist 	 1706.215962263868 1.4709344492304468 
visas 	 1988.326864751766 1.4709344492304468 
kicked 	 2153.351163751789 1.4709344492304468 
political 	 192.7111785286697 1.6951451786207865 
activity 	 819.553257423973 1.4709344492304468 
speak 	 1459.5186902107498 1.4709344492304468 
exciting 	 1871.2402612638912 1.4709344492304468 
character 	 1094.0564617759244 1.4709344492304468 
texas 	 695.7638388764206 1.6951451786207865 
attorney 	 1141.9941572880728 1.4709344492304468 
educated 	 1780.4208358790077 1.4709344492304468 
tlarvard 	 2435.4620662396865 1.4709344492304468 
refugees 	 1589.1293587759933 1.4709344492304468 
fleeing 	 1871.2402612638912 1.4709344492304468 
mid 	 1237.0754017189452 1.4709344492304468 
