term 	 tf-idf weight 	 BM25 ranking 
 srl 	 459.01324900976897 1.7967546985677316 
raco 	 156.33036774461058 1.94499647135738 
biomass 	 84.65262560203593 1.9721147894341744 
map 	 113.14055554184475 1.9273281630540018 
michigan 	 134.4308452962549 1.9273281630540018 
produced 	 339.4216666255343 1.7967546985677316 
data 	 107.51175599891333 1.8929373543626933 
acquired 	 376.2449718993622 1.7967546985677316 
spaceborne 	 447.87579275509637 1.7967546985677316 
imaging 	 129.68521819821865 1.9273281630540018 
radar 	 61.715068316349324 1.9629917165417181 
band 	 395.9762589172513 1.7967546985677316 
synthetic 	 437.63032617288366 1.7967546985677316 
aperture 	 447.87579275509637 1.7967546985677316 
sir 	 359.15295364342336 1.7967546985677316 
sar 	 419.31341818687747 1.7967546985677316 
onboard 	 625.3214709784423 1.7967546985677316 
space 	 267.79084576980017 1.7967546985677316 
shuttle 	 419.31341818687747 1.7967546985677316 
endeavour 	 471.21295202472254 1.7967546985677316 
amount 	 151.87317555474982 1.8929373543626933 
plant 	 376.2449718993622 1.7967546985677316 
material 	 246.20713857801871 1.7967546985677316 
earth's 	 559.9357911363956 1.7967546985677316 
surface 	 411.0524874812684 1.7967546985677316 
directly 	 153.62670990278914 1.8929373543626933 
sense 	 307.2534198055783 1.7967546985677316 
quantity 	 588.4981657046144 1.7967546985677316 
organizational 	 437.63032617288366 1.7967546985677316 
structure 	 223.97821133951118 1.7967546985677316 
woody 	 677.2210048162874 1.7967546985677316 
forest 	 209.65670909343874 1.8929373543626933 
science 	 139.97915551557588 1.7967546985677316 
team 	 364.6005842890292 1.7967546985677316 
university 	 307.2534198055783 1.7967546985677316 
estimate 	 484.6990980289243 1.7967546985677316 
standing 	 419.31341818687747 1.7967546985677316 
site 	 255.35388596773325 1.7967546985677316 
upper 	 364.6005842890292 1.7967546985677316 
peninsula 	 559.9357911363956 1.7967546985677316 
detailed 	 135.21505726587517 1.8929373543626933 
surveys 	 499.7753265929414 1.7967546985677316 
stands 	 484.6990980289243 1.7967546985677316 
assess 	 447.87579275509637 1.7967546985677316 
accuracy 	 459.01324900976897 1.7967546985677316 
techniques 	 127.67694298386662 1.8929373543626933 
seasonal 	 484.6990980289243 1.7967546985677316 
growth 	 235.6225989498442 1.7967546985677316 
terrestrial 	 588.4981657046144 1.7967546985677316 
plants 	 447.87579275509637 1.7967546985677316 
forests 	 516.8673448488803 1.7967546985677316 
particular 	 241.86773996353148 1.7967546985677316 
leads 	 471.21295202472254 1.7967546985677316 
temporary 	 471.21295202472254 1.7967546985677316 
storage 	 516.8673448488803 1.7967546985677316 
amounts 	 411.0524874812684 1.7967546985677316 
carbon 	 499.7753265929414 1.7967546985677316 
affect 	 287.52213278768926 1.7967546985677316 
changes 	 211.60997637131 1.7967546985677316 
global 	 153.62670990278914 1.8929373543626933 
climate 	 303.74635110949964 1.7967546985677316 
accurately 	 588.4981657046144 1.7967546985677316 
predict 	 484.6990980289243 1.7967546985677316 
future 	 194.30760474017364 1.7967546985677316 
change 	 205.04443468970354 1.7967546985677316 
scientists 	 437.63032617288366 1.7967546985677316 
information 	 106.32251983224465 1.7967546985677316 
current 	 180.38083867952736 1.7967546985677316 
distribution 	 307.2534198055783 1.7967546985677316 
vegetation 	 516.8673448488803 1.7967546985677316 
types 	 253.00519621820408 1.7967546985677316 
globe 	 516.8673448488803 1.7967546985677316 
optical 	 536.5986318667693 1.7967546985677316 
determine 	 297.00795322336563 1.7967546985677316 
net 	 297.00795322336563 1.7967546985677316 
frustrated 	 625.3214709784423 1.7967546985677316 
chronic 	 484.6990980289243 1.7967546985677316 
cloud 	 279.9678955681978 1.8929373543626933 
cover 	 151.87317555474982 1.8929373543626933 
penetrate 	 677.2210048162874 1.7967546985677316 
negligible 	 677.2210048162874 1.7967546985677316 
signal 	 447.87579275509637 1.7967546985677316 
losses 	 419.31341818687747 1.7967546985677316 
april 	 267.79084576980017 1.7967546985677316 
gif 	 22.11722312662046 1.8929373543626933 
icons 	 389.055654594656 1.7967546985677316 
yellow 	 370.29040989809596 1.7967546985677316 
index 	 55.662105061372245 1.7967546985677316 
html 	 50.29751042257071 1.7967546985677316 
home 	 57.165057749587696 1.7967546985677316 
page 	 62.83197918037017 1.7967546985677316 
updated 	 137.1240185537457 1.7967546985677316 
bruce 	 359.15295364342336 1.7967546985677316 
chapman 	 411.0524874812684 1.7967546985677316 
jpl 	 359.15295364342336 1.7967546985677316 
nasa 	 330.59057907520446 1.7967546985677316 
gov 	 297.00795322336563 1.7967546985677316 
