term 	 tf-idf weight 	 BM25 ranking 
 federal 	 535.5523420501635 1.579773775466964 
communications 	 96.7367099640878 1.8521927660870154 
commission 	 253.54734951883145 1.8185926229356804 
bandwidth 	 735.2412607988716 1.76522191015927 
forum 	 419.0596590010924 1.7247290509517434 
thursday 	 3785.535660747599 1.1123395330813486 
january 	 2095.298295005462 1.1123395330813486 
presentation 	 2793.4887640802963 1.1123395330813486 
daniel 	 3419.400668125927 1.1123395330813486 
weitzner 	 5403.494461460533 1.1123395330813486 
mailto 	 655.9761405194463 1.1123395330813486 
djw 	 5403.494461460533 1.1123395330813486 
cdt 	 554.0433537478183 1.76522191015927 
org 	 2302.6040158104456 1.1123395330813486 
deputy 	 2332.2132258196066 1.1123395330813486 
director 	 2142.8355863427983 1.1123395330813486 
center 	 1402.4668921050206 1.1123395330813486 
democracy 	 2007.130756989246 1.1123395330813486 
technology 	 1691.375362112033 1.1123395330813486 
expanding 	 3087.345191672765 1.1123395330813486 
access 	 64.87437601436267 1.948177684316981 
national 	 1029.193522388425 1.1123395330813486 
information 	 125.0120252715064 1.76522191015927 
infrastructure 	 431.4893846882792 1.795329338206349 
individuals 	 512.5347213066358 1.6673571768910895 
community 	 198.82576812139675 1.795329338206349 
organizations 	 389.246256086176 1.7247290509517434 
architecture 	 115.8960691149981 1.8521927660870154 
affordable 	 303.86146640529876 1.8752912335885144 
digital 	 739.5312824663093 1.6673571768910895 
internet 	 18.69528560898094 1.9685809692037126 
speech 	 1123.0740667281507 1.429586356190496 
enhancing 	 3525.758749323641 1.1123395330813486 
medium 	 931.1629213600987 1.579773775466964 
print 	 2654.2907001962817 1.1123395330813486 
village 	 2246.1481334563014 1.1123395330813486 
green 	 2427.3537714586237 1.1123395330813486 
mails 	 4411.4475647932295 1.1123395330813486 
fairly 	 3525.758749323641 1.1123395330813486 
regarded 	 2958.1251298652373 1.1123395330813486 
worldwide 	 2654.2907001962817 1.1123395330813486 
conversation 	 3785.535660747599 1.1123395330813486 
ala 	 2193.0151619355925 1.1123395330813486 
department 	 1736.9144229371163 1.1123395330813486 
justice_ 	 5403.494461460533 1.1123395330813486 
supp 	 4777.582557414902 1.1123395330813486 
opinion 	 809.1179238195413 1.579773775466964 
dalzell 	 4777.582557414902 1.1123395330813486 
introduction 	 1853.0559151104667 1.1123395330813486 
overview 	 1567.1032578899617 1.1123395330813486 
guiding 	 3950.1720265325407 1.1123395330813486 
principles 	 1248.4247958022738 1.429586356190496 
experience 	 810.1181147053353 1.429586356190496 
commend 	 2205.7237823966148 1.429586356190496 
holding 	 2461.433287627135 1.1123395330813486 
explore 	 3324.26012248691 1.1123395330813486 
means 	 810.1181147053353 1.429586356190496 
providing 	 617.6853050368222 1.579773775466964 
widely 	 2744.6660632732373 1.1123395330813486 
available 	 282.656278524041 1.7247290509517434 
nii 	 5403.494461460533 1.1123395330813486 
particular 	 1706.301321773976 1.1123395330813486 
growth 	 554.0812678429929 1.579773775466964 
unique 	 561.5370333640753 1.6673571768910895 
opportunity 	 2095.298295005462 1.1123395330813486 
advance 	 1372.3330316366187 1.429586356190496 
core 	 2793.4887640802963 1.1123395330813486 
policy 	 287.06137495826414 1.7247290509517434 
goals 	 844.5706175521127 1.579773775466964 
americans 	 2461.433287627135 1.1123395330813486 
ready 	 2572.1431844765107 1.1123395330813486 
diversity 	 539.6991716872674 1.76522191015927 
sources 	 525.3901038595923 1.429586356190496 
communication 	 2219.1909077321393 1.1123395330813486 
opportunities 	 1136.96747061619 1.429586356190496 
brief 	 1752.6191666059342 1.1123395330813486 
remarks 	 3419.400668125927 1.1123395330813486 
hopes 	 3419.400668125927 1.1123395330813486 
offer 	 1096.5075809677962 1.429586356190496 
observations 	 2793.4887640802963 1.1123395330813486 
critical 	 589.5339615755644 1.579773775466964 
factors 	 1691.375362112033 1.1123395330813486 
lead 	 2219.1909077321393 1.1123395330813486 
dramatic 	 2958.1251298652373 1.1123395330813486 
characteristics 	 722.5256200115552 1.579773775466964 
rich 	 3159.623756701969 1.1123395330813486 
democratic 	 314.8634553777729 1.76522191015927 
discourse 	 1383.8902177897573 1.579773775466964 
lessons 	 3646.337596863585 1.1123395330813486 
future 	 1370.7794303154437 1.1123395330813486 
developments 	 798.171262924108 1.579773775466964 
shown 	 2427.3537714586237 1.1123395330813486 
choice 	 2095.298295005462 1.1123395330813486 
cost 	 203.9468203979449 1.8371073353294434 
service 	 105.44457156272645 1.8843294026391304 
essential 	 739.7303025773798 1.579773775466964 
widespread 	 3419.400668125927 1.1123395330813486 
manifests 	 4411.4475647932295 1.1123395330813486 
attributes 	 1975.0860132662704 1.429586356190496 
basic 	 311.82294792648617 1.76522191015927 
potential 	 370.6111830220933 1.7247290509517434 
enhance 	 3419.400668125927 1.1123395330813486 
decentralized 	 597.1978196768628 1.8185926229356804 
gatekeeper 	 2388.791278707451 1.429586356190496 
free 	 571.3449903405314 1.429586356190496 
directional 	 1592.527519138301 1.579773775466964 
interactive 	 647.6390060247209 1.7247290509517434 
capability 	 1396.7443820401481 1.429586356190496 
multiple 	 899.449406147093 1.579773775466964 
competitive 	 449.7247030735465 1.76522191015927 
standards 	 324.37188007181334 1.76522191015927 
considering 	 2698.348218441279 1.1123395330813486 
policies 	 1691.375362112033 1.1123395330813486 
promote 	 884.763566732094 1.579773775466964 
broader 	 3525.758749323641 1.1123395330813486 
advanced 	 1136.96747061619 1.429586356190496 
hope 	 1197.256894386162 1.429586356190496 
baseline 	 4777.582557414902 1.1123395330813486 
realized 	 4151.670653369272 1.1123395330813486 
broad 	 1166.1066129098033 1.429586356190496 
net 	 261.91228687568275 1.8185926229356804 
help 	 1554.2945324922252 1.1123395330813486 
bring 	 2167.5768600346655 1.1123395330813486 
cross 	 2461.433287627135 1.1123395330813486 
section 	 2302.6040158104456 1.1123395330813486 
population 	 1870.937687558917 1.1123395330813486 
encouraging 	 3324.26012248691 1.1123395330813486 
development 	 350.2600692397282 1.579773775466964 
options 	 899.449406147093 1.579773775466964 
strength 	 2899.8468452780103 1.1123395330813486 
derives 	 4151.670653369272 1.1123395330813486 
uniquely 	 4411.4475647932295 1.1123395330813486 
traditional 	 476.9499871526769 1.6673571768910895 
media 	 156.38920976964062 1.7247290509517434 
radio 	 1966.0782331979342 1.1123395330813486 
television 	 568.483735308095 1.6673571768910895 
readily 	 4411.4475647932295 1.1123395330813486 
country 	 489.7954636532772 1.579773775466964 
failed 	 2362.826326982747 1.1123395330813486 
enable 	 1079.3983433745348 1.579773775466964 
full 	 1554.2945324922252 1.1123395330813486 
architectural 	 1215.445865621195 1.579773775466964 
limitations 	 2958.1251298652373 1.1123395330813486 
example 	 531.0930012288361 1.579773775466964 
online 	 493.0208549775395 1.76522191015927 
discussions 	 2845.1028117777696 1.1123395330813486 
political 	 427.5631307405129 1.429586356190496 
issues 	 627.0506183944991 1.429586356190496 
users 	 299.8164687156977 1.8371073353294434 
exchange 	 714.2785287809328 1.579773775466964 
views 	 803.3285130752453 1.429586356190496 
pose 	 3525.758749323641 1.1123395330813486 
questions 	 1457.8830506828126 1.1123395330813486 
figures 	 2362.826326982747 1.1123395330813486 
broadcast 	 1108.0867074956366 1.579773775466964 
support 	 418.0337455963328 1.579773775466964 
internet's 	 2388.791278707451 1.429586356190496 
allows 	 899.449406147093 1.579773775466964 
simply 	 2394.513788772324 1.1123395330813486 
impossible 	 3020.4256928179543 1.1123395330813486 
supports 	 3020.4256928179543 1.1123395330813486 
ideas 	 611.8404611938347 1.579773775466964 
decentralized_ 	 5403.494461460533 1.1123395330813486 
network 	 320.8783047794716 1.795329338206349 
user 	 624.2123979011369 1.6673571768910895 
create 	 963.405588558175 1.429586356190496 
web 	 154.42132625920556 1.8752912335885144 
site 	 360.2883734825986 1.7247290509517434 
participate 	 2654.2907001962817 1.1123395330813486 
usenet 	 4777.582557414902 1.1123395330813486 
newsgroup 	 2388.791278707451 1.429586356190496 
obtaining 	 3324.26012248691 1.1123395330813486 
permission 	 2142.8355863427983 1.1123395330813486 
central 	 790.0481439046039 1.429586356190496 
authority 	 1966.0782331979342 1.1123395330813486 
page 	 55.40749726550221 1.8185926229356804 
publicly 	 3525.758749323641 1.1123395330813486 
accessible 	 3646.337596863585 1.1123395330813486 
millions 	 2793.4887640802963 1.1123395330813486 
world 	 250.2978196524733 1.6673571768910895 
connected 	 2958.1251298652373 1.1123395330813486 
computer 	 698.4327650018207 1.579773775466964 
pay 	 983.0391165989671 1.429586356190496 
operator 	 1709.7003340629635 1.429586356190496 
hosting 	 2388.791278707451 1.429586356190496 
guaranteed 	 3238.1950301236047 1.1123395330813486 
numerous 	 2246.1481334563014 1.1123395330813486 
hosts 	 4777.582557414902 1.1123395330813486 
chose 	 3950.1720265325407 1.1123395330813486 
