term 	 tf-idf weight 	 BM25 ranking 
 cprogram 	 161.56627957855414 1.9533904845972054 
interface 	 81.77002916554551 1.9648380029927663 
robot 	 30.255565572223645 1.9822630851597505 
follow 	 141.2985843378387 1.9089039407820374 
ups 	 184.6252938541853 1.9089039407820374 
post 	 106.73656715455485 1.9089039407820374 
followup 	 226.37754781879332 1.9089039407820374 
workspace 	 270.9351950368265 1.866398552515959 
user 	 223.96989692133818 1.866398552515959 
http 	 17.769732866408933 1.930891011017422 
www 	 17.61183792957481 1.930891011017422 
rosl 	 169.78316086409498 1.930891011017422 
com 	 19.548461840769765 1.930891011017422 
wwwboard 	 109.02670555406068 1.9533904845972054 
html 	 6.365778662856605 1.9717711440995442 
faq 	 141.7107000514172 1.930891011017422 
posted 	 596.3788924062894 1.7495287648185938 
taykw 	 484.69883873566243 1.866398552515959 
mailto 	 117.68342720282425 1.7495287648185938 
pacific 	 492.39856284636153 1.7495287648185938 
net 	 375.9006907983221 1.7495287648185938 
august 	 375.9006907983221 1.7495287648185938 
company 	 150.40095354701 1.866398552515959 
owns 	 316.2640738595957 1.866398552515959 
mitsubishi 	 372.4089954849513 1.866398552515959 
industrial 	 160.10485073183227 1.866398552515959 
micro 	 327.08011666218204 1.866398552515959 
model 	 169.46139458870167 1.866398552515959 
encountered 	 270.9351950368265 1.866398552515959 
program 	 95.57313411226863 1.866398552515959 
serial 	 395.7112433535455 1.866398552515959 
port 	 316.2640738595957 1.866398552515959 
function 	 172.83688299714768 1.866398552515959 
format 	 283.4214001028344 1.866398552515959 
send 	 85.59129023792885 1.866398552515959 
fputs 	 484.69883873566243 1.866398552515959 
string 	 354.3343678285003 1.866398552515959 
commands 	 298.1894462031447 1.866398552515959 
stdaux 	 484.69883873566243 1.866398552515959 
received 	 163.10519373794057 1.866398552515959 
respond 	 339.56632172818996 1.866398552515959 
cyber 	 372.4089954849513 1.866398552515959 
space 	 169.46139458870167 1.866398552515959 
tell 	 246.19928142318076 1.866398552515959 
thanks 	 327.08011666218204 1.866398552515959 
regards 	 265.3467724463834 1.866398552515959 
nick 	 372.4089954849513 1.866398552515959 
oakley 	 484.69883873566243 1.866398552515959 
xon 	 969.3976774713249 1.7495287648185938 
xoff 	 969.3976774713249 1.7495287648185938 
protocol 	 791.422486707091 1.7495287648185938 
epson 	 969.3976774713249 1.7495287648185938 
volker 	 708.6687356570006 1.7495287648185938 
pinkitz 	 969.3976774713249 1.7495287648185938 
taykheewee 	 323.1325591571083 1.9089039407820374 
name 	 317.29070357223065 1.7495287648185938 
mail 	 285.83742923279556 1.7495287648185938 
subject 	 143.2193161638047 1.7495287648185938 
comments 	 183.36877471634685 1.7495287648185938 
optional 	 260.1191522342401 1.866398552515959 
link 	 220.7930191559224 1.866398552515959 
url 	 298.1894462031447 1.866398552515959 
title 	 187.21085202835206 1.7495287648185938 
image 	 293.14693974823166 1.7495287648185938 
