term 	 tf-idf weight 	 BM25 ranking 
 visiont 	 353.05224056054425 1.9008871201494542 
gif 	 5.097328767463309 1.9742652895635602 
sneak 	 312.1565569075075 1.9008871201494542 
preview 	 312.1565569075075 1.9008871201494542 
yesterday's 	 312.1565569075075 1.9008871201494542 
vision_ 	 353.05224056054425 1.9008871201494542 
table 	 193.27727869551384 1.9008871201494542 
contents 	 144.9969696081907 1.9008871201494542 
ladies 	 312.1565569075075 1.9008871201494542 
library 	 30.876357318268457 1.9793591129256471 
association 	 114.51221575830577 1.9008871201494542 
ch1 	 353.05224056054425 1.9008871201494542 
htm 	 4.838443325244869 1.9870493243095677 
bement 	 96.07803850970859 1.9658335965015283 
family 	 100.72893953859698 1.9008871201494542 
ch2 	 353.05224056054425 1.9008871201494542 
building 	 58.30979131591422 1.9491844409756989 
ch3 	 353.05224056054425 1.9008871201494542 
ch4 	 176.52612028027212 1.9491844409756989 
ch5 	 353.05224056054425 1.9008871201494542 
tealhome 	 353.05224056054425 1.9008871201494542 
scrollm 	 353.05224056054425 1.9008871201494542 
misery 	 111.70799524885365 1.9491844409756989 
bay 	 56.89357860413454 1.9658335965015283 
anyway 	 247.33843187608898 1.9008871201494542 
http 	 12.943385668125025 1.9491844409756989 
www 	 12.828375775863135 1.9491844409756989 
miserybay 	 119.12177088314039 1.9491844409756989 
com 	 14.239003069202669 1.9491844409756989 
mbay 	 312.1565569075075 1.9008871201494542 
page 	 28.961615403451876 1.9008871201494542 
design 	 110.51068257431888 1.9008871201494542 
by_ 	 353.05224056054425 1.9008871201494542 
publications 	 109.55131184288383 1.9008871201494542 
