term 	 tf-idf weight 	 BM25 ranking 
 interferometry 	 682.5117939164146 1.795329338206349 
fort 	 130.22634274512805 1.9445786639814342 
irwin 	 170.62794847910365 1.9445786639814342 
california 	 166.58665898711476 1.8921460334241367 
image 	 77.81060746403679 1.926781199268284 
california's 	 682.5117939164146 1.795329338206349 
mojave 	 771.9277802086476 1.795329338206349 
desert 	 540.7908086782285 1.795329338206349 
compares 	 280.8683190282763 1.795329338206349 
interferometric 	 385.9638901043238 1.8921460334241367 
radar 	 93.2958259313562 1.9445786639814342 
signatures 	 593.0958076241817 1.795329338206349 
topography 	 282.1551447523243 1.8921460334241367 
data 	 54.17584579632742 1.9445786639814342 
obtained 	 199.53491172002117 1.8921460334241367 
multiple 	 192.73915846009137 1.8921460334241367 
imaging 	 130.69838396539225 1.926781199268284 
region 	 296.0623306279498 1.795329338206349 
produce 	 379.18438574232596 1.795329338206349 
dimensional 	 540.7908086782285 1.795329338206349 
elevation 	 148.27395190604543 1.9445786639814342 
maps 	 451.37482238599557 1.795329338206349 
october 	 139.01652003077714 1.8921460334241367 
spaceborne 	 451.37482238599557 1.795329338206349 
band 	 79.81396468800847 1.9554158398128638 
synthetic 	 441.0493130961093 1.795329338206349 
aperture 	 451.37482238599557 1.795329338206349 
aboard 	 451.37482238599557 1.795329338206349 
space 	 269.88296175237673 1.795329338206349 
shuttle 	 422.5893042664625 1.795329338206349 
endeavour 	 474.8943032124157 1.795329338206349 
acquired 	 379.18438574232596 1.795329338206349 
centimeter 	 385.9638901043238 1.8921460334241367 
wavelength 	 148.27395190604543 1.9445786639814342 
covers 	 392.09515189617673 1.795329338206349 
kilometers 	 225.68741119299779 1.8921460334241367 
miles 	 196.04757594808837 1.8921460334241367 
north 	 227.6112862409298 1.795329338206349 
lower 	 289.76839945009306 1.795329338206349 
color 	 196.04757594808837 1.8921460334241367 
contours 	 385.9638901043238 1.8921460334241367 
shown 	 346.7648244940891 1.795329338206349 
proportional 	 682.5117939164146 1.795329338206349 
topographic 	 630.2067949704614 1.795329338206349 
fourth 	 367.44902635378725 1.795329338206349 
results 	 223.87189398428026 1.795329338206349 
cycle 	 373.1833037254248 1.795329338206349 
times 	 209.9123415656902 1.795329338206349 
faster 	 462.5992900176578 1.795329338206349 
change 	 206.64634433571683 1.795329338206349 
detailed 	 136.27142490076483 1.8921460334241367 
comparisions 	 385.9638901043238 1.8921460334241367 
frequency 	 462.5992900176578 1.795329338206349 
terrain 	 540.7908086782285 1.795329338206349 
types 	 254.9817993136588 1.795329338206349 
provide 	 218.4585123005051 1.795329338206349 
insights 	 462.5992900176578 1.795329338206349 
future 	 195.82563290220625 1.795329338206349 
dependent 	 385.47831692018275 1.795329338206349 
effects 	 201.89734180288644 1.795329338206349 
penetration 	 593.0958076241817 1.795329338206349 
scattering 	 564.3102895046486 1.795329338206349 
measurement 	 520.9053709805122 1.795329338206349 
accuracy 	 462.5992900176578 1.795329338206349 
ideal 	 379.18438574232596 1.795329338206349 
site 	 257.34883820185615 1.795329338206349 
digital 	 211.29465213323124 1.8921460334241367 
model 	 269.88296175237673 1.795329338206349 
precision 	 593.0958076241817 1.795329338206349 
models 	 324.84784874748283 1.795329338206349 
exist 	 379.18438574232596 1.795329338206349 
conventional 	 414.2638350397158 1.795329338206349 
measurements 	 520.9053709805122 1.795329338206349 
airborne 	 540.7908086782285 1.795329338206349 
sar 	 422.5893042664625 1.795329338206349 
gif 	 22.29001393229718 1.8921460334241367 
icons 	 392.09515189617673 1.795329338206349 
yellow 	 373.1833037254248 1.795329338206349 
index 	 56.096965257164214 1.795329338206349 
html 	 50.69045972274704 1.795329338206349 
home 	 57.61165976325635 1.795329338206349 
page 	 63.322854017716814 1.795329338206349 
updated 	 138.19529994869686 1.795329338206349 
bruce 	 361.9588360937626 1.795329338206349 
chapman 	 414.2638350397158 1.795329338206349 
jpl 	 361.9588360937626 1.795329338206349 
nasa 	 333.1733179742295 1.795329338206349 
gov 	 299.32832785792317 1.795329338206349 
