term 	 tf-idf weight 	 BM25 ranking 
 logo4 	 287.2289414729852 1.9186138385516542 
gif 	 5.529305781655115 1.9721147894341744 
canada's 	 287.2289414729852 1.9186138385516542 
largest 	 120.87361813859826 1.9186138385516542 
credit 	 57.61001621354593 1.9584617597949245 
union 	 89.9069959926662 1.9186138385516542 
welcome 	 138.85890371178598 1.9186138385516542 
htm 	 7.872721342771312 1.9790129384969846 
index_2 	 287.2289414729852 1.9186138385516542 
assets 	 151.23470095828677 1.9186138385516542 
experience 	 86.12551385571672 1.9186138385516542 
avenue 	 148.49109709396924 1.9186138385516542 
surrey 	 60.58738725361554 1.9721147894341744 
british 	 117.9636362914094 1.9186138385516542 
columbia 	 164.11137231483139 1.9186138385516542 
canada_ 	 253.95787680610778 1.9186138385516542 
mis 	 253.95787680610778 1.9186138385516542 
metro 	 55.984474094387046 1.9721147894341744 
insurance 	 111.37798245876212 1.9186138385516542 
services 	 67.64281450482275 1.9186138385516542 
insurnce 	 287.2289414729852 1.9186138385516542 
mis1w 	 287.2289414729852 1.9186138385516542 
wholly 	 209.97592167614835 1.9186138385516542 
owned 	 148.49109709396924 1.9186138385516542 
subsidiary 	 209.97592167614835 1.9186138385516542 
savings 	 69.42945185589299 1.9584617597949245 
union_ 	 287.2289414729852 1.9186138385516542 
copyright 	 37.43662049329896 1.9186138385516542 
c_rights 	 287.2289414729852 1.9186138385516542 
site 	 47.87885361894998 1.9584617597949245 
updated 	 51.42150695765464 1.9186138385516542 
november 	 115.22003242709187 1.9186138385516542 
ani 	 287.2289414729852 1.9186138385516542 
flag 	 181.76216176084662 1.9186138385516542 
viewed 	 143.4337923423936 1.9186138385516542 
netscape 	 201.2244869500385 1.9186138385516542 
