term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 141.0987801894928 1.829681049077414 
logo_asm 	 423.29634056847846 1.5634037606885198 
gif 	 18.20063153128142 1.911053192816871 
subject 	 279.36607350470547 1.5634037606885198 
index 	 68.70791093513137 1.7549555039886238 
anthropology 	 420.27239404737475 1.5634037606885198 
ant 	 423.29634056847846 1.5634037606885198 
idx 	 22.278754766762024 1.9710300015402693 
html 	 4.139065961857381 1.9815543664801498 
architecture 	 405.57206910674864 1.5634037606885198 
arc 	 199.93911068395116 1.7549555039886238 
art 	 178.84115064927656 1.7549555039886238 
black 	 365.176723709625 1.5634037606885198 
studies 	 112.84164026818657 1.829681049077414 
blk 	 423.29634056847846 1.5634037606885198 
stu 	 423.29634056847846 1.5634037606885198 
business 	 287.1689390832629 1.5634037606885198 
bus 	 402.71232108245454 1.5634037606885198 
ecology 	 420.27239404737475 1.5634037606885198 
eco 	 420.27239404737475 1.5634037606885198 
economics 	 399.8782213679023 1.5634037606885198 
ecn 	 420.27239404737475 1.5634037606885198 
education 	 34.320648791266414 1.9456653367266152 
edu 	 345.57354017907795 1.5634037606885198 
film 	 391.52531213436515 1.5634037606885198 
flm 	 423.29634056847846 1.5634037606885198 
gen 	 75.61529479560512 1.8942048455010578 
healthcare 	 417.277110957739 1.5634037606885198 
med 	 207.15497650359492 1.7549555039886238 
history 	 347.95845715985905 1.5634037606885198 
law 	 132.15780501205052 1.7549555039886238 
linguistics 	 417.277110957739 1.5634037606885198 
lin 	 414.30995300718985 1.5634037606885198 
literature 	 397.0693139840526 1.5634037606885198 
lit 	 420.27239404737475 1.5634037606885198 
mass 	 357.6823012985531 1.5634037606885198 
media 	 273.63781997345757 1.5634037606885198 
mda 	 423.29634056847846 1.5634037606885198 
medicine 	 388.78936430754095 1.5634037606885198 
music 	 405.57206910674864 1.5634037606885198 
mus 	 420.27239404737475 1.5634037606885198 
philosophy 	 405.57206910674864 1.5634037606885198 
phi 	 423.29634056847846 1.5634037606885198 
political 	 299.2468423344453 1.5634037606885198 
science 	 172.78677008953898 1.7549555039886238 
psi 	 420.27239404737475 1.5634037606885198 
psychology 	 417.277110957739 1.5634037606885198 
psy 	 417.277110957739 1.5634037606885198 
religion 	 402.71232108245454 1.5634037606885198 
rel 	 420.27239404737475 1.5634037606885198 
sci 	 408.4579339127428 1.5634037606885198 
shakespeare 	 423.29634056847846 1.5634037606885198 
sha 	 208.6385554788695 1.7549555039886238 
sociology 	 420.27239404737475 1.5634037606885198 
soc 	 420.27239404737475 1.5634037606885198 
sports 	 399.8782213679023 1.5634037606885198 
recreation 	 408.4579339127428 1.5634037606885198 
spt 	 411.3703969258988 1.5634037606885198 
urban 	 402.71232108245454 1.5634037606885198 
urb 	 423.29634056847846 1.5634037606885198 
women's 	 402.71232108245454 1.5634037606885198 
wom 	 423.29634056847846 1.5634037606885198 
home 	 141.12623631929463 1.5634037606885198 
page 	 77.55822430076942 1.7549555039886238 
topic 	 417.277110957739 1.5634037606885198 
search 	 191.69376168300104 1.7549555039886238 
custom 	 205.6851984629494 1.7549555039886238 
physical 	 42.65078450249774 1.9608859190306225 
specific 	 170.42851735530422 1.7549555039886238 
paper 	 90.66469552512127 1.8694820773502734 
click 	 194.39468215377047 1.7549555039886238 
catalog 	 414.30995300718985 1.5634037606885198 
button 	 378.0764739780256 1.5634037606885198 
title 	 182.5883618548125 1.7549555039886238 
description 	 386.07690130106124 1.5634037606885198 
written 	 347.95845715985905 1.5634037606885198 
pgs 	 46.69693267193053 1.9398098414737888 
pages 	 367.7148899659605 1.5634037606885198 
footnotes 	 420.27239404737475 1.5634037606885198 
sources 	 367.7148899659605 1.5634037606885198 
price 	 362.6587821004851 1.5634037606885198 
united 	 435.6900859249153 1.5634037606885198 
historic 	 1105.6933633641443 1.5634037606885198 
account 	 607.8238733644837 1.5634037606885198 
development 	 183.85744498298024 1.7549555039886238 
american 	 350.3615105655883 1.5634037606885198 
schools 	 424.71970751989204 1.7549555039886238 
throwing 	 1890.9238646971523 1.5634037606885198 
catching 	 1671.8893556402095 1.5634037606885198 
skills 	 436.87955201940036 1.7549555039886238 
discusses 	 426.34950441658725 1.5634037606885198 
simply 	 837.9472394817877 1.5634037606885198 
activities 	 141.74824155420043 1.8694820773502734 
improve 	 805.7839080798459 1.5634037606885198 
motor 	 944.272466254091 1.5634037606885198 
coordination 	 1452.8548465832669 1.5634037606885198 
fitness 	 691.1707421839883 1.7549555039886238 
testing 	 914.1544494359244 1.5634037606885198 
collection 	 914.1544494359244 1.5634037606885198 
data 	 530.8392952446345 1.5634037606885198 
analysis 	 388.78936430754095 1.5634037606885198 
results 	 548.3993682095547 1.5634037606885198 
president's 	 1035.1800011488538 1.5634037606885198 
test 	 767.4338772664975 1.5634037606885198 
correlation 	 552.8466816820721 1.7549555039886238 
achievement 	 540.1999338696533 1.7549555039886238 
grade 	 507.39291423469064 1.7549555039886238 
boys 	 691.1707421839883 1.7549555039886238 
girls 	 726.4274232916334 1.7549555039886238 
classroom 	 552.8466816820721 1.7549555039886238 
teacher 	 253.69645711734532 1.8694820773502734 
mainstreaming 	 771.8811907390148 1.7549555039886238 
