term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 620.2095116557136 1.4192761606278268 
logo_asm 	 1860.628534967141 0.8978647156934952 
gif 	 80.00214302832244 1.6603235234058753 
subject 	 613.986512813348 1.2393466276476954 
index 	 302.01040597752365 1.2393466276476954 
anthropology 	 1847.3365675057075 0.8978647156934952 
ant 	 1860.628534967141 0.8978647156934952 
idx 	 97.92781762984953 1.878629920776317 
html 	 18.19355259816425 1.9213829611829145 
architecture 	 1782.7202657888413 0.8978647156934952 
arc 	 878.8462808228106 1.2393466276476954 
art 	 314.4434914580319 1.605778988505435 
black 	 1605.1597127616112 0.8978647156934952 
studies 	 297.60197151742625 1.605778988505435 
blk 	 1860.628534967141 0.8978647156934952 
stu 	 1860.628534967141 0.8978647156934952 
business 	 1262.271064514722 0.8978647156934952 
bus 	 1770.1500442516751 0.8978647156934952 
ecology 	 1847.3365675057075 0.8978647156934952 
eco 	 1847.3365675057075 0.8978647156934952 
economics 	 1757.6925616456213 0.8978647156934952 
ecn 	 1847.3365675057075 0.8978647156934952 
education 	 1508.5880117426914 0.8978647156934952 
edu 	 1518.9925547744915 0.8978647156934952 
film 	 860.4883837889765 1.2393466276476954 
flm 	 1860.628534967141 0.8978647156934952 
gen 	 332.3722926300491 1.605778988505435 
healthcare 	 1834.1705921528464 0.8978647156934952 
med 	 910.5641214034599 1.2393466276476954 
history 	 764.7378117010193 1.2393466276476954 
law 	 232.36353311612427 1.605778988505435 
linguistics 	 1834.1705921528464 0.8978647156934952 
lin 	 1821.1282428069198 0.8978647156934952 
literature 	 872.6729068415333 1.2393466276476954 
lit 	 1847.3365675057075 0.8978647156934952 
mass 	 1572.2174572901592 0.8978647156934952 
media 	 601.3970442138174 1.2393466276476954 
mda 	 1860.628534967141 0.8978647156934952 
medicine 	 1708.950718427767 0.8978647156934952 
music 	 1782.7202657888413 0.8978647156934952 
mus 	 1847.3365675057075 0.8978647156934952 
philosophy 	 77.50957677342788 1.8986683141421368 
phi 	 1860.628534967141 0.8978647156934952 
political 	 263.07206582439534 1.605778988505435 
science 	 303.7985109548983 1.605778988505435 
psi 	 1847.3365675057075 0.8978647156934952 
psychology 	 611.3901973842821 1.4192761606278268 
psy 	 1834.1705921528464 0.8978647156934952 
religion 	 590.0500147505584 1.4192761606278268 
rel 	 1847.3365675057075 0.8978647156934952 
sci 	 1795.4052854582271 0.8978647156934952 
shakespeare 	 1860.628534967141 0.8978647156934952 
sha 	 917.0852960764232 1.2393466276476954 
sociology 	 1847.3365675057075 0.8978647156934952 
soc 	 1847.3365675057075 0.8978647156934952 
sports 	 1757.6925616456213 0.8978647156934952 
recreation 	 1795.4052854582271 0.8978647156934952 
spt 	 1808.2072193989666 0.8978647156934952 
urban 	 1770.1500442516751 0.8978647156934952 
urb 	 1860.628534967141 0.8978647156934952 
women's 	 1770.1500442516751 0.8978647156934952 
wom 	 1860.628534967141 0.8978647156934952 
home 	 620.3301969857603 0.8978647156934952 
page 	 340.91257453724285 1.2393466276476954 
topic 	 1834.1705921528464 0.8978647156934952 
search 	 561.7355168305663 1.4192761606278268 
custom 	 904.1036096994833 1.2393466276476954 
specific 	 749.1304133117644 1.2393466276476954 
paper 	 318.8183850237809 1.605778988505435 
click 	 854.4753592138835 1.2393466276476954 
catalog 	 1821.1282428069198 0.8978647156934952 
button 	 1661.8614631502453 0.8978647156934952 
title 	 802.5798563808056 1.2393466276476954 
description 	 1697.0278984404242 0.8978647156934952 
written 	 764.7378117010193 1.2393466276476954 
pgs 	 23.38400718361655 1.969399346620255 
pages 	 1616.316399249111 0.8978647156934952 
footnotes 	 1847.3365675057075 0.8978647156934952 
sources 	 1616.316399249111 0.8978647156934952 
price 	 1594.0919251189043 0.8978647156934952 
predestination 	 2449.6353533589145 1.4192761606278268 
centuries 	 4748.972836360433 0.8978647156934952 
discusses 	 170.36808447486757 1.7992220227953473 
interaction 	 4296.961122156735 0.8978647156934952 
economic 	 1038.4857881582825 1.2393466276476954 
happenings 	 6785.715024914503 0.8978647156934952 
day 	 1929.066022037562 0.8978647156934952 
perception 	 3786.1914025626693 0.8978647156934952 
neurology 	 8311.687493874508 0.8978647156934952 
follows 	 4296.961122156735 0.8978647156934952 
sees 	 4460.561758683451 0.8978647156934952 
chooses 	 6076.178233503542 0.8978647156934952 
world 	 1540.038411948108 0.8978647156934952 
ancient 	 1817.2567930116477 1.2393466276476954 
greece 	 4296.961122156735 0.8978647156934952 
noting 	 1372.7508497933027 1.2393466276476954 
perceptions 	 5259.742555954499 0.8978647156934952 
coined 	 6785.715024914503 0.8978647156934952 
realism 	 1940.9778637055797 1.4192761606278268 
dualism 	 6785.715024914503 0.8978647156934952 
representative 	 1180.6264222815464 1.4192761606278268 
universals 	 8311.687493874508 0.8978647156934952 
examines 	 124.04190233114272 1.848712798271248 
justification 	 4550.205764543538 0.8978647156934952 
existence 	 830.1230731816029 1.605778988505435 
philosophical 	 304.3450790729937 1.8274459380954757 
tradition 	 3541.879266844639 0.8978647156934952 
concluding 	 4018.229526159807 0.8978647156934952 
belief 	 768.1337946265154 1.605778988505435 
founded 	 4748.972836360433 0.8978647156934952 
offers 	 2877.8875393348126 0.8978647156934952 
supporting 	 1866.8850434972471 1.2393466276476954 
evidence 	 1576.7679466111122 1.2393466276476954 
free 	 439.4231404114053 1.5303661757836238 
determinism 	 2261.9050083048346 1.4192761606278268 
opposing 	 2430.076078659488 1.2393466276476954 
philosophies 	 2009.1147630799035 1.2393466276476954 
describing 	 4981.010959957571 0.8978647156934952 
mans 	 1620.0507191063252 1.4192761606278268 
relation 	 2796.9520259506107 0.8978647156934952 
environment 	 2534.9988910879233 0.8978647156934952 
control 	 326.2356574555514 1.6603235234058753 
destiny 	 4748.972836360433 0.8978647156934952 
lack 	 3024.233295583533 0.8978647156934952 
mental 	 1866.8850434972471 1.2393466276476954 
phenomena 	 4460.561758683451 0.8978647156934952 
plants 	 2430.076078659488 1.2393466276476954 
mind 	 539.1778565704635 1.605778988505435 
body 	 987.944158366412 1.4192761606278268 
relationship 	 1023.0518196613014 1.2393466276476954 
notes 	 816.9304304616317 1.4192761606278268 
parapsychological 	 8311.687493874508 0.8978647156934952 
physical 	 874.8809656493365 1.4192761606278268 
effects 	 2173.917889645033 0.8978647156934952 
processes 	 3587.424330745773 0.8978647156934952 
particularly 	 2471.3694455404557 0.8978647156934952 
tompkins 	 8311.687493874508 0.8978647156934952 
secret 	 3840.668973132577 0.8978647156934952 
life 	 191.21964084199482 1.7599596735490215 
barth's 	 8311.687493874508 0.8978647156934952 
floating 	 5608.818296836677 0.8978647156934952 
opera 	 4981.010959957571 0.8978647156934952 
percey's 	 8311.687493874508 0.8978647156934952 
moviegoer 	 8311.687493874508 0.8978647156934952 
welty's 	 7348.906060076743 0.8978647156934952 
optimistic 	 6076.178233503542 0.8978647156934952 
daughter 	 2490.5054799787854 1.2393466276476954 
aspects 	 1312.3214484740047 1.2393466276476954 
conflict 	 968.649699932949 1.4192761606278268 
continue 	 3223.000367400429 0.8978647156934952 
living 	 3055.4480923620426 0.8978647156934952 
die 	 2148.4805610783674 1.2393466276476954 
virtue 	 5608.818296836677 0.8978647156934952 
imitation 	 3038.089116751771 1.2393466276476954 
don 	 4221.861751812322 0.8978647156934952 
quixote 	 6785.715024914503 0.8978647156934952 
ideal 	 4082.845827876673 0.8978647156934952 
attempt 	 2877.8875393348126 0.8978647156934952 
internalize 	 8311.687493874508 0.8978647156934952 
values 	 780.0160985197273 1.5303661757836238 
opposed 	 3733.7700869944942 0.8978647156934952 
trying 	 4018.229526159807 0.8978647156934952 
classic 	 2275.102882271769 1.2393466276476954 
rhetoric 	 6076.178233503542 0.8978647156934952 
aristotle's 	 6076.178233503542 0.8978647156934952 
rhetorica 	 8311.687493874508 0.8978647156934952 
cicero's 	 8311.687493874508 0.8978647156934952 
deorataore 	 8311.687493874508 0.8978647156934952 
quintitian's 	 8311.687493874508 0.8978647156934952 
institution 	 3897.3707235212114 0.8978647156934952 
oratorio 	 8311.687493874508 0.8978647156934952 
plato's 	 2804.4091484183386 1.2393466276476954 
gorgias 	 6785.715024914503 0.8978647156934952 
phaedras 	 8311.687493874508 0.8978647156934952 
longious' 	 8311.687493874508 0.8978647156934952 
sublime 	 8311.687493874508 0.8978647156934952 
motive 	 6386.12462627898 0.8978647156934952 
elements 	 3055.4480923620426 0.8978647156934952 
persuasion 	 5822.933591116739 0.8978647156934952 
style 	 3413.5727251826597 0.8978647156934952 
delivery 	 4646.036863038913 0.8978647156934952 
content 	 2877.8875393348126 0.8978647156934952 
summary 	 2850.381690020419 0.8978647156934952 
transcendental 	 7348.906060076743 0.8978647156934952 
meditation 	 5423.343192481216 0.8978647156934952 
tm's 	 8311.687493874508 0.8978647156934952 
current 	 1957.4139447333087 0.8978647156934952 
popularity 	 5259.742555954499 0.8978647156934952 
similar 	 1372.7508497933027 1.2393466276476954 
humanistic 	 6386.12462627898 0.8978647156934952 
movements 	 3634.5135860232954 0.8978647156934952 
development 	 323.26327984982225 1.605778988505435 
foundation 	 3541.879266844639 0.8978647156934952 
teaching 	 3786.1914025626693 0.8978647156934952 
practical 	 1686.654518232856 1.2393466276476954 
application 	 2390.8251446641207 0.8978647156934952 
rewards 	 6076.178233503542 0.8978647156934952 
practice 	 3413.5727251826597 0.8978647156934952 
critical 	 2720.473995443385 0.8978647156934952 
biography 	 3840.668973132577 0.8978647156934952 
jacques 	 5608.818296836677 0.8978647156934952 
maritain 	 8311.687493874508 0.8978647156934952 
social 	 594.2400885962804 1.4192761606278268 
philosopher 	 1084.6686384962431 1.605778988505435 
influence 	 1195.4125723320603 1.2393466276476954 
thomas 	 2009.1147630799035 1.2393466276476954 
aquinas' 	 7348.906060076743 0.8978647156934952 
universe 	 2490.5054799787854 1.2393466276476954 
relations 	 2471.3694455404557 0.8978647156934952 
individuals 	 3153.5358932222243 0.8978647156934952 
theoretical 	 2323.0184315194565 1.2393466276476954 
implications 	 1040.0214646929696 1.4192761606278268 
priori 	 2128.70820875966 1.4192761606278268 
posteriori 	 2770.5624979581694 1.4192761606278268 
meaning 	 562.2181727442853 1.6603235234058753 
concepts 	 1137.8575750608866 1.4192761606278268 
thinking 	 1516.735254847846 1.4192761606278268 
concept 	 932.3173419835368 1.4192761606278268 
persistence 	 3392.8575124572517 1.2393466276476954 
essential 	 3413.5727251826597 0.8978647156934952 
material 	 1335.8660761127655 1.2393466276476954 
composed 	 4981.010959957571 0.8978647156934952 
unchanging 	 7348.906060076743 0.8978647156934952 
constant 	 5113.396799705778 0.8978647156934952 
flux 	 6386.12462627898 0.8978647156934952 
apparent 	 4748.972836360433 0.8978647156934952 
change 	 2225.052498312486 0.8978647156934952 
moses 	 5608.818296836677 0.8978647156934952 
mendelson 	 4155.843746937254 1.2393466276476954 
jewish 	 4376.354158980423 0.8978647156934952 
people 	 813.7817121311097 1.2393466276476954 
personal 	 397.27049828827126 1.605778988505435 
ideology 	 2148.4805610783674 1.2393466276476954 
position 	 503.9766994711587 1.5303661757836238 
advocates 	 4860.152157318976 0.8978647156934952 
emphasis 	 1481.916237549618 1.2393466276476954 
governmental 	 3733.7700869944942 0.8978647156934952 
self 	 1256.7317879947338 1.2393466276476954 
actualization 	 7348.906060076743 0.8978647156934952 
myth 	 4221.861751812322 0.8978647156934952 
eternal 	 6386.12462627898 0.8978647156934952 
return 	 2108.5411170632906 0.8978647156934952 
mircea 	 6386.12462627898 0.8978647156934952 
eliade 	 8311.687493874508 0.8978647156934952 
civilizations 	 6785.715024914503 0.8978647156934952 
progressive 	 4748.972836360433 0.8978647156934952 
repetitious 	 7348.906060076743 0.8978647156934952 
father's 	 8311.687493874508 0.8978647156934952 
commands 	 5113.396799705778 0.8978647156934952 
children 	 2624.6428969480094 0.8978647156934952 
considered 	 2877.8875393348126 0.8978647156934952 
break 	 2009.1147630799035 1.2393466276476954 
hobbes 	 2025.3927445011807 1.4192761606278268 
benthams 	 8311.687493874508 0.8978647156934952 
determination 	 4296.961122156735 0.8978647156934952 
bad 	 4550.205764543538 0.8978647156934952 
laws 	 686.3754248966513 1.5303661757836238 
individual's 	 4860.152157318976 0.8978647156934952 
birth 	 4018.229526159807 0.8978647156934952 
death 	 2513.4635759894677 0.8978647156934952 
becker 	 3674.4530300383717 1.2393466276476954 
sociological 	 1893.0957012813346 1.2393466276476954 
examination 	 708.1996997927951 1.4192761606278268 
theories 	 950.1272300068063 1.4192761606278268 
significance 	 3334.1796883589705 0.8978647156934952 
hope 	 3683.255429241149 0.8978647156934952 
unifying 	 6785.715024914503 0.8978647156934952 
society 	 702.8470390210969 1.4192761606278268 
defines 	 3786.1914025626693 0.8978647156934952 
characteristics 	 3334.1796883589705 0.8978647156934952 
qualifications 	 5822.933591116739 0.8978647156934952 
pursuits 	 8311.687493874508 0.8978647156934952 
practices 	 2993.704594151154 0.8978647156934952 
analysis 	 244.13581691825243 1.7016089910209378 
utopian 	 2911.4667955583695 1.2393466276476954 
analyzes 	 2242.5244267978146 0.8978647156934952 
thinkers 	 1807.781064160405 1.4192761606278268 
usually 	 3497.780324885687 0.8978647156934952 
visionaries 	 8311.687493874508 0.8978647156934952 
criticizing 	 5423.343192481216 0.8978647156934952 
times 	 2260.2189336026645 0.8978647156934952 
solution 	 3840.668973132577 0.8978647156934952 
execution 	 5113.396799705778 0.8978647156934952 
plan 	 2513.4635759894677 0.8978647156934952 
eliminate 	 5259.742555954499 0.8978647156934952 
negative 	 1227.7518097470497 1.4192761606278268 
oedipus 	 2025.3927445011807 1.4192761606278268 
job 	 1727.5192454987832 1.2393466276476954 
concurrent 	 6386.12462627898 0.8978647156934952 
mythical 	 6076.178233503542 0.8978647156934952 
nature 	 588.0598325298481 1.5303661757836238 
greek 	 4221.861751812322 0.8978647156934952 
hebrew 	 5822.933591116739 0.8978647156934952 
scholars 	 5113.396799705778 0.8978647156934952 
argue 	 5113.396799705778 0.8978647156934952 
presumed 	 5608.818296836677 0.8978647156934952 
explorations 	 8311.687493874508 0.8978647156934952 
existentialism 	 5423.343192481216 0.8978647156934952 
existentialist 	 6785.715024914503 0.8978647156934952 
various 	 242.43255692006056 1.7016089910209378 
