term 	 tf-idf weight 	 BM25 ranking 
 nemzet 	 559.9443619003306 1.6389474961132424 
magyar 	 107.22338844899947 1.919046528685216 
internet 	 4644.836463316582 0.402794085275999 
vilaglap 	 20629.619293098476 0.402794085275999 
julius 	 6940.4120068816665 0.6705428280255347 
vasarnap 	 15700.145953844667 0.402794085275999 
http 	 1968.7108980636267 0.402794085275999 
www 	 1951.2176985185724 0.402794085275999 
siliconvalley 	 5720.810752459286 0.6705428280255347 
com 	 1082.8882503646164 0.6705428280255347 
html 	 1763.1635098912093 0.402794085275999 
subs 	 12980.41460322466 0.402794085275999 
emigracio 	 1751.9467893925998 1.4321193807931887 
elleni 	 1096.5001885165454 1.4700658305256282 
legujabb 	 13638.224391923606 0.402794085275999 
legkormonfontabb 	 26849.922091443426 0.402794085275999 
arulas 	 26849.922091443426 0.402794085275999 
tiszteletbeli 	 671.7963340363265 1.7518988279694276 
konzulsag 	 26849.922091443426 0.402794085275999 
fabol 	 13424.961045721713 0.6705428280255347 
vaskarikaja 	 26849.922091443426 0.402794085275999 
pellionisz 	 21920.448752189615 0.402794085275999 
andr 	 26849.922091443426 0.402794085275999 
san 	 5513.571208745354 0.6705428280255347 
francisco 	 6390.479772284664 0.6705428280255347 
bolkornyek 	 26849.922091443426 0.402794085275999 
kevesen 	 18810.29735301714 0.402794085275999 
tudnak 	 4396.383304459475 0.8614110000258866 
konzulok 	 1565.7463394421154 1.5585587070238878 
intezmenyerol 	 26849.922091443426 0.402794085275999 
konzulokrol 	 13424.961045721713 0.6705428280255347 
meg 	 305.42419740018033 1.7854574712441562 
kevesebben 	 21920.448752189615 0.402794085275999 
vannak 	 2179.415067908085 1.115409626196372 
tisztaban 	 16990.975412935808 0.402794085275999 
azzal 	 3632.358446513475 0.8614110000258866 
micsoda 	 16990.975412935808 0.402794085275999 
nemzetarulas 	 23739.77069227095 0.402794085275999 
modern 	 7537.582018236314 0.402794085275999 
agyafurt 	 23739.77069227095 0.402794085275999 
eszkozeit 	 11869.885346135476 0.6705428280255347 
takargatja 	 26849.922091443426 0.402794085275999 
tiszteletbelinek 	 26849.922091443426 0.402794085275999 
csengo 	 26849.922091443426 0.402794085275999 
elnevezes 	 26849.922091443426 0.402794085275999 
mar 	 1096.695911561354 1.3883193985861912 
nev 	 16090.566002397136 0.402794085275999 
kapcsan 	 13189.149913378424 0.402794085275999 
elgondolkodtato 	 21920.448752189615 0.402794085275999 
pedig 	 2519.7496285514876 1.004354352214303 
vajon 	 3057.7107313352585 1.004354352214303 
horn 	 783.6249406262457 1.5325384850857378 
peto 	 3147.498638668048 1.004354352214303 
kormannyal 	 16990.975412935808 0.402794085275999 
egyoldalu 	 21920.448752189615 0.402794085275999 
vagy 	 347.55167290365347 1.7594249554443515 
kolcsonos 	 18118.623252632235 0.402794085275999 
viszonyban 	 19628.374178351616 0.402794085275999 
avagy 	 9405.14867650857 0.6705428280255347 
emigraciot 	 7913.25689742365 0.8614110000258866 
kerdeztek 	 19628.374178351616 0.402794085275999 
mely 	 2348.173140458823 1.115409626196372 
vezetok 	 14409.316494753524 0.402794085275999 
allnak 	 5506.074259726381 0.8614110000258866 
legnagyobb 	 3720.3642210477756 0.8614110000258866 
tiszteletben 	 18810.29735301714 0.402794085275999 
mindketto 	 9814.187089175808 0.6705428280255347 
egyik 	 2105.614598550226 1.115409626196372 
sem_ 	 26849.922091443426 0.402794085275999 
mint 	 503.9499257102975 1.6690787491922443 
atni 	 26849.922091443426 0.402794085275999 
fogjuk 	 18810.29735301714 0.402794085275999 
utobbi 	 12406.826265259808 0.402794085275999 
intezmenye 	 11869.885346135476 0.6705428280255347 
antidemokratikus 	 20629.619293098476 0.402794085275999 
nem 	 223.97774476013223 1.8380357152842413 
szavazott 	 16990.975412935808 0.402794085275999 
rajuk 	 18118.623252632235 0.402794085275999 
senki 	 4196.664851557398 0.8614110000258866 
ugyanakkor 	 5870.432851147058 0.6705428280255347 
allam 	 2130.159924094888 1.204176540899708 
sem 	 503.9499257102975 1.6690787491922443 
megfizeti 	 23739.77069227095 0.402794085275999 
legfeljebb 	 15008.471853459758 0.402794085275999 
lefizeti 	 26849.922091443426 0.402794085275999 
oket 	 5448.537669770212 0.6705428280255347 
kerdezte 	 19628.374178351616 0.402794085275999 
kik 	 14698.900839097807 0.402794085275999 
azok 	 2129.5466834817576 1.115409626196372 
akiket 	 15340.994324513507 0.402794085275999 
tiszteletre 	 23739.77069227095 0.402794085275999 
meltonak 	 23739.77069227095 0.402794085275999 
latna 	 23739.77069227095 0.402794085275999 
posztokra 	 26849.922091443426 0.402794085275999 
konzulokat 	 8949.974030481142 0.8614110000258866 
antallek 	 21920.448752189615 0.402794085275999 
tiszteltek 	 23739.77069227095 0.402794085275999 
hogy 	 127.58225967349304 1.9044102671095797 
kizart 	 17519.467893926 0.402794085275999 
legvaloszinubb 	 23739.77069227095 0.402794085275999 
mindkettonek 	 23739.77069227095 0.402794085275999 
csak 	 387.65378900792115 1.7353396052793937 
eszkozeik 	 26849.922091443426 0.402794085275999 
vegyuk 	 19628.374178351616 0.402794085275999 
szemugyre 	 26849.922091443426 0.402794085275999 
hirlap 	 3675.7141391635696 0.8614110000258866 
nevu 	 6704.035690003333 0.6705428280255347 
budapesti 	 12061.502073681999 0.402794085275999 
napilap 	 16090.566002397136 0.402794085275999 
cikket 	 15340.994324513507 0.402794085275999 
ime 	 17519.467893926 0.402794085275999 
cikk 	 13408.071380006666 0.402794085275999 
alkotmanyozasra 	 23739.77069227095 0.402794085275999 
vonatkozo 	 13189.149913378424 0.402794085275999 
reszeket 	 20629.619293098476 0.402794085275999 
kihagyva 	 23739.77069227095 0.402794085275999 
betu 	 21920.448752189615 0.402794085275999 
szerint 	 1119.8887238006612 1.3883193985861912 
amely 	 2546.781057035299 1.004354352214303 
gyula 	 1504.0104275358758 1.2767529667887345 
ele 	 12589.994554672192 0.402794085275999 
hivattatasarol 	 26849.922091443426 0.402794085275999 
tudosit 	 21920.448752189615 0.402794085275999 
korm 	 23739.77069227095 0.402794085275999 
anyfoi 	 26849.922091443426 0.402794085275999 
keresek 	 23739.77069227095 0.402794085275999 
konzulokhoz 	 26849.922091443426 0.402794085275999 
jul 	 18810.29735301714 0.402794085275999 
dajka 	 26849.922091443426 0.402794085275999 
