term 	 tf-idf weight 	 BM25 ranking 
 law 	 90.33571481836364 1.8257448598472688 
leading 	 2330.4229565856735 0.8560887437184014 
attorneys 	 269.1777751196348 1.8458478900207809 
web 	 3102.7912997198514 0.8560887437184014 
header 	 4180.7714091983125 0.8560887437184014 
gif 	 130.6298490916021 1.4991923857325928 
webhead 	 4518.164458785398 0.8560887437184014 
appendix 	 2584.754113958594 1.1989665875771656 
legal 	 43.75241499062299 1.9557079744520849 
resources 	 1416.0351868844928 1.1989665875771656 
bar 	 83.09490927008132 1.9264531699874181 
associations 	 636.1675661629631 1.7414512934025423 
attorney 	 282.83295099419587 1.836411665586096 
general's 	 3169.2856694631064 1.1989665875771656 
office 	 190.7598352735586 1.813589960892847 
key 	 1322.8713107239878 1.1989665875771656 
divisions 	 1855.400998597345 1.383697972334049 
missions 	 2645.266400959788 1.1989665875771656 
lawyer 	 491.96633711492666 1.7996122198809419 
referral 	 434.47716139910983 1.8458478900207809 
services 	 62.66907814417402 1.9243718251711406 
public 	 95.93742302353685 1.8542548694491583 
defenders 	 1231.1016459888083 1.6357227904470264 
specialized 	 1807.3646679759654 1.383697972334049 
volunteer 	 2035.1651703424661 1.383697972334049 
agriculture 	 1587.9643600620109 1.383697972334049 
aids 	 1111.098432640304 1.4991923857325928 
hiv 	 1431.377023866667 1.4991923857325928 
arc 	 956.6706815004245 1.1989665875771656 
persons 	 282.4634913405414 1.813589960892847 
disabilities 	 1238.2849380831226 1.4991923857325928 
gay 	 1584.6428347315532 1.4991923857325928 
lesbian 	 1737.9086455964393 1.4991923857325928 
incarcerated 	 1846.6524689832124 1.4991923857325928 
migrant 	 1322.8483065597343 1.5782314167932001 
southeast 	 2711.047001963948 1.1989665875771656 
asian 	 2584.754113958594 1.1989665875771656 
spanish 	 848.4988529825877 1.5782314167932001 
speaking 	 888.8787461122431 1.5782314167932001 
women 	 517.1318832866418 1.6357227904470264 
regional 	 1238.6181810597986 1.383697972334049 
zone 	 495.313975233249 1.7642586327830148 
cook 	 529.0532801919576 1.7642586327830148 
lake 	 1076.7111004785393 1.4991923857325928 
counties 	 1017.5825851712331 1.6357227904470264 
mchenry 	 3693.304937966425 1.1989665875771656 
kane 	 1390.3269164771514 1.5782314167932001 
dupage 	 1231.1016459888083 1.6357227904470264 
northwestern 	 3693.304937966425 1.1989665875771656 
illinois 	 109.28983950527635 1.9243718251711406 
central 	 881.9142071493253 1.383697972334049 
southern 	 928.963635794849 1.4991923857325928 
professional 	 3044.630283108224 0.8560887437184014 
view 	 2479.877858556262 0.8560887437184014 
helping 	 4518.164458785398 0.8560887437184014 
mission 	 3956.3603614594836 0.8560887437184014 
largest 	 3807.518971365845 0.8560887437184014 
association 	 122.27575580971633 1.894521983548449 
isba 	 2462.2032919776166 1.383697972334049 
belong 	 7386.60987593285 0.8560887437184014 
local 	 591.606164352644 1.4991923857325928 
serve 	 1285.1743344058302 1.383697972334049 
providing 	 1551.3956498599257 1.1989665875771656 
continuing 	 4064.4063150004863 0.8560887437184014 
education 	 821.0889394366269 1.1989665875771656 
forum 	 3508.4064474510064 0.8560887437184014 
discussing 	 4763.893080186033 0.8560887437184014 
concerns 	 4242.494264912938 0.8560887437184014 
profession 	 4242.494264912938 0.8560887437184014 
referrals 	 666.6394266160329 1.7996122198809419 
informational 	 2317.211527461919 1.383697972334049 
booklets 	 6338.571338926213 0.8560887437184014 
pamphlets 	 1267.7142677852423 1.5782314167932001 
telephone 	 1253.664074487238 1.383697972334049 
information 	 139.5483072798211 1.7414512934025423 
variety 	 1581.6396828278823 1.1989665875771656 
