term 	 tf-idf weight 	 BM25 ranking 
 acu 	 398.1539053495551 1.8656292600171724 
congressional 	 584.5246842858777 1.7481773199647428 
ratings 	 227.7749400892797 1.9083673829174577 
gif 	 56.329802650611484 1.7481773199647428 
house 	 292.4678908017047 1.7481773199647428 
republicans 	 796.3078106991102 1.7481773199647428 
bold 	 749.4156328894699 1.7481773199647428 
alabama_ 	 796.3078106991102 1.7481773199647428 
allen 	 600.0602435939826 1.7481773199647428 
sparkman 	 862.398623320741 1.7481773199647428 
alaska_ 	 796.3078106991102 1.7481773199647428 
gravel 	 796.3078106991102 1.7481773199647428 
stevens 	 658.198259455996 1.7481773199647428 
arizona_ 	 796.3078106991102 1.7481773199647428 
fannin 	 796.3078106991102 1.7481773199647428 
goldwater 	 796.3078106991102 1.7481773199647428 
arkansas_ 	 796.3078106991102 1.7481773199647428 
fulbright 	 796.3078106991102 1.7481773199647428 
mcclellan 	 796.3078106991102 1.7481773199647428 
california_ 	 796.3078106991102 1.7481773199647428 
cranston 	 862.398623320741 1.7481773199647428 
tunney 	 862.398623320741 1.7481773199647428 
colorado_ 	 796.3078106991102 1.7481773199647428 
haskell 	 796.3078106991102 1.7481773199647428 
dominick 	 862.398623320741 1.7481773199647428 
connecticut_ 	 796.3078106991102 1.7481773199647428 
ribicoff 	 862.398623320741 1.7481773199647428 
weicker 	 862.398623320741 1.7481773199647428 
delaware_ 	 796.3078106991102 1.7481773199647428 
biden 	 862.398623320741 1.7481773199647428 
roth 	 713.0432340252537 1.7481773199647428 
florida_ 	 796.3078106991102 1.7481773199647428 
chiles 	 862.398623320741 1.7481773199647428 
gurney 	 862.398623320741 1.7481773199647428 
georgia_ 	 796.3078106991102 1.7481773199647428 
nunn 	 796.3078106991102 1.7481773199647428 
talmadge 	 862.398623320741 1.7481773199647428 
hawaii_ 	 796.3078106991102 1.7481773199647428 
inouye 	 862.398623320741 1.7481773199647428 
fong 	 862.398623320741 1.7481773199647428 
idaho_ 	 796.3078106991102 1.7481773199647428 
church 	 432.23227859345377 1.7481773199647428 
mcclure 	 862.398623320741 1.7481773199647428 
illinois_ 	 796.3078106991102 1.7481773199647428 
stevenson 	 796.3078106991102 1.7481773199647428 
percy 	 713.0432340252537 1.7481773199647428 
indiana_ 	 796.3078106991102 1.7481773199647428 
bayh 	 862.398623320741 1.7481773199647428 
hartke 	 862.398623320741 1.7481773199647428 
iowa_ 	 796.3078106991102 1.7481773199647428 
clark 	 600.0602435939826 1.7481773199647428 
hughes 	 683.3248202678391 1.7481773199647428 
kansas_ 	 796.3078106991102 1.7481773199647428 
dole 	 636.4326424581988 1.7481773199647428 
pearson 	 862.398623320741 1.7481773199647428 
