term 	 tf-idf weight 	 BM25 ranking 
 sipflog 	 4104.980288551413 1.2451425498772126 
jpeg 	 1298.842114249383 1.5347770160966585 
jesus 	 1814.7406613436451 1.5347770160966585 
jesustit 	 4104.980288551413 1.2451425498772126 
recognition 	 1984.5251655476081 1.2451425498772126 
decades 	 1172.712514666399 1.5347770160966585 
courageous 	 1675.6661292625447 1.5347770160966585 
journalism 	 1200.1671633984224 1.5347770160966585 
defiance 	 4104.980288551413 1.2451425498772126 
political 	 81.20385041195787 1.859115789168746 
pressure 	 1727.4854592308002 1.2451425498772126 
violence 	 1666.0115183696748 1.2451425498772126 
cost 	 697.2135488022768 1.5347770160966585 
life 	 424.97842424711155 1.5347770160966585 
associate 	 2770.0859262994677 1.2451425498772126 
committee 	 1435.191564047523 1.2451425498772126 
protect 	 1540.938930409022 1.2451425498772126 
journalists 	 143.84046642066738 1.9108876939276205 
blancornelas 	 216.0515941342849 1.9381582867378044 
editor 	 863.7427296154001 1.5347770160966585 
mexican 	 157.83793217234359 1.9269862743032127 
newspaper 	 488.507814106004 1.736773786982992 
zeta 	 725.896264537458 1.7837261345281223 
prestigious 	 3629.4813226872902 1.2451425498772126 
international 	 308.5187342086275 1.663781949986173 
press 	 124.03089260470585 1.8737816922231298 
freedom 	 439.8387944388563 1.663781949986173 
award 	 1042.5475744216174 1.5347770160966585 
longtime 	 4104.980288551413 1.2451425498772126 
colleague 	 1437.9166463304834 1.5347770160966585 
hector 	 3629.4813226872902 1.2451425498772126 
felix 	 375.1132350777025 1.859115789168746 
miranda 	 3351.3322585250894 1.2451425498772126 
founded 	 2345.425029332798 1.2451425498772126 
zeta_ 	 410.49802885514123 1.8856820722312402 
feisty 	 3629.4813226872902 1.2451425498772126 
weekly 	 1123.6289252976483 1.5347770160966585 
mexico 	 244.253907053002 1.859115789168746 
border 	 1101.4922125474613 1.5347770160966585 
city 	 1143.1834426655037 1.2451425498772126 
tijuana 	 410.49802885514123 1.8856820722312402 
set 	 1018.1108547048509 1.2451425498772126 
bold 	 3153.9823568231677 1.2451425498772126 
agenda 	 2460.0241314117307 1.2451425498772126 
country 	 372.0926778141175 1.663781949986173 
news 	 625.9932466833388 1.5347770160966585 
media 	 594.0365332335186 1.2451425498772126 
historically 	 2085.0951488432347 1.2451425498772126 
kowtowed 	 4104.980288551413 1.2451425498772126 
government 	 73.58380471494533 1.8955317660272444 
bribe 	 670.2664517050179 1.7837261345281223 
commonplace 	 4104.980288551413 1.2451425498772126 
spawned 	 3629.4813226872902 1.2451425498772126 
litany 	 4104.980288551413 1.2451425498772126 
catchphrases 	 4104.980288551413 1.2451425498772126 
dared 	 4104.980288551413 1.2451425498772126 
provide 	 580.8625559618082 1.5347770160966585 
newspapers 	 347.5158581405391 1.816463941029517 
hard 	 1869.9260634686761 1.2451425498772126 
hitting 	 3351.3322585250894 1.2451425498772126 
stories 	 1984.5251655476081 1.2451425498772126 
vexing 	 4104.980288551413 1.2451425498772126 
official 	 1557.4698507922576 1.2451425498772126 
corruption 	 1008.2189481365722 1.5347770160966585 
drug 	 897.5076745903458 1.5347770160966585 
trafficking 	 2875.833292660967 1.2451425498772126 
independence 	 948.4157363459135 1.5347770160966585 
popular 	 1557.4698507922576 1.2451425498772126 
columnist 	 1675.6661292625447 1.5347770160966585 
known 	 1251.9864933666777 1.2451425498772126 
cat 	 3153.9823568231677 1.2451425498772126 
writing 	 731.8895168891562 1.5347770160966585 
frequently 	 1771.7588847311738 1.2451425498772126 
targeted 	 2770.0859262994677 1.2451425498772126 
wealthy 	 3351.3322585250894 1.2451425498772126 
powerful 	 1024.9539744466874 1.5347770160966585 
murdered 	 1230.0120657058653 1.5347770160966585 
unidentified 	 3153.9823568231677 1.2451425498772126 
assailants 	 3351.3322585250894 1.2451425498772126 
riddled 	 3629.4813226872902 1.2451425498772126 
office 	 1125.1297691597854 1.2451425498772126 
bullets 	 3153.9823568231677 1.2451425498772126 
suffered 	 2345.425029332798 1.2451425498772126 
waves 	 2678.483390959045 1.2451425498772126 
harassment 	 2460.0241314117307 1.2451425498772126 
ranging 	 2202.9844250949227 1.2451425498772126 
confiscation 	 4104.980288551413 1.2451425498772126 
issues 	 952.728071359084 1.2451425498772126 
outright 	 3000.90588062162 1.2451425498772126 
threats 	 2247.2578505952965 1.2451425498772126 
advertisers 	 3351.3322585250894 1.2451425498772126 
death 	 1241.3506214030056 1.2451425498772126 
documented 	 2525.4069147574974 1.2451425498772126 
cpj 	 586.3562573331996 1.736773786982992 
past 	 1180.7818929010703 1.2451425498772126 
decade 	 1844.0361984724427 1.2451425498772126 
apparent 	 2345.425029332798 1.2451425498772126 
reprisal 	 1675.6661292625447 1.5347770160966585 
virtually 	 2400.334326796845 1.2451425498772126 
investigations 	 2085.0951488432347 1.2451425498772126 
incomplete 	 2875.833292660967 1.2451425498772126 
contradictory 	 3153.9823568231677 1.2451425498772126 
leaving 	 2161.395934528848 1.2451425498772126 
key 	 1200.3832263976926 1.2451425498772126 
questions 	 1107.539061759036 1.2451425498772126 
unresolved 	 3351.3322585250894 1.2451425498772126 
leading 	 1057.3215265990557 1.2451425498772126 
suspects 	 3153.9823568231677 1.2451425498772126 
uninvestigated 	 4104.980288551413 1.2451425498772126 
zeta's_ 	 4104.980288551413 1.2451425498772126 
drama 	 2400.334326796845 1.2451425498772126 
played 	 962.417680466361 1.5347770160966585 
contentious 	 3629.4813226872902 1.2451425498772126 
volatile 	 3351.3322585250894 1.2451425498772126 
regions 	 1795.0153491806916 1.2451425498772126 
baja 	 718.9583231652417 1.736773786982992 
california 	 590.5862949103913 1.663781949986173 
elect 	 2678.483390959045 1.2451425498772126 
opposition 	 770.469465204511 1.5347770160966585 
governor 	 2345.425029332798 1.2451425498772126 
ernesto 	 3629.4813226872902 1.2451425498772126 
ruffo 	 2052.4901442757064 1.5347770160966585 
appel 	 4104.980288551413 1.2451425498772126 
center 	 1065.4399645448993 1.2451425498772126 
national 	 781.867947240819 1.2451425498772126 
action 	 1381.360035854657 1.2451425498772126 
