term 	 tf-idf weight 	 BM25 ranking 
 ws3 	 169.30525120407185 1.94499647135738 
follow 	 83.73249442242293 1.94499647135738 
ups 	 109.40758154322091 1.94499647135738 
post 	 63.25129905455102 1.94499647135738 
followup 	 134.14965796669233 1.94499647135738 
workspace 	 160.55418965145273 1.9186138385516542 
user 	 132.7229018793115 1.9186138385516542 
http 	 10.53021206898307 1.9584617597949245 
www 	 10.436644699007296 1.9584617597949245 
rosl 	 100.61224347501926 1.9584617597949245 
com 	 9.267418946735296 1.9666307980433066 
wwwboard 	 64.60841810611004 1.9721147894341744 
html 	 6.287188802821339 1.9721147894341744 
faq 	 83.97671114158057 1.9584617597949245 
posted 	 353.4097140185419 1.84359238481395 
jeffrey 	 507.91575361221555 1.84359238481395 
moore 	 387.6505086366602 1.84359238481395 
mailto 	 69.73832723130326 1.84359238481395 
jmoore9288 	 574.4578829459704 1.84359238481395 
aol 	 363.52432352169325 1.84359238481395 
july 	 222.75596491752424 1.84359238481395 
accurate 	 172.12996837866336 1.9186138385516542 
users 	 143.4337923423936 1.9186138385516542 
simulated 	 187.41574747235302 1.9186138385516542 
machine 	 143.4337923423936 1.9186138385516542 
cycle 	 92.57260247452399 1.94499647135738 
time 	 45.76792124614824 1.9186138385516542 
found 	 89.9069959926662 1.9186138385516542 
production 	 105.5878390449086 1.9186138385516542 
equiptment 	 287.2289414729852 1.9186138385516542 
built 	 127.28312498457535 1.9186138385516542 
times 	 156.21383558376948 1.84359238481395 
james 	 241.74723627719652 1.84359238481395 
potter 	 419.9518433522967 1.84359238481395 
gfd 	 574.4578829459704 1.84359238481395 
name 	 188.02412063539595 1.84359238481395 
mail 	 169.38514324906401 1.84359238481395 
subject 	 84.87070587484723 1.84359238481395 
comments 	 108.66297760968703 1.84359238481395 
optional 	 154.14468280547564 1.9186138385516542 
link 	 130.840307647954 1.9186138385516542 
url 	 176.70485700927094 1.9186138385516542 
title 	 110.93976416494937 1.84359238481395 
image 	 173.71670503598912 1.84359238481395 
