term 	 tf-idf weight 	 BM25 ranking 
 transmission 	 6401.083199081544 0.775955953794667 
statistics 	 5624.040441886289 0.775955953794667 
aug 	 226.75865480165325 1.9087575768988239 
reqs 	 3560.4420870088784 1.3107689165432674 
requests 	 2253.093463493828 1.3107689165432674 
date 	 4440.060263808968 0.775955953794667 
total 	 2048.338217716629 1.1181098932552633 
transfers 	 3379.640195240742 1.1181098932552633 
reversed 	 3904.239793665883 1.1181098932552633 
subdomain 	 5340.663130513318 1.1181098932552633 
arpa 	 9444.058543727133 0.775955953794667 
addr 	 10681.326261026636 0.775955953794667 
uni 	 3148.019514575711 1.3107689165432674 
stuttgart 	 10681.326261026636 0.775955953794667 
imit 	 10681.326261026636 0.775955953794667 
kai 	 8206.79082642763 0.775955953794667 
zamg 	 10681.326261026636 0.775955953794667 
zaamus1 	 10681.326261026636 0.775955953794667 
siemens 	 9444.058543727133 0.775955953794667 
proxy 	 410.61124103161444 1.8716331542573161 
edu 	 13.370226487334277 1.9786218596911058 
qut 	 10681.326261026636 0.775955953794667 
bee 	 8720.30332575406 0.775955953794667 
eese 	 10681.326261026636 0.775955953794667 
lab 	 7483.0356084545565 0.775955953794667 
watt 	 10681.326261026636 0.775955953794667 
tafensw 	 10681.326261026636 0.775955953794667 
isufw1 	 10681.326261026636 0.775955953794667 
unisa 	 5340.663130513318 1.1181098932552633 
city 	 2974.609978364321 0.775955953794667 
pelican 	 10681.326261026636 0.775955953794667 
schulz 	 10681.326261026636 0.775955953794667 
sat201619 	 10681.326261026636 0.775955953794667 
uwa 	 10681.326261026636 0.775955953794667 
styx 	 10681.326261026636 0.775955953794667 
gov 	 172.57786344521733 1.8766519018656391 
bom 	 9444.058543727133 0.775955953794667 
leo 	 7207.876644962901 0.775955953794667 
tas 	 9444.058543727133 0.775955953794667 
pacit 	 10681.326261026636 0.775955953794667 
anfi 	 10681.326261026636 0.775955953794667 
net 	 62.75558670735176 1.953313849065274 
aone 	 9444.058543727133 0.775955953794667 
syd 	 10681.326261026636 0.775955953794667 
px1 	 10681.326261026636 0.775955953794667 
ice 	 5970.608927663398 0.775955953794667 
