term 	 tf-idf weight 	 BM25 ranking 
 addis 	 351.8374751584618 1.8889873546797358 
private 	 56.8499122063828 1.9490911790568164 
press 	 61.834643251908744 1.9350183926463875 
challenges 	 444.8689004925669 1.789650439913073 
facing 	 384.7548790347403 1.789650439913073 
independent 	 125.65784927792846 1.8889873546797358 
journalists 	 181.26834288726963 1.8889873546797358 
economic 	 397.7497763140434 1.619337024540762 
publishers 	 387.872188651774 1.8546720136077264 
include 	 454.13386300452197 1.619337024540762 
competition 	 696.0263598863907 1.619337024540762 
pool 	 1007.2653130913583 1.619337024540762 
advertising 	 397.4311329487155 1.789650439913073 
revenue 	 871.3856971696048 1.619337024540762 
fluctuating 	 1163.616565955322 1.619337024540762 
price 	 305.2760634136995 1.619337024540762 
newsprint 	 1407.3499006338473 1.619337024540762 
international 	 179.44456989685477 1.789650439913073 
market 	 251.31569855585693 1.789650439913073 
complain 	 1407.3499006338473 1.619337024540762 
crippled 	 1591.7270506627926 1.619337024540762 
informal 	 1007.2653130913583 1.619337024540762 
ban 	 610.4851158684855 1.619337024540762 
advertisements 	 503.63265654567914 1.789650439913073 
placed 	 735.5060812478513 1.619337024540762 
owned 	 822.8881630624129 1.619337024540762 
institutions 	 591.247819888305 1.619337024540762 
refusal 	 889.7378009851338 1.619337024540762 
government 	 44.83677896624948 1.9350183926463875 
media 	 115.1703482799679 1.789650439913073 
accept 	 705.3606509561885 1.619337024540762 
paid 	 705.3606509561885 1.619337024540762 
promotional 	 1038.5956005759563 1.619337024540762 
newspapers 	 134.75104703408658 1.9245964451038957 
reported 	 545.861432358122 1.619337024540762 
warnings 	 1163.616565955322 1.619337024540762 
businesses 	 769.5097580694807 1.619337024540762 
received 	 535.6294016579283 1.619337024540762 
repercussions 	 1591.7270506627926 1.619337024540762 
placing 	 1115.11903184813 1.619337024540762 
simultaneously 	 1007.2653130913583 1.619337024540762 
technologically 	 1299.4961818770755 1.619337024540762 
advanced 	 669.8413005180654 1.619337024540762 
advantage 	 687.0085471406593 1.619337024540762 
short 	 525.7764233909553 1.619337024540762 
lived 	 854.2184505470109 1.619337024540762 
major 	 178.15953574559376 1.789650439913073 
modernization 	 1074.1149510140795 1.619337024540762 
program 	 313.8574527637464 1.619337024540762 
news 	 485.46415048911996 1.619337024540762 
organs 	 1115.11903184813 1.619337024540762 
operating 	 696.0263598863907 1.619337024540762 
shoestring 	 1591.7270506627926 1.619337024540762 
budgets 	 1407.3499006338473 1.619337024540762 
skeleton 	 1591.7270506627926 1.619337024540762 
staffs 	 795.8635253313963 1.789650439913073 
magazines 	 1115.11903184813 1.619337024540762 
lay 	 953.8869080984261 1.619337024540762 
publications 	 82.31821737346638 1.9245964451038957 
personal 	 380.39579749704876 1.619337024540762 
computers 	 808.5062822045195 1.619337024540762 
equipped 	 1163.616565955322 1.619337024540762 
outdated 	 1222.9727506049019 1.619337024540762 
desktop 	 1299.4961818770755 1.619337024540762 
publishing 	 871.3856971696048 1.619337024540762 
programs 	 432.8425027633612 1.619337024540762 
modified 	 794.862265897431 1.619337024540762 
amharic 	 318.3454101325586 1.910192911497471 
english 	 98.54130331471751 1.9245964451038957 
languages 	 1007.2653130913583 1.619337024540762 
laser 	 1007.2653130913583 1.619337024540762 
printers 	 1591.7270506627926 1.619337024540762 
prepare 	 953.8869080984261 1.619337024540762 
camera 	 1115.11903184813 1.619337024540762 
ready 	 757.6855892256388 1.619337024540762 
page 	 130.57270673420675 1.619337024540762 
proofs 	 1407.3499006338473 1.619337024540762 
self 	 481.34003687055315 1.619337024540762 
taught 	 909.4505215780239 1.619337024540762 
production 	 292.5663040202676 1.789650439913073 
produce 	 781.8840822283621 1.619337024540762 
basic 	 551.1289312189058 1.619337024540762 
graphics 	 808.5062822045195 1.619337024540762 
greatly 	 979.2394159263765 1.619337024540762 
benefit 	 525.7764233909553 1.619337024540762 
access 	 573.3084391966934 1.619337024540762 
sophisticated 	 909.4505215780239 1.619337024540762 
technology 	 498.2346027926919 1.619337024540762 
training 	 573.3084391966934 1.619337024540762 
