term 	 tf-idf weight 	 BM25 ranking 
 www 	 1.6524687440094885 1.9933060980355353 
xgi 	 113.69478933305662 1.9669726538127252 
samples 	 39.825679708861784 1.983348841008253 
images 	 36.22157789884795 1.9669726538127252 
space 	 39.75020366895471 1.9669726538127252 
gif 	 6.566050615715449 1.9669726538127252 
url 	 69.94567256616975 1.9669726538127252 
http 	 8.33641788794493 1.9669726538127252 
microsoft 	 24.55917957070289 1.9669726538127252 
com 	 9.170883332706804 1.9669726538127252 
zjw 	 113.69478933305662 1.9669726538127252 
isapi 	 113.69478933305662 1.9669726538127252 
drop 	 61.015603610500776 1.9669726538127252 
htm 	 12.465142126054578 1.9669726538127252 
