term 	 tf-idf weight 	 BM25 ranking 
 death 	 68.76286241007902 1.9350183926463873 
valley 	 127.10540014073341 1.9350183926463873 
seen 	 143.60897060334682 1.8741265159511225 
imaging 	 154.00119661038465 1.9142861607035058 
radar 	 146.57328725132965 1.9142861607035058 
thanks 	 613.7799720080453 1.7631590308767715 
dan 	 122.03120722100155 1.9350183926463873 
blumberg 	 201.04998580483533 1.9350183926463873 
asu 	 185.64231169672507 1.9350183926463873 
providing 	 311.92081849035543 1.7631590308767715 
images 	 144.8863115953918 1.8741265159511225 
following 	 223.90766967389172 1.7631590308767715 
progress 	 382.76645743889446 1.7631590308767715 
ronald 	 613.7799720080453 1.7631590308767715 
greely 	 909.558314664453 1.7631590308767715 
steve 	 575.5801789093476 1.7631590308767715 
wall 	 508.42160056293363 1.7631590308767715 
jpl 	 213.24706622578262 1.8741265159511225 
nick 	 698.8415717742296 1.7631590308767715 
lancaster 	 637.2108753417886 1.7631590308767715 
dri 	 909.558314664453 1.7631590308767715 
haim 	 909.558314664453 1.7631590308767715 
tsoar 	 909.558314664453 1.7631590308767715 
israel 	 545.0782331991006 1.7631590308767715 
jim 	 497.934684096917 1.7631590308767715 
iversen 	 909.558314664453 1.7631590308767715 
iowa 	 698.8415717742296 1.7631590308767715 
bruce 	 213.24706622578262 1.8741265159511225 
white 	 321.13576100645355 1.7631590308767715 
davis 	 559.565380529358 1.7631590308767715 
keld 	 909.558314664453 1.7631590308767715 
rasmussen 	 804.1999432193413 1.7631590308767715 
denmark 	 664.9237519744697 1.7631590308767715 
tony 	 698.8415717742296 1.7631590308767715 
dobrovolskis 	 909.558314664453 1.7631590308767715 
nasa 	 196.28815632590266 1.8741265159511225 
ames 	 909.558314664453 1.7631590308767715 
sir 	 426.49413245156524 1.7631590308767715 
data 	 85.11347349913972 1.9142861607035058 
color 	 154.00119661038465 1.9142861607035058 
composite 	 204.59332400268178 1.9142861607035058 
dv120_3 	 909.558314664453 1.7631590308767715 
gif 	 8.754734154287265 1.9562046126535169 
mbytes 	 909.558314664453 1.7631590308767715 
airsar 	 318.6054376708943 1.8741265159511225 
stovepipe 	 909.558314664453 1.7631590308767715 
dune 	 303.18610488815096 1.9142861607035058 
field 	 318.0016293516377 1.7631590308767715 
sttpw_asar 	 909.558314664453 1.7631590308767715 
various 	 92.853938287597 1.8741265159511225 
types 	 150.22183525455867 1.8741265159511225 
corner 	 637.2108753417886 1.7631590308767715 
reflectors 	 804.1999432193413 1.7631590308767715 
kbytes 	 303.18610488815096 1.9142861607035058 
furnace 	 909.558314664453 1.7631590308767715 
creek 	 613.7799720080453 1.7631590308767715 
wash 	 637.2108753417886 1.7631590308767715 
golden 	 265.92625194833846 1.8741265159511225 
canyon 	 454.7791573322265 1.8741265159511225 
gcyn_asar 	 909.558314664453 1.7631590308767715 
boundary 	 332.46187598723486 1.8741265159511225 
layer 	 306.88998600402266 1.8741265159511225 
micrometeorology 	 909.558314664453 1.7631590308767715 
tower 	 664.9237519744697 1.7631590308767715 
gcyn_tower 	 909.558314664453 1.7631590308767715 
deployed 	 593.4832003291178 1.7631590308767715 
mission 	 397.7293485065089 1.7631590308767715 
gower 	 909.558314664453 1.7631590308767715 
gulch 	 909.558314664453 1.7631590308767715 
image 	 275.0514496403161 1.7631590308767715 
study 	 92.20712587283595 1.8741265159511225 
focuses 	 303.23273958668324 1.7631590308767715 
sar 	 248.9673420484585 1.8741265159511225 
windblown 	 804.1999432193413 1.7631590308767715 
processes 	 392.5763126518053 1.7631590308767715 
including 	 133.4546026315647 1.7631590308767715 
sand 	 349.4207858871148 1.8741265159511225 
dust 	 332.46187598723486 1.8741265159511225 
storms 	 804.1999432193413 1.7631590308767715 
estimate 	 575.5801789093476 1.7631590308767715 
aerodynamic 	 909.558314664453 1.7631590308767715 
properties 	 559.565380529358 1.7631590308767715 
surface 	 488.1248288840062 1.7631590308767715 
parameter 	 664.9237519744697 1.7631590308767715 
climate 	 360.6987919425308 1.7631590308767715 
modeling 	 593.4832003291178 1.7631590308767715 
threshold 	 742.5692467869003 1.7631590308767715 
windspeed 	 909.558314664453 1.7631590308767715 
transport 	 497.934684096917 1.7631590308767715 
models 	 382.76645743889446 1.7631590308767715 
information 	 126.25799230079052 1.7631590308767715 
contact 	 245.4022410894657 1.7631590308767715 
edu 	 166.22524717474636 1.7631590308767715 
icons 	 462.003589831154 1.7631590308767715 
yellow 	 439.71986175398894 1.7631590308767715 
index 	 66.09874976037955 1.7631590308767715 
html 	 59.72829362680272 1.7631590308767715 
home 	 67.88350607763539 1.7631590308767715 
page 	 74.61297527668958 1.7631590308767715 
updated 	 162.83477203257303 1.7631590308767715 
chapman 	 488.1248288840062 1.7631590308767715 
gov 	 352.69694445274666 1.7631590308767715 
