term 	 tf-idf weight 	 BM25 ranking 
 touchpoint 	 92.5888092522268 1.9695403653183248 
reflexology 	 246.90349133927143 1.9207850235521318 
kinesthetics 	 837.7510792962067 1.7797983399694934 
icon 	 612.4297715554326 1.7797983399694934 
touchpnt 	 370.3552370089072 1.883484969183682 
gif 	 48.381425589482255 1.7797983399694934 
yvette 	 341.97267944133563 1.883484969183682 
eastman 	 321.834934369711 1.883484969183682 
health 	 74.75578348062108 1.9207850235521318 
consultant 	 565.3236584284629 1.7797983399694934 
bedwell 	 837.7510792962067 1.7797983399694934 
bay 	 405.0051358260425 1.7797983399694934 
road 	 371.2424478716781 1.7797983399694934 
belcarra 	 837.7510792962067 1.7797983399694934 
v3h 	 837.7510792962067 1.7797983399694934 
telephone 	 348.2400206908994 1.7797983399694934 
fax 	 332.22257152601526 1.7797983399694934 
outside 	 332.22257152601526 1.7797983399694934 
vancouver 	 468.2830531500705 1.7797983399694934 
http 	 7.6782796336334895 1.9695403653183248 
www 	 7.610053426359487 1.9695403653183248 
shared 	 39.66587451869846 1.9728788747514427 
vision 	 42.500293835961095 1.9695403653183248 
com 	 6.757492981994487 1.97555784233533 
mail 	 247.0200005715517 1.7797983399694934 
mailto 	 101.70172721231725 1.7797983399694934 
npsnet 	 837.7510792962067 1.7797983399694934 
touchpoint's 	 837.7510792962067 1.7797983399694934 
goal 	 376.3339180556006 1.7797983399694934 
finest 	 683.9453588826713 1.7797983399694934 
effective 	 292.89623756071893 1.7797983399694934 
information 	 58.14512803325879 1.883484969183682 
kinesiology 	 837.7510792962067 1.7797983399694934 
classes 	 405.0051358260425 1.7797983399694934 
available 	 219.11339420468295 1.7797983399694934 
social 	 179.68382808526837 1.7797983399694934 
professional 	 281.9102113989096 1.7797983399694934 
purposes 	 340.00235068768876 1.7797983399694934 
exquisite 	 740.7104740178144 1.7797983399694934 
learning 	 185.62122393583905 1.883484969183682 
experience 	 251.19941541250708 1.7797983399694934 
unique 	 348.2400206908994 1.7797983399694934 
favour 	 683.9453588826713 1.7797983399694934 
certificate 	 515.3891662770403 1.7797983399694934 
seminars 	 643.669868739422 1.7797983399694934 
unusual 	 515.3891662770403 1.7797983399694934 
methods 	 233.3027434011232 1.7797983399694934 
aid 	 314.4773327365351 1.7797983399694934 
recalling 	 740.7104740178144 1.7797983399694934 
vast 	 468.2830531500705 1.7797983399694934 
amounts 	 449.5886581826373 1.7797983399694934 
promise 	 502.0457411044348 1.7797983399694934 
stress 	 411.51793801492744 1.7797983399694934 
free 	 177.16123731489344 1.7797983399694934 
environment 	 255.5074476258526 1.7797983399694934 
comfort 	 515.3891662770403 1.7797983399694934 
courses 	 244.93207416294334 1.883484969183682 
calendar 	 586.904753604279 1.7797983399694934 
htm 	 15.308069277610885 1.9595922877831737 
consultations 	 586.904753604279 1.7797983399694934 
services 	 197.29154230573306 1.7797983399694934 
explained 	 458.6240511418972 1.7797983399694934 
help 	 240.9758965104225 1.7797983399694934 
merchandise 	 565.3236584284629 1.7797983399694934 
pages 	 162.91166011150148 1.7797983399694934 
attached 	 458.6240511418972 1.7797983399694934 
copyright 	 109.19014310545529 1.7797983399694934 
rights 	 128.9877746724313 1.7797983399694934 
reserved 	 155.22345404804545 1.7797983399694934 
vision's 	 468.2830531500705 1.7797983399694934 
village 	 348.2400206908994 1.7797983399694934 
market 	 132.2714202925563 1.883484969183682 
index 	 60.880427410875896 1.7797983399694934 
html 	 55.01290202468672 1.7797983399694934 
page 	 68.72247722852987 1.7797983399694934 
design 	 262.22873831194306 1.7797983399694934 
netadsrus 	 418.87553964810337 1.883484969183682 
index1 	 837.7510792962067 1.7797983399694934 
