term 	 tf-idf weight 	 BM25 ranking 
 children 	 162.3699169509645 1.8588431094055973 
adoptee 	 7198.67534566669 0.9693997006973298 
classifieds 	 7198.67534566669 0.9693997006973298 
http 	 8.247294999340257 1.96731997274834 
www 	 11.625262567505349 1.9538402008684992 
law 	 1006.2394900601062 0.9693997006973298 
cornell 	 2765.481614619731 1.3058527627246372 
edu 	 52.6234137766368 1.9184186726368833 
shelden 	 7198.67534566669 0.9693997006973298 
adoption 	 2214.332739397427 1.3058527627246372 
html 	 13.131055780892483 1.9426312672332418 
provides 	 112.65421708101884 1.8940212877876648 
details 	 3190.03331992592 0.9693997006973298 
child 	 523.8520740945991 1.6493124713399696 
contains 	 580.0252123794394 1.6989628962886834 
entries 	 5262.521537008468 0.9693997006973298 
connected 	 3940.890953740731 0.9693997006973298 
contact 	 1942.2295791488634 0.9693997006973298 
addresses 	 3426.6758039039228 0.9693997006973298 
includes 	 182.96504043407273 1.788707447871008 
option 	 3233.783595863482 0.9693997006973298 
posting 	 5530.963229239462 0.9693997006973298 
list 	 552.190672473525 1.6493124713399696 
adoptees 	 3599.337672833345 1.3058527627246372 
mailing 	 1214.4363590882872 1.5800495139394797 
home 	 35.817481496226044 1.8676307410115878 
page 	 39.368161955200684 1.8676307410115878 
psy 	 1588.5581154498734 0.9693997006973298 
ucsd 	 6364.819287453076 0.9693997006973298 
jhartung 	 7198.67534566669 0.9693997006973298 
information 	 47.58407416599342 1.903628147770133 
legal 	 2053.8460044903754 0.9693997006973298 
links 	 281.4922109814808 1.8588431094055973 
related 	 382.4306025191492 1.6493124713399696 
pages 	 349.96915556095763 1.5800495139394797 
canadian 	 1768.057426542706 1.3058527627246372 
resources 	 1126.6470435330982 1.3058527627246372 
alice's 	 3599.337672833345 1.3058527627246372 
adventures 	 2348.5535855129237 1.3058527627246372 
wonderland 	 2765.481614619731 1.3058527627246372 
indiana 	 5262.521537008468 0.9693997006973298 
metastuff 	 7198.67534566669 0.9693997006973298 
wonder 	 5877.044762398954 0.9693997006973298 
wonderdir 	 7198.67534566669 0.9693997006973298 
lewis 	 3940.890953740731 0.9693997006973298 
carroll's 	 7198.67534566669 0.9693997006973298 
online 	 303.1454579800562 1.8488057375125067 
alphabet 	 2938.522381199477 1.3058527627246372 
klsc 	 7198.67534566669 0.9693997006973298 
com 	 21.505989569680867 1.9242328010095502 
offers 	 155.7819793835394 1.8753883587416542 
simple 	 3147.818462192962 0.9693997006973298 
games 	 701.5554409952877 1.6989628962886834 
teach 	 4555.414179131219 0.9693997006973298 
counting 	 5877.044762398954 0.9693997006973298 
plans 	 2087.7355694813114 0.9693997006973298 
add 	 3656.515253729462 0.9693997006973298 
educational 	 830.8372233788767 1.4766931776531942 
ascii 	 7198.67534566669 0.9693997006973298 
artgoodies 	 7198.67534566669 0.9693997006973298 
gagme 	 3599.337672833345 1.3058527627246372 
wwa 	 3599.337672833345 1.3058527627246372 
boba 	 3599.337672833345 1.3058527627246372 
otherascii 	 7198.67534566669 0.9693997006973298 
pictures 	 1287.7503709374112 1.4766931776531942 
drawn 	 4023.889378139534 0.9693997006973298 
computer 	 1395.7053426863627 1.3058527627246372 
typewriter 	 6364.819287453076 0.9693997006973298 
typed 	 7198.67534566669 0.9693997006973298 
letters 	 4113.041268640462 0.9693997006973298 
symbols 	 4697.1071710258475 0.9693997006973298 
asylum'slite 	 7198.67534566669 0.9693997006973298 
brite 	 3182.409643726538 1.3058527627246372 
galcit 	 7198.67534566669 0.9693997006973298 
caltech 	 6364.819287453076 0.9693997006973298 
allows 	 3594.809420581239 0.9693997006973298 
lite 	 6364.819287453076 0.9693997006973298 
style 	 2956.463634553448 0.9693997006973298 
web 	 274.29878994436956 1.788707447871008 
people 	 704.8087830768359 1.3058527627246372 
aunt 	 6364.819287453076 0.9693997006973298 
annie's 	 7198.67534566669 0.9693997006973298 
craft 	 1214.4363590882872 1.5800495139394797 
mineral 	 6364.819287453076 0.9693997006973298 
galleries 	 7198.67534566669 0.9693997006973298 
annie 	 5877.044762398954 0.9693997006973298 
auntannie 	 7198.67534566669 0.9693997006973298 
htm 	 197.31007865320603 1.5800495139394797 
features 	 3279.1852104268473 0.9693997006973298 
project 	 661.5738040157555 1.5800495139394797 
week 	 1395.7053426863627 1.3058527627246372 
emphasizes 	 5043.18870418534 0.9693997006973298 
learning 	 1595.01665996296 1.3058527627246372 
creativity 	 4857.745436353149 0.9693997006973298 
solving 	 4113.041268640462 0.9693997006973298 
fun 	 1214.4363590882872 1.5800495139394797 
doing 	 2992.3767492225143 0.9693997006973298 
crafts 	 5262.521537008468 0.9693997006973298 
sites 	 327.91852104268474 1.807806247662172 
suggested 	 1740.0756371383181 1.3058527627246372 
books 	 564.5318391031695 1.6493124713399696 
reading 	 3426.6758039039228 0.9693997006973298 
free 	 761.1606017493457 1.3058527627246372 
software 	 675.0953175516223 1.6493124713399696 
download 	 1681.0629013951134 1.4766931776531942 
projects 	 808.4458989658705 1.5800495139394797 
offer 	 2921.5916276949256 0.9693997006973298 
variety 	 2516.8155270396064 0.9693997006973298 
designs 	 5530.963229239462 0.9693997006973298 
patterns 	 2854.741096755688 0.9693997006973298 
print 	 3536.114853085412 0.9693997006973298 
illustrated 	 4428.665478794854 0.9693997006973298 
instructions 	 4428.665478794854 0.9693997006973298 
serve 	 3067.5887386710588 0.9693997006973298 
integrate 	 5877.044762398954 0.9693997006973298 
hands 	 1768.057426542706 1.3058527627246372 
math 	 4314.0073324902505 0.9693997006973298 
science 	 187.94076348798862 1.736297902849676 
lessons 	 4857.745436353149 0.9693997006973298 
berit's 	 7198.67534566669 0.9693997006973298 
cochran 	 5262.521537008468 0.9693997006973298 
theosite 	 7198.67534566669 0.9693997006973298 
ksites 	 7198.67534566669 0.9693997006973298 
categorizes 	 7198.67534566669 0.9693997006973298 
rates 	 3147.818462192962 0.9693997006973298 
children's 	 772.6502225624466 1.6493124713399696 
interactive 	 1438.0024441634168 1.4766931776531942 
exhibits 	 1518.4713930437395 1.4766931776531942 
bob 	 5043.18870418534 0.9693997006973298 
allison's 	 7198.67534566669 0.9693997006973298 
uncle 	 4857.745436353149 0.9693997006973298 
bob's 	 7198.67534566669 0.9693997006973298 
kids' 	 1028.3821922380987 1.736297902849676 
kidsi 	 7198.67534566669 0.9693997006973298 
lists 	 751.7887910012097 1.736297902849676 
kid 	 3182.409643726538 1.3058527627246372 
safe 	 1828.257626864731 1.3058527627246372 
divided 	 4023.889378139534 0.9693997006973298 
sections 	 4113.041268640462 0.9693997006973298 
full 	 1035.335726792994 1.3058527627246372 
boy 	 2157.0036662451253 1.3058527627246372 
scouts 	 3182.409643726538 1.3058527627246372 
america 	 589.0443154280764 1.5800495139394797 
scouting 	 3599.337672833345 1.3058527627246372 
org 	 3067.5887386710588 0.9693997006973298 
troops 	 3480.1512742766363 0.9693997006973298 
kids 	 202.40605984804785 1.9151636394738447 
onramp 	 7198.67534566669 0.9693997006973298 
lowens 	 7198.67534566669 0.9693997006973298 
briefly 	 5043.18870418534 0.9693997006973298 
describes 	 2422.414173663488 0.9693997006973298 
activities 	 719.5068970029668 1.4766931776531942 
including 	 1056.2229405642918 0.9693997006973298 
icons 	 3656.515253729462 0.9693997006973298 
reveal 	 4555.414179131219 0.9693997006973298 
link 	 1639.5926052134237 1.3058527627246372 
graphic 	 4113.041268640462 0.9693997006973298 
heavy 	 4209.332645971726 0.9693997006973298 
sounds 	 4428.665478794854 0.9693997006973298 
originates 	 6364.819287453076 0.9693997006973298 
canada 	 1573.909231096481 1.3058527627246372 
carlos' 	 7198.67534566669 0.9693997006973298 
coloring 	 2121.606429151025 1.4766931776531942 
book 	 971.1147895744317 1.3058527627246372 
robot0 	 7198.67534566669 0.9693997006973298 
uiuc 	 3182.409643726538 1.3058527627246372 
carlosp 	 7198.67534566669 0.9693997006973298 
color 	 1828.257626864731 1.3058527627246372 
types 	 2377.8535238320273 0.9693997006973298 
interactively 	 6364.819287453076 0.9693997006973298 
mouse 	 7198.67534566669 0.9693997006973298 
requires 	 3067.5887386710588 0.9693997006973298 
macintosh 	 5530.963229239462 0.9693997006973298 
program 	 1419.4380288525824 0.9693997006973298 
available 	 941.4050472436913 1.3058527627246372 
site 	 399.9879229416447 1.6989628962886834 
safety 	 546.2496298842816 1.6493124713399696 
superhighway 	 6364.819287453076 0.9693997006973298 
compuserve 	 4428.665478794854 0.9693997006973298 
news_rel 	 7198.67534566669 0.9693997006973298 
chldsfty 	 7198.67534566669 0.9693997006973298 
text 	 1573.909231096481 1.3058527627246372 
brochure 	 5043.18870418534 0.9693997006973298 
prepared 	 3480.1512742766363 0.9693997006973298 
national 	 685.5591403285024 1.3058527627246372 
center 	 1868.4027366581836 0.9693997006973298 
missing 	 4555.414179131219 0.9693997006973298 
exploited 	 4857.745436353149 0.9693997006973298 
protect 	 2702.2587948717983 0.9693997006973298 
harm 	 4697.1071710258475 0.9693997006973298 
internet 	 177.9024567916791 1.736297902849676 
model 	 2516.8155270396064 0.9693997006973298 
parent 	 1797.4047102906195 1.3058527627246372 
pledge 	 5530.963229239462 0.9693997006973298 
usage 	 3656.515253729462 0.9693997006973298 
rules 	 2791.4106853727253 0.9693997006973298 
dnai 	 7198.67534566669 0.9693997006973298 
nonprofit 	 2822.659195515848 0.9693997006973298 
