term 	 tf-idf weight 	 BM25 ranking 
 workspace 	 441.524021541495 1.7910667937181293 
changes 	 381.88987923259856 1.660932788846021 
summary 	 3792.3004774353735 0.7595491027875889 
feature 	 3026.918737536522 1.1009756659453127 
ability 	 3943.2414787497396 0.7595491027875889 
easily 	 2808.495506605173 1.1009756659453127 
offline 	 2832.147422453457 1.295017743325713 
program 	 726.8277853476231 1.295017743325713 
applications 	 1445.3516745118557 1.295017743325713 
geometry 	 410.3672153296028 1.8617922905727158 
paths 	 999.6918896846564 1.6216577202285765 
include 	 3155.035258768258 0.7595491027875889 
spot 	 736.3337536198378 1.6928205637082807 
welding 	 1616.8145969063423 1.5075813660352384 
arc 	 584.6320831391483 1.4201667920663121 
paint 	 2832.147422453457 1.295017743325713 
spraying 	 3259.1260856783833 1.295017743325713 
material 	 1777.3077816100727 1.1009756659453127 
handling 	 3090.668150790465 1.1009756659453127 
sealant 	 5529.157123354964 1.1009756659453127 
laser 	 2332.6144092641985 1.295017743325713 
cutting 	 3233.103378950852 1.1009756659453127 
water 	 2144.026162331171 1.1009756659453127 
jet 	 2716.018390898521 1.1009756659453127 
deburring 	 3686.1047489033094 1.295017743325713 
path 	 141.73202072618608 1.9341915053243761 
created 	 571.8949838577664 1.5720919815365018 
saved 	 2694.690994843904 1.295017743325713 
model 	 351.47548507286274 1.7414512934025423 
user 	 141.9397700653748 1.9132072900311463 
issue 	 1311.6993944386834 1.1009756659453127 
follow 	 1611.8505176316414 1.295017743325713 
command 	 351.01599078450045 1.8336342473227272 
automatically 	 3090.668150790465 1.1009756659453127 
create 	 207.5390251973547 1.8416972829723426 
simulate 	 2487.4240970852366 1.295017743325713 
robot 	 80.0318986258283 1.9537570855270412 
programme 	 3873.571373788241 1.1009756659453127 
language 	 568.9978494282972 1.6216577202285765 
currently 	 3904.3347785521455 0.7595491027875889 
selected 	 604.4439441118656 1.660932788846021 
tool 	 107.99147213769407 1.9314283663382346 
graphics 	 2808.495506605173 1.1009756659453127 
designed 	 3491.9654957234857 0.7595491027875889 
action 	 620.2024650776012 1.5720919815365018 
languages 	 2332.6144092641985 1.295017743325713 
htm 	 303.09977169669554 1.4201667920663121 
available 	 578.459360700363 1.5075813660352384 
options 	 502.0182731983775 1.7414512934025423 
including 	 811.2635054708276 1.1009756659453127 
abb 	 8496.44226736037 0.7595491027875889 
rapid 	 6181.33630158093 0.7595491027875889 
yaskawa 	 11058.314246709928 0.7595491027875889 
motoman 	 9777.378257035149 0.7595491027875889 
inform1 	 11058.314246709928 0.7595491027875889 
inform2 	 11058.314246709928 0.7595491027875889 
sankyo 	 9777.378257035149 0.7595491027875889 
ibm 	 5716.907238117816 0.7595491027875889 
aml2 	 11058.314246709928 0.7595491027875889 
psi 	 2457.7955196188245 0.7595491027875889 
commands 	 400.1845291092313 1.8247057606379307 
editing 	 1504.679789541877 1.5720919815365018 
improved 	 1905.635746039272 1.295017743325713 
multiple 	 788.8858578831647 1.6216577202285765 
gps 	 184.70526668174716 1.9314283663382346 
teachpoints 	 480.79627159608384 1.867402931480056 
save 	 3090.668150790465 1.1009756659453127 
time 	 135.54345907513132 1.7767887105572768 
edit 	 347.233797586587 1.881798370759381 
methods 	 3079.5962128948263 0.7595491027875889 
useful 	 1123.3982026420692 1.5075813660352384 
reverse 	 2487.4240970852366 1.295017743325713 
engineering 	 2592.6353841134624 1.1009756659453127 
workcells 	 3686.1047489033094 1.295017743325713 
minute 	 6466.206757901704 0.7595491027875889 
touch 	 6318.287834121008 0.7595491027875889 
ups 	 6318.287834121008 0.7595491027875889 
programs 	 3007.1163349875624 0.7595491027875889 
programming 	 3026.918737536522 1.1009756659453127 
interface 	 7462.272291255709 0.7595491027875889 
efficiency 	 5109.831722353493 0.7595491027875889 
calibration 	 1291.1904579294137 1.5720919815365018 
rtrkspec 	 11058.314246709928 0.7595491027875889 
robotrak 	 621.8560242713091 1.760416013543169 
setup 	 1805.6157474502525 1.5075813660352384 
procedures 	 3982.98494599808 0.7595491027875889 
altered 	 7747.142747576482 0.7595491027875889 
increase 	 3866.23033580149 0.7595491027875889 
reliability 	 8084.072984531711 0.7595491027875889 
inexperienced 	 8496.44226736037 0.7595491027875889 
users 	 5522.201005182153 0.7595491027875889 
reflect 	 1483.642572002703 1.4201667920663121 
past 	 3180.881833937577 0.7595491027875889 
years' 	 8496.44226736037 0.7595491027875889 
accumulated 	 8084.072984531711 0.7595491027875889 
experience 	 3315.8322834450937 0.7595491027875889 
rsl 	 11058.314246709928 0.7595491027875889 
close 	 1445.3516745118557 1.295017743325713 
contact 	 2983.574615350872 0.7595491027875889 
industrial 	 3652.762520400321 0.7595491027875889 
customers 	 6318.287834121008 0.7595491027875889 
simulating 	 9777.378257035149 0.7595491027875889 
complex 	 1398.5443558134557 1.295017743325713 
features 	 5037.35184444623 0.7595491027875889 
customer 	 6318.287834121008 0.7595491027875889 
affordable 	 7462.272291255709 0.7595491027875889 
friendly 	 6318.287834121008 0.7595491027875889 
carry 	 5346.06779290376 0.7595491027875889 
tasks 	 6803.136994856932 0.7595491027875889 
shop 	 5822.53598689404 0.7595491027875889 
floor 	 5934.570288010812 0.7595491027875889 
level 	 2742.6659759395984 0.7595491027875889 
confidence 	 5716.907238117816 0.7595491027875889 
changed 	 2592.6353841134624 1.1009756659453127 
menu 	 380.36510340598255 1.8247057606379307 
load 	 3607.7531388427956 1.1009756659453127 
object 	 425.47752550166894 1.8416972829723426 
objects 	 2405.1687592285302 1.295017743325713 
displayed 	 1865.5680728139273 1.4201667920663121 
parents 	 5346.06779290376 0.7595491027875889 
set 	 249.33327053996348 1.7414512934025423 
project 	 4065.1318032289814 0.7595491027875889 
directory 	 1749.4608069481487 1.4201667920663121 
sets 	 1030.222716930155 1.5720919815365018 
ready 	 5263.920935672859 0.7595491027875889 
projectdir 	 11058.314246709928 0.7595491027875889 
copies 	 6466.206757901704 0.7595491027875889 
file 	 324.0794230141828 1.8147645801162835 
relative 	 1496.0103430258305 1.295017743325713 
ws3 	 9777.378257035149 0.7595491027875889 
submenu 	 552.9157123354964 1.8490148849752466 
polyline 	 1228.7015829677698 1.6928205637082807 
additional 	 4596.768273119872 0.7595491027875889 
polylines 	 5529.157123354964 1.1009756659453127 
creates 	 3401.568497428466 1.1009756659453127 
current 	 86.80827861452255 1.8967449267994863 
direction 	 2592.6353841134624 1.1009756659453127 
nearest 	 8084.072984531711 0.7595491027875889 
defined 	 719.6216920637471 1.6216577202285765 
represented 	 5822.53598689404 0.7595491027875889 
parallel 	 3607.7531388427956 1.1009756659453127 
entire 	 2483.803859166964 1.1009756659453127 
surface 	 1978.1900960036041 1.295017743325713 
boundary 	 2694.690994843904 1.295017743325713 
menus 	 3259.1260856783833 1.295017743325713 
similar 	 913.1906301000803 1.4201667920663121 
default 	 3731.1361456278546 1.1009756659453127 
beginnings 	 2967.285144005406 1.1009756659453127 
align 	 9777.378257035149 0.7595491027875889 
axes 	 1504.679789541877 1.5720919815365018 
tangent 	 3686.1047489033094 1.295017743325713 
flag 	 1399.568645558519 1.5075813660352384 
position 	 127.71763730298623 1.855685859808413 
normal 	 1336.51694822594 1.4201667920663121 
vector 	 582.0165393005225 1.8416972829723426 
exact 	 2332.6144092641985 1.295017743325713 
renamed 	 5529.157123354964 1.1009756659453127 
layout 	 8084.072984531711 0.7595491027875889 
information 	 1535.0313800780323 0.7595491027875889 
colour 	 4248.221133680185 1.1009756659453127 
view 	 1010.32060904144 1.295017743325713 
joint 	 387.8028581946694 1.760416013543169 
added 	 4541.599997219262 0.7595491027875889 
approach 	 187.82079273857252 1.8490148849752466 
moved 	 1399.568645558519 1.5075813660352384 
decide 	 5522.201005182153 0.7595491027875889 
orientation 	 5934.570288010812 0.7595491027875889 
creating 	 1633.4667706353837 1.295017743325713 
tools 	 1455.63399672351 1.4201667920663121 
attach 	 2124.1105668400924 1.4201667920663121 
moves 	 989.0950480018021 1.5720919815365018 
base 	 503.735184444623 1.7192261090602372 
frame 	 400.86145987142174 1.8336342473227272 
coincides 	 5529.157123354964 1.1009756659453127 
coordinate 	 1492.454458251142 1.5075813660352384 
link 	 1679.1172814820766 1.295017743325713 
add 	 1123.3982026420692 1.5075813660352384 
loads 	 4514.03936862563 1.1009756659453127 
positions 	 1570.7686309404592 1.295017743325713 
models 	 4653.634298336033 0.7595491027875889 
containing 	 2106.0959447070027 1.295017743325713 
library 	 2417.7757764474622 1.1009756659453127 
simply 	 4900.400311906151 0.7595491027875889 
dispose 	 8084.072984531711 0.7595491027875889 
allows 	 1104.4402010364306 1.5075813660352384 
select 	 2332.6144092641985 1.295017743325713 
delete 	 4888.689128517574 1.1009756659453127 
descendants 	 9777.378257035149 0.7595491027875889 
attached 	 3026.918737536522 1.1009756659453127 
adds 	 3607.7531388427956 1.1009756659453127 
edited 	 7747.142747576482 0.7595491027875889 
move 	 517.0704775928925 1.6928205637082807 
positioning 	 6627.003782578539 0.7595491027875889 
gripper 	 2764.578561677482 1.4201667920663121 
specify 	 3873.571373788241 1.1009756659453127 
grippers 	 11058.314246709928 0.7595491027875889 
referred 	 3159.143917060504 1.1009756659453127 
setting 	 1072.0130811655854 1.4201667920663121 
parameters 	 2021.0182461329277 1.4201667920663121 
simulation 	 1399.568645558519 1.5075813660352384 
weld 	 1128.5098421564076 1.660932788846021 
