term 	 tf-idf weight 	 BM25 ranking 
 nggsm 	 489.3979917617702 1.8488638292837263 
gif 	 10.65543301673121 1.9469486153873936 
images 	 117.56126160152404 1.8966389540754398 
volume 	 606.0389247232214 1.7189649399722582 
issue 	 262.6237965055805 1.7189649399722582 
line 	 75.25926974738894 1.9214645269773547 
hollis 	 553.5141059635652 1.8488638292837263 
harris 	 80.92821981268217 1.967827813423658 
caljet 	 369.0094039757101 1.8966389540754398 
airlines 	 136.20999394464636 1.9366742901239224 
chairman 	 112.32220513789717 1.9214645269773547 
chief 	 67.13260855327017 1.9469486153873936 
executive 	 74.01286805212497 1.9469486153873936 
officer 	 93.71783346355646 1.9469486153873936 
vastly 	 747.0348343518973 1.7189649399722582 
experienced 	 224.45155640098224 1.7189649399722582 
airline 	 387.77635505997 1.8488638292837263 
previously 	 572.3094367163397 1.7189649399722582 
holding 	 504.2803523931561 1.7189649399722582 
top 	 172.80485058596585 1.7189649399722582 
level 	 274.56342291603124 1.7189649399722582 
positions 	 471.74057909737814 1.7189649399722582 
largest 	 465.86706990918077 1.7189649399722582 
delta 	 202.3205495317054 1.9214645269773547 
continental 	 180.58288167909015 1.9214645269773547 
air 	 89.85776411031775 1.9366742901239224 
canada 	 121.01962084490815 1.9214645269773547 
prior 	 217.03738618887442 1.8488638292837263 
joining 	 663.4175864594317 1.7189649399722582 
served 	 297.0496491563853 1.8488638292837263 
president 	 52.215535885779644 1.9469486153873936 
joined 	 361.1657633581803 1.8488638292837263 
vice 	 535.1853580558418 1.7189649399722582 
february 	 552.8177413196419 1.7189649399722582 
tenure 	 747.0348343518973 1.7189649399722582 
holdings 	 809.2821981268216 1.7189649399722582 
september 	 439.0083980879487 1.7189649399722582 
following 	 272.51920322151295 1.7189649399722582 
lines 	 449.2888205515887 1.7189649399722582 
board 	 101.73828241306298 1.9214645269773547 
directors 	 700.5416651199297 1.7189649399722582 
operating 	 484.0784833796326 1.7189649399722582 
career 	 444.07720831274986 1.7189649399722582 
transportation 	 477.80669631963144 1.7189649399722582 
agent 	 504.2803523931561 1.7189649399722582 
marketing 	 217.03738618887442 1.8488638292837263 
division 	 471.74057909737814 1.7189649399722582 
aircraft 	 323.6602408581751 1.8488638292837263 
engineer 	 775.55271011994 1.7189649399722582 
head 	 411.2061905238212 1.7189649399722582 
engineering 	 259.5441266563802 1.8488638292837263 
department 	 355.8462549760427 1.7189649399722582 
continued 	 424.585512916052 1.7189649399722582 
rise 	 424.585512916052 1.7189649399722582 
corporation 	 411.2061905238212 1.7189649399722582 
key 	 323.71850857663725 1.7189649399722582 
management 	 308.29291092291277 1.7189649399722582 
roles 	 444.07720831274986 1.7189649399722582 
facilities 	 477.80669631963144 1.7189649399722582 
flight 	 647.3204817163502 1.7189649399722582 
service 	 140.4176049880161 1.8488638292837263 
passenger 	 850.5637551199505 1.7189649399722582 
operations 	 134.26521710654035 1.8966389540754398 
named 	 562.3070007813387 1.7189649399722582 
responsible 	 411.2061905238212 1.7189649399722582 
technical 	 471.74057909737814 1.7189649399722582 
personnel 	 434.07477237774884 1.7189649399722582 
functions 	 460.17431305583136 1.7189649399722582 
native 	 552.8177413196419 1.7189649399722582 
carrollton 	 1107.0282119271303 1.7189649399722582 
georgia 	 221.13919548647723 1.8966389540754398 
holds 	 594.0992983127707 1.7189649399722582 
bachelor 	 978.7959835235404 1.7189649399722582 
aeronautical 	 1107.0282119271303 1.7189649399722582 
degree 	 490.57037754471753 1.7189649399722582 
institute 	 126.54682329104331 1.8966389540754398 
technology 	 173.25827352753382 1.8488638292837263 
national 	 70.28453364409694 1.8966389540754398 
advisory 	 249.01161145063242 1.8966389540754398 
atlanta 	 809.2821981268216 1.7189649399722582 
council 	 214.63465369657283 1.8488638292837263 
boy 	 663.4175864594317 1.7189649399722582 
scouts 	 978.7959835235404 1.7189649399722582 
america 	 362.3381491411276 1.7189649399722582 
trustees 	 850.5637551199505 1.7189649399722582 
oglethorpe 	 1107.0282119271303 1.7189649399722582 
university 	 444.07720831274986 1.7189649399722582 
multiple 	 552.8177413196419 1.7189649399722582 
sclerosis 	 903.78493852353 1.7189649399722582 
society 	 280.8352099760322 1.7189649399722582 
american 	 205.1167071349172 1.7189649399722582 
aeronautics 	 775.55271011994 1.7189649399722582 
astronautics 	 978.7959835235404 1.7189649399722582 
nelsongroup 	 722.3315267163606 1.7189649399722582 
gazette 	 700.5416651199297 1.7189649399722582 
front 	 449.2888205515887 1.7189649399722582 
page 	 90.81184490912877 1.7189649399722582 
index 	 80.44913622151458 1.7189649399722582 
htm 	 121.37112070105773 1.7189649399722582 
