term 	 tf-idf weight 	 BM25 ranking 
 lancaster 	 243.74513746626687 1.9022566465498494 
county 	 120.72730947418589 1.9139488829342346 
solid 	 187.28874167388875 1.9139488829342346 
waste 	 37.39728775343621 1.977060996930019 
management 	 226.08146801013604 1.7858844248440802 
authority 	 46.63949646858771 1.962842371502926 
pennsylvania 	 608.0995154516061 1.6951451786207865 
licensing 	 374.5774833477775 1.8349971074787377 
compliance 	 226.8942888477127 1.8868874212055546 
information 	 112.6907957596968 1.7858844248440802 
building 	 804.4774598500708 1.4709344492304468 
designed 	 769.0638294152915 1.4709344492304468 
facilities 	 95.56133926392629 1.9366742901239227 
challenge 	 1177.407787722852 1.4709344492304468 
operating 	 354.99088781173054 1.7858844248440802 
developed 	 811.9455592880269 1.4709344492304468 
comprehensive 	 914.2305315983557 1.4709344492304468 
enforcement 	 1141.9941572880728 1.4709344492304468 
reporting 	 570.9970786440364 1.6951451786207865 
program 	 240.1127505166255 1.6951451786207865 
ensure 	 547.0282308879622 1.6951451786207865 
safe 	 1237.0754017189452 1.4709344492304468 
efficient 	 653.5092281440477 1.6951451786207865 
operation 	 321.93949193116237 1.7858844248440802 
protect 	 914.2305315983557 1.4709344492304468 
environment 	 742.7966513123 1.4709344492304468 
jpg 	 1079.2548305983785 1.4709344492304468 
officers 	 273.5141154439811 1.8349971074787377 
check 	 1079.2548305983785 1.4709344492304468 
manifests 	 994.163432375883 1.6951451786207865 
loads 	 662.7756215839219 1.7858844248440802 
unacceptable 	 467.8100653159728 1.8349971074787377 
materials 	 160.96974596558118 1.8868874212055546 
enter 	 1216.1990309032121 1.4709344492304468 
county's 	 2153.351163751789 1.4709344492304468 
system 	 146.33841047174855 1.7858844248440802 
established 	 976.9698582880497 1.4709344492304468 
set 	 604.0395304152687 1.4709344492304468 
rules 	 236.0981190662301 1.8349971074787377 
regulations 	 150.16781884331274 1.9022566465498494 
govern 	 1589.1293587759933 1.4709344492304468 
collection 	 1177.407787722852 1.4709344492304468 
transportation 	 1051.1747319031892 1.4709344492304468 
recyclable 	 1076.6755818758945 1.6951451786207865 
updates 	 2153.351163751789 1.4709344492304468 
reflect 	 1307.0184562880954 1.4709344492304468 
changes 	 672.8535967431498 1.4709344492304468 
facility 	 285.4985393220182 1.8349971074787377 
department 	 782.8617609472939 1.4709344492304468 
environmental 	 914.2305315983557 1.4709344492304468 
protection 	 819.553257423973 1.4709344492304468 
categorization 	 2435.4620662396865 1.4709344492304468 
fee 	 1307.0184562880954 1.4709344492304468 
structures 	 1024.9075538001978 1.4709344492304468 
commercial 	 467.0440642076572 1.6951451786207865 
haulers 	 331.38781079196093 1.8868874212055546 
obtain 	 547.0282308879622 1.6951451786207865 
license 	 712.0525298879852 1.6951451786207865 
vehicles 	 239.26828681725067 1.8657830677788074 
roll 	 1643.476635574174 1.4709344492304468 
containers 	 568.738654087956 1.7858844248440802 
trailers 	 1988.326864751766 1.4709344492304468 
approximately 	 1125.3796055183288 1.4709344492304468 
companies 	 443.0752164515832 1.6951451786207865 
haul 	 662.7756215839219 1.7858844248440802 
homes 	 641.1721176044032 1.6951451786207865 
offices 	 954.9644992310475 1.4709344492304468 
factories 	 1706.215962263868 1.4709344492304468 
schools 	 1094.0564617759244 1.4709344492304468 
additional 	 1012.383488722829 1.4709344492304468 
