term 	 tf-idf weight 	 BM25 ranking 
 presidential 	 112.85535816252447 1.9123989347417578 
scholars 	 228.98004387451363 1.8957915983891067 
club 	 66.58193937847629 1.9640138462764851 
constitution 	 169.5472319938071 1.8957915983891067 
september 	 738.0087124613624 1.5688226060202866 
revised 	 1429.8666369854302 1.5688226060202866 
executive 	 57.425368725682 1.9585921387544172 
board 	 52.62470824193362 1.9585921387544172 
article 	 84.64151862189335 1.9335718034587943 
name 	 609.1198074750848 1.5688226060202866 
section 	 49.56463516867723 1.9662249986219673 
shall 	 100.28976833567624 1.9585921387544172 
called 	 544.1970603639686 1.5688226060202866 
referred 	 1063.3049331231782 1.5688226060202866 
purpose 	 195.8876748142143 1.8321497977442245 
includes 	 425.7017025560845 1.5688226060202866 
following 	 114.53171919174396 1.8714144596896354 
create 	 663.608279161888 1.5688226060202866 
fellowship 	 1519.335761517934 1.5688226060202866 
provide 	 526.6712970965666 1.5688226060202866 
service 	 236.05337919607032 1.7583643450070308 
campus 	 1063.3049331231782 1.5688226060202866 
community 	 479.3396425252278 1.5688226060202866 
facilitate 	 1115.258753453423 1.5688226060202866 
participation 	 847.7361599690354 1.5688226060202866 
program 	 122.3178794605578 1.8321497977442245 
recognition 	 899.68998029928 1.5688226060202866 
reputation 	 1177.667339742152 1.5688226060202866 
iii 	 214.98345043992646 1.8714144596896354 
membership 	 94.41136702131357 1.9335718034587943 
dues 	 265.8577404705309 1.9244405808063885 
scholar 	 1303.7669883637911 1.5688226060202866 
honorary 	 1360.468992526711 1.5688226060202866 
accepted 	 998.7290906771442 1.5688226060202866 
subject 	 274.9457242403905 1.5688226060202866 
approval 	 1018.8005707509288 1.5688226060202866 
determined 	 457.0788525808658 1.7583643450070308 
approved 	 429.9669008798529 1.7583643450070308 
collective 	 929.3314462184251 1.5688226060202866 
expenses 	 899.68998029928 1.5688226060202866 
expense 	 1144.900219372568 1.5688226060202866 
incurred 	 1519.335761517934 1.5688226060202866 
previously 	 962.098566588009 1.5688226060202866 
majority 	 386.7951658388204 1.7583643450070308 
benefits 	 657.0606689013622 1.5688226060202866 
active 	 192.4197133176018 1.8957915983891067 
paid 	 274.8961935430759 1.8321497977442245 
allowed 	 764.3060601380901 1.5688226060202866 
participate 	 914.1577051617317 1.5688226060202866 
functions 	 773.5903316776408 1.5688226060202866 
funded 	 998.7290906771442 1.5688226060202866 
fundraisers 	 1645.4354101395734 1.5688226060202866 
officers 	 119.42841685233856 1.9244405808063885 
categorized 	 1519.335761517934 1.5688226060202866 
outlined 	 588.833669871076 1.7583643450070308 
sections 	 1063.3049331231782 1.5688226060202866 
consist 	 1303.7669883637911 1.5688226060202866 
offices 	 145.94297752376207 1.8957915983891067 
president 	 263.3356485482833 1.7583643450070308 
vice 	 899.68998029928 1.5688226060202866 
secretary 	 764.3060601380901 1.5688226060202866 
treasurer 	 1861.0041832937163 1.5688226060202866 
pscexec 	 930.5020916468582 1.7583643450070308 
htm 	 18.54860861819605 1.9512469602647347 
oversee 	 1214.2978638312873 1.5688226060202866 
functional 	 209.30435448958565 1.9123989347417578 
committees 	 651.8834941818956 1.7583643450070308 
considered 	 644.3650286055628 1.5688226060202866 
newsletter 	 1144.900219372568 1.5688226060202866 
public 	 167.73186359968233 1.7583643450070308 
relations 	 553.3447786631258 1.5688226060202866 
social 	 399.1547895322748 1.5688226060202866 
designate 	 1519.335761517934 1.5688226060202866 
appointed 	 998.7290906771442 1.5688226060202866 
prior 	 364.85744380940514 1.7583643450070308 
election 	 248.84326447795536 1.8321497977442245 
follow 	 813.7751801679228 1.5688226060202866 
guidelines 	 872.6294420555051 1.5688226060202866 
elected 	 914.1577051617317 1.5688226060202866 
terms 	 558.0215585234979 1.5688226060202866 
meeting 	 79.30696367380912 1.9407339956419445 
fall 	 322.1825143027814 1.7583643450070308 
semester 	 453.4896641755704 1.8321497977442245 
eligible 	 1177.667339742152 1.5688226060202866 
office 	 255.04034854861024 1.7583643450070308 
candidates 	 1063.3049331231782 1.5688226060202866 
self 	 562.7697423561731 1.5688226060202866 
nominated 	 1429.8666369854302 1.5688226060202866 
contacting 	 1303.7669883637911 1.5688226060202866 
voting 	 509.4002853754644 1.7583643450070308 
eligibility 	 1214.2978638312873 1.5688226060202866 
restricted 	 1255.826126937514 1.5688226060202866 
secret 	 859.9338017597058 1.5688226060202866 
ballot 	 1255.826126937514 1.5688226060202866 
plurality 	 1519.335761517934 1.5688226060202866 
votes 	 1063.3049331231782 1.5688226060202866 
cast 	 1303.7669883637911 1.5688226060202866 
student 	 729.7148876188103 1.5688226060202866 
life 	 385.3302913727454 1.5688226060202866 
programs 	 506.06773819325315 1.5688226060202866 
notified 	 1429.8666369854302 1.5688226060202866 
changes 	 514.1461144646673 1.5688226060202866 
fiscal 	 1115.258753453423 1.5688226060202866 
agent 	 847.7361599690354 1.5688226060202866 
faculty 	 520.1286768916854 1.7583643450070308 
advisor 	 588.833669871076 1.7583643450070308 
staff 	 632.1673868148923 1.5688226060202866 
honors 	 1144.900219372568 1.5688226060202866 
fill 	 1144.900219372568 1.5688226060202866 
position 	 451.36574092305364 1.5688226060202866 
meetings 	 962.098566588009 1.5688226060202866 
monthly 	 979.874833292233 1.5688226060202866 
times 	 506.06773819325315 1.5688226060202866 
previous 	 706.0832705486765 1.5688226060202866 
vii 	 1255.826126937514 1.5688226060202866 
amendments 	 588.833669871076 1.7583643450070308 
proposed 	 755.2909361705085 1.5688226060202866 
submitted 	 1063.3049331231782 1.5688226060202866 
writing 	 663.608279161888 1.5688226060202866 
read 	 847.7361599690354 1.5688226060202866 
regular 	 945.2836607729532 1.5688226060202866 
acted 	 1429.8666369854302 1.5688226060202866 
amended 	 1519.335761517934 1.5688226060202866 
vote 	 773.5903316776408 1.5688226060202866 
viii 	 1360.468992526711 1.5688226060202866 
ratification 	 1360.468992526711 1.5688226060202866 
deemed 	 1303.7669883637911 1.5688226060202866 
appropriate 	 746.529793433866 1.5688226060202866 
ratify 	 1861.0041832937163 1.5688226060202866 
psclub 	 1861.0041832937163 1.5688226060202866 
club's 	 1861.0041832937163 1.5688226060202866 
origin 	 914.1577051617317 1.5688226060202866 
pscbegn 	 1861.0041832937163 1.5688226060202866 
psccons 	 1861.0041832937163 1.5688226060202866 
pscdo 	 1861.0041832937163 1.5688226060202866 
pscmem 	 1861.0041832937163 1.5688226060202866 
quotes 	 1214.2978638312873 1.5688226060202866 
pscquot 	 1861.0041832937163 1.5688226060202866 
pscnfof 	 1861.0041832937163 1.5688226060202866 
newletter 	 1861.0041832937163 1.5688226060202866 
pscnews 	 1861.0041832937163 1.5688226060202866 
home 	 138.89322625095136 1.5688226060202866 
page 	 152.66207441480566 1.5688226060202866 
psindex 	 1429.8666369854302 1.5688226060202866 
