term 	 tf-idf weight 	 BM25 ranking 
 dangerous 	 422.78715144810684 1.7844762522675213 
assignments 	 1885.033187022593 1.4680718954248366 
quarterly 	 1793.544330983767 1.4680718954248366 
pictures 	 1316.6524989634377 1.4680718954248366 
newsletter 	 1509.3539869541894 1.4680718954248366 
gif 	 70.84423032745616 1.6932427466242004 
spring 	 1316.6524989634377 1.4680718954248366 
internet 	 424.4223200266991 1.4680718954248366 
edition 	 1434.602148668668 1.4680718954248366 
attx 	 2453.4138750817483 1.4680718954248366 
bullet 	 1885.033187022593 1.4680718954248366 
ridden 	 2169.2235310521705 1.4680718954248366 
wall 	 1371.400369939492 1.4680718954248366 
pictured 	 2453.4138750817483 1.4680718954248366 
cover 	 972.937530897616 1.4680718954248366 
detail 	 623.0969468117538 1.6932427466242004 
photograph 	 2169.2235310521705 1.4680718954248366 
somalia 	 2002.982836727823 1.4680718954248366 
american 	 151.52765752309196 1.7844762522675213 
photojournalist 	 1226.7069375408742 1.6932427466242004 
dan 	 658.3262494817188 1.6932427466242004 
eldon 	 1226.7069375408742 1.6932427466242004 
reuters 	 401.7198918717148 1.7844762522675213 
associated 	 1007.606059989122 1.4680718954248366 
press 	 83.39540701737693 1.9133420823561669 
hansi 	 2453.4138750817483 1.4680718954248366 
krauss 	 2169.2235310521705 1.4680718954248366 
reuter 	 1793.544330983767 1.4680718954248366 
colleagues 	 700.892319261259 1.6932427466242004 
hosea 	 2453.4138750817483 1.4680718954248366 
maina 	 2453.4138750817483 1.4680718954248366 
anthony 	 1655.5907139690696 1.4680718954248366 
macharia 	 2453.4138750817483 1.4680718954248366 
murdered 	 490.0922710781387 1.7844762522675213 
july 	 951.3536001685931 1.4680718954248366 
somali 	 2453.4138750817483 1.4680718954248366 
crowd 	 1655.5907139690696 1.4680718954248366 
angered 	 2169.2235310521705 1.4680718954248366 
death 	 247.3050314748456 1.7844762522675213 
countrymen 	 2453.4138750817483 1.4680718954248366 
air 	 995.7211698710885 1.4680718954248366 
raid 	 2002.982836727823 1.4680718954248366 
gen 	 245.27113027055458 1.6932427466242004 
mohamed 	 2169.2235310521705 1.4680718954248366 
farah 	 2453.4138750817483 1.4680718954248366 
aidid's 	 2453.4138750817483 1.4680718954248366 
command 	 1401.784638522518 1.4680718954248366 
post 	 810.4072691364349 1.4680718954248366 
eldon_ 	 2453.4138750817483 1.4680718954248366 
journalists 	 85.96879188407236 1.9457682799245681 
jailed 	 896.7721654918835 1.6932427466242004 
cpj 	 100.12747418017985 1.9495442491386379 
report 	 161.6647459258511 1.8338818894825202 
attacks95 	 2453.4138750817483 1.4680718954248366 
att95index 	 2453.4138750817483 1.4680718954248366 
html 	 32.22184261445936 1.864860601431347 
surveys 	 1600.8428429930154 1.4680718954248366 
countries 	 182.372475282863 1.8338818894825202 
jeanne 	 2002.982836727823 1.4680718954248366 
sahadi 	 2453.4138750817483 1.4680718954248366 
independent 	 774.7326045706868 1.4680718954248366 
nigerian 	 2002.982836727823 1.4680718954248366 
journalist 	 671.556646314921 1.6932427466242004 
nosa 	 2169.2235310521705 1.4680718954248366 
igiebor 	 1084.6117655260853 1.6932427466242004 
languishing 	 2453.4138750817483 1.4680718954248366 
prison 	 389.28708218359884 1.7844762522675213 
arrest 	 1225.1636429246118 1.4680718954248366 
december 	 995.7211698710885 1.4680718954248366 
critical 	 803.0196818803369 1.4680718954248366 
coverage 	 984.1711103147429 1.4680718954248366 
country 	 222.38775204633845 1.7844762522675213 
military 	 741.9150944245368 1.4680718954248366 
dictator 	 1793.544330983767 1.4680718954248366 
sani 	 2453.4138750817483 1.4680718954248366 
abacha 	 2453.4138750817483 1.4680718954248366 
placed 	 1133.6747868857858 1.4680718954248366 
solitary 	 2453.4138750817483 1.4680718954248366 
confinement 	 1655.5907139690696 1.4680718954248366 
hardly 	 1885.033187022593 1.4680718954248366 
record 	 465.42466386649096 1.6932427466242004 
world 	 227.29148628463798 1.6932427466242004 
jail 	 322.94910100467484 1.8338818894825202 
retaliation 	 859.3962463491227 1.6932427466242004 
reporting 	 1150.4118046390904 1.4680718954248366 
major 	 274.6068032168927 1.6932427466242004 
findings 	 583.9306232753984 1.6932427466242004 
annual 	 602.5798378075723 1.6932427466242004 
attacks 	 457.13345664649734 1.7844762522675213 
worldwide 	 1205.1596756151446 1.4680718954248366 
survey 	 497.86058493554424 1.6932427466242004 
page 	 100.6293416560616 1.6932427466242004 
released 	 583.9306232753984 1.6932427466242004 
march 	 892.682254275917 1.4680718954248366 
national 	 467.2971696337256 1.4680718954248366 
club 	 1316.6524989634377 1.4680718954248366 
washington 	 866.2214606095129 1.4680718954248366 
documents 	 1019.8457748804911 1.4680718954248366 
compelling 	 1718.7924926982455 1.4680718954248366 
hundreds 	 602.5798378075723 1.6932427466242004 
attempts 	 857.7675528563911 1.4680718954248366 
silence 	 1793.544330983767 1.4680718954248366 
reporters 	 478.2007162228893 1.7844762522675213 
news 	 374.1359054521413 1.6932427466242004 
organizations 	 883.6709025212191 1.4680718954248366 
drawn 	 1371.400369939492 1.4680718954248366 
research 	 470.53829323164206 1.4680718954248366 
house 	 735.6554308509136 1.4680718954248366 
staff 	 833.4039504633629 1.4680718954248366 
regional 	 1007.606059989122 1.4680718954248366 
media 	 118.34547066362614 1.7844762522675213 
experts 	 1291.7964040186994 1.4680718954248366 
reports 	 522.7395606214191 1.6932427466242004 
widely 	 1246.1938936235076 1.4680718954248366 
recognized 	 1343.113292629842 1.4680718954248366 
comprehensive 	 920.9693315855671 1.4680718954248366 
authoritative 	 2169.2235310521705 1.4680718954248366 
source 	 1007.606059989122 1.4680718954248366 
information 	 340.56432133765867 1.4680718954248366 
freedom 	 262.8774135859054 1.7844762522675213 
violations 	 1246.1938936235076 1.4680718954248366 
internationally 	 1793.544330983767 1.4680718954248366 
analyzes 	 661.9402555702693 1.4680718954248366 
examines 	 549.2136064337853 1.4680718954248366 
individual 	 688.7471868680385 1.4680718954248366 
physically 	 1343.113292629842 1.4680718954248366 
attacked 	 1600.8428429930154 1.4680718954248366 
imprisoned 	 776.2758991869491 1.6932427466242004 
threatened 	 1268.3614543443205 1.4680718954248366 
censored 	 2002.982836727823 1.4680718954248366 
stories 	 1186.0864692048385 1.4680718954248366 
chronicled 	 2453.4138750817483 1.4680718954248366 
foreign 	 622.3915464333687 1.4680718954248366 
correspondents 	 1793.544330983767 1.4680718954248366 
dispatched 	 2169.2235310521705 1.4680718954248366 
distant 	 1885.033187022593 1.4680718954248366 
wars 	 1343.113292629842 1.4680718954248366 
local 	 641.689225885143 1.4680718954248366 
corrupt 	 1655.5907139690696 1.4680718954248366 
repressive 	 1793.544330983767 1.4680718954248366 
