term 	 tf-idf weight 	 BM25 ranking 
 grfx 	 561.8122590821943 1.8154924881538135 
brgplc 	 608.4407465146332 1.8154924881538135 
gif 	 39.741885305646136 1.8154924881538135 
edge 	 188.36344957613636 1.9032850870921447 
mugs 	 98.30752461128955 1.9713785531922896 
quick 	 369.30496922145204 1.8154924881538135 
message 	 369.30496922145204 1.8154924881538135 
onte 	 344.07633613951344 1.9032850870921447 
rain 	 196.59174808547507 1.9032850870921447 
walrus 	 344.07633613951344 1.9032850870921447 
disclaimer 	 464.37300513766587 1.8154924881538135 
associated 	 282.62121194816837 1.8154924881538135 
mystic 	 344.07633613951344 1.9032850870921447 
images 	 109.61793311493459 1.9032850870921447 
name 	 225.23722784448472 1.8154924881538135 
larry 	 412.39471590721433 1.8154924881538135 
owner 	 369.30496922145204 1.8154924881538135 
graphics 	 349.54218967488623 1.8154924881538135 
imprinting 	 688.1526722790269 1.8154924881538135 
company 	 213.53221799884136 1.8154924881538135 
licensing 	 423.35538658471165 1.8154924881538135 
agreement 	 238.2700266547901 1.8154924881538135 
atlas 	 561.8122590821943 1.8154924881538135 
games 	 402.3884075534069 1.8154924881538135 
reproduce 	 503.06731234910535 1.8154924881538135 
cards 	 241.05016665890028 1.9032850870921447 
coffee 	 503.06731234910535 1.8154924881538135 
cups 	 280.90612954109713 1.9032850870921447 
produced 	 304.9491536088784 1.8154924881538135 
print 	 338.03259194083324 1.8154924881538135 
run 	 263.9315350559242 1.8154924881538135 
card 	 369.30496922145204 1.8154924881538135 
printed 	 482.10033331780056 1.8154924881538135 
mug 	 344.07633613951344 1.9032850870921447 
left 	 125.19324297772006 1.9032850870921447 
hand 	 139.64382260387217 1.9032850870921447 
facing 	 332.6827901428206 1.8154924881538135 
means 	 206.34237694598795 1.8154924881538135 
hold 	 293.24414376323506 1.8154924881538135 
image 	 208.09813624102864 1.8154924881538135 
available 	 179.98600238241812 1.8154924881538135 
koanhead 	 688.1526722790269 1.8154924881538135 
nussbaum 	 688.1526722790269 1.8154924881538135 
monique 	 688.1526722790269 1.8154924881538135 
aubaine 	 688.1526722790269 1.8154924881538135 
price 	 131.98025297960692 1.8154924881538135 
shipping 	 192.3305396866361 1.9032850870921447 
aditional 	 688.1526722790269 1.8154924881538135 
soooo 	 688.1526722790269 1.8154924881538135 
cost 	 233.75964464216278 1.8154924881538135 
idea 	 304.9491536088784 1.8154924881538135 
web 	 235.99272451572944 1.8154924881538135 
page 	 28.225303147431912 1.9032850870921447 
contacts 	 423.35538658471165 1.8154924881538135 
mysticoz 	 344.07633613951344 1.9032850870921447 
aol 	 435.4718458853617 1.8154924881538135 
com 	 55.50797806638328 1.8154924881538135 
csinet 	 688.1526722790269 1.8154924881538135 
net 	 266.8430829741176 1.8154924881538135 
links 	 376.7268991522727 1.8154924881538135 
burger 	 561.8122590821943 1.8154924881538135 
palace 	 482.10033331780056 1.8154924881538135 
index 	 16.66964083869221 1.9344670558978574 
html 	 15.063056506759459 1.9344670558978574 
cafe 	 464.37300513766587 1.8154924881538135 
conspiracy 	 412.39471590721433 1.8154924881538135 
resource 	 317.9819524191838 1.8154924881538135 
oit 	 608.4407465146332 1.8154924881538135 
http 	 50.457266163877215 1.8154924881538135 
www 	 50.00892251607662 1.8154924881538135 
ilstu 	 224.5084474929229 1.9032850870921447 
edu 	 62.88126126676261 1.9032850870921447 
nice 	 464.37300513766587 1.8154924881538135 
march 	 83.46216198514671 1.9344670558978574 
practice 	 141.31060597408418 1.9032850870921447 
guy 	 503.06731234910535 1.8154924881538135 
runs 	 435.4718458853617 1.8154924881538135 
pumpkin 	 280.90612954109713 1.9032850870921447 
patch 	 608.4407465146332 1.8154924881538135 
home 	 51.359231571895194 1.8154924881538135 
please 	 204.6130210490658 1.8154924881538135 
send 	 121.51849848594836 1.8154924881538135 
comments 	 130.16919192827092 1.8154924881538135 
mailto 	 83.54070449583203 1.8154924881538135 
mjjeans 	 608.4407465146332 1.8154924881538135 
