term 	 tf-idf weight 	 BM25 ranking 
 http 	 8.862928491394085 1.964923300063379 
www 	 8.784175954997806 1.964923300063379 
planettexas 	 1068.7393982257036 1.6970518903563117 
com 	 8.863724560797962 1.9680611678379776 
lib 	 928.7236677525946 1.6970518903563117 
logos 	 986.8354463878543 1.6970518903563117 
cigaricon 	 1068.7393982257036 1.6970518903563117 
gif 	 34.903742746697915 1.8361136826702797 
cigar 	 46.507824757217065 1.9813839233275965 
manufacturers 	 362.19014179677083 1.8361136826702797 
index 	 10.98021994374726 1.956345531913967 
html 	 9.921969829452426 1.956345531913967 
accessories 	 271.89375952987973 1.887674348896689 
articles 	 479.3497103446791 1.6970518903563117 
faq 	 706.8039854416364 1.6970518903563117 
airlift 	 534.3696991128518 1.8361136826702797 
search 	 122.53841727837408 1.8361136826702797 
stores 	 394.3539686397428 1.8361136826702797 
clubs 	 423.40985795737265 1.8361136826702797 
news 	 184.33037293007936 1.8361136826702797 
club 	 162.17305170159418 1.9145560685179484 
gifs 	 788.7079372794856 1.6970518903563117 
gklogo 	 1208.7551286988125 1.6970518903563117 
dear 	 928.7236677525946 1.6970518903563117 
lover 	 846.8197159147453 1.6970518903563117 
welcome 	 584.3645531204327 1.6970518903563117 
delighted 	 928.7236677525946 1.6970518903563117 
month 	 61.32185253474386 1.956345531913967 
cigars 	 197.36708927757084 1.9310557681924945 
smoking 	 197.1769843198714 1.9145560685179484 
pleasure 	 724.3802835935417 1.6970518903563117 
staff 	 410.6038975453642 1.6970518903563117 
selecting 	 815.6812785896392 1.6970518903563117 
handmade 	 1208.7551286988125 1.6970518903563117 
premium 	 371.81646995700766 1.8361136826702797 
rated 	 1208.7551286988125 1.6970518903563117 
aficionado 	 1208.7551286988125 1.6970518903563117 
magazine 	 624.9000336037872 1.6970518903563117 
sent 	 575.3852970811242 1.6970518903563117 
fresh 	 788.7079372794856 1.6970518903563117 
protective 	 764.9157640768962 1.6970518903563117 
packaging 	 815.6812785896392 1.6970518903563117 
able 	 414.52635088849865 1.6970518903563117 
enjoy 	 337.8327740582651 1.8361136826702797 
fullest 	 986.8354463878543 1.6970518903563117 
relish 	 1208.7551286988125 1.6970518903563117 
flavors 	 1208.7551286988125 1.6970518903563117 
dominican 	 986.8354463878543 1.6970518903563117 
republic 	 399.2738252818533 1.6970518903563117 
honduras 	 986.8354463878543 1.6970518903563117 
jamaica 	 928.7236677525946 1.6970518903563117 
mexico 	 575.3852970811242 1.6970518903563117 
nicaragua 	 846.8197159147453 1.6970518903563117 
united 	 278.510751129218 1.6970518903563117 
gift 	 743.6329399140153 1.6970518903563117 
friend 	 624.9000336037872 1.6970518903563117 
loved 	 883.6486703871242 1.6970518903563117 
look 	 323.5857484946884 1.6970518903563117 
forward 	 593.7615962786809 1.6970518903563117 
exciting 	 464.3618338762973 1.8361136826702797 
tastes 	 928.7236677525946 1.6970518903563117 
newsletter 	 743.6329399140153 1.6970518903563117 
receive 	 229.30678561227117 1.8361136826702797 
information 	 83.89511330513055 1.8361136826702797 
local 	 316.1493259238997 1.6970518903563117 
events 	 371.84191396772286 1.6970518903563117 
specials 	 1068.7393982257036 1.6970518903563117 
discounts 	 743.6329399140153 1.6970518903563117 
special 	 166.9734969804868 1.8361136826702797 
article 	 439.80930576520785 1.6970518903563117 
friendly 	 690.635358491582 1.6970518903563117 
establishments 	 928.7236677525946 1.6970518903563117 
favorite 	 846.8197159147453 1.6970518903563117 
stogie 	 1208.7551286988125 1.6970518903563117 
friends 	 724.3802835935417 1.6970518903563117 
atmosphere 	 624.9000336037872 1.6970518903563117 
appreciated 	 1068.7393982257036 1.6970518903563117 
patronage 	 986.8354463878543 1.6970518903563117 
wondering 	 1068.7393982257036 1.6970518903563117 
cost 	 410.6038975453642 1.6970518903563117 
start 	 217.8896234542497 1.6970518903563117 
enjoying 	 493.41772319392715 1.8361136826702797 
pleasures 	 493.41772319392715 1.8361136826702797 
easy 	 558.5422120754359 1.6970518903563117 
payments 	 558.5422120754359 1.6970518903563117 
payment 	 661.728988076166 1.6970518903563117 
full 	 347.6937935364668 1.6970518903563117 
limited 	 426.7725244954185 1.6970518903563117 
time 	 192.60666857754052 1.6970518903563117 
offering 	 575.3852970811242 1.6970518903563117 
membership 	 490.5748202779509 1.6970518903563117 
plus 	 648.6922068063767 1.6970518903563117 
shipping 	 675.6655481165302 1.6970518903563117 
join 	 528.5613710415447 1.6970518903563117 
kind 	 515.0897133928129 1.6970518903563117 
application 	 347.6937935364668 1.6970518903563117 
form 	 311.33957488776855 1.6970518903563117 
app 	 928.7236677525946 1.6970518903563117 
happy 	 815.6812785896392 1.6970518903563117 
gregory 	 1068.7393982257036 1.6970518903563117 
kemper 	 1208.7551286988125 1.6970518903563117 
mailto 	 146.7410635492006 1.6970518903563117 
gkcigar 	 1208.7551286988125 1.6970518903563117 
sprynet 	 1208.7551286988125 1.6970518903563117 
box 	 521.7132576030571 1.6970518903563117 
lomita 	 1208.7551286988125 1.6970518903563117 
voice 	 566.7882549685274 1.6970518903563117 
fax 	 479.3497103446791 1.6970518903563117 
