term 	 tf-idf weight 	 BM25 ranking 
 gif 	 1.6011947992709605 1.9918441233326756 
logo 	 345.7525919716787 1.7811991364219397 
robot 	 59.33719385593068 1.9655083938242255 
simulations 	 121.59127967374687 1.9404104415359187 
products 	 156.11553303706566 1.8842690608540094 
simulation 	 263.1764633828925 1.8842690608540094 
calibration 	 291.3562883964099 1.8842690608540094 
offline 	 319.53611340992734 1.8842690608540094 
programming 	 227.67408253115613 1.8842690608540094 
welcome 	 402.11224199871356 1.7811991364219397 
home 	 62.077679899942886 1.7811991364219397 
page 	 68.23160239118323 1.7811991364219397 
developers 	 608.0552731871795 1.7811991364219397 
workspace 	 116.23454354974963 1.9404104415359187 
based 	 171.01810645173478 1.7811991364219397 
software 	 195.00883029857752 1.8842690608540094 
robotrak 	 280.6428161484155 1.8842690608540094 
device 	 455.34816506231226 1.7811991364219397 
information 	 115.45961138032817 1.7811991364219397 
found 	 260.3556758954292 1.7811991364219397 
downloadable 	 831.7671430155195 1.7811991364219397 
demonstration 	 526.352926765785 1.7811991364219397 
contents 	 170.80151504693652 1.8842690608540094 
htm 	 10.132483950418633 1.9730699886024605 
contact 	 112.20694576130175 1.8842690608540094 
userg 	 831.7671430155195 1.7811991364219397 
wwwboard 	 280.6428161484155 1.8842690608540094 
html 	 54.619952724510384 1.7811991364219397 
roblib 	 831.7671430155195 1.7811991364219397 
robmods 	 831.7671430155195 1.7811991364219397 
virtrob 	 831.7671430155195 1.7811991364219397 
moving1 	 831.7671430155195 1.7811991364219397 
casestud 	 415.88357150775977 1.8842690608540094 
dealer 	 213.02407560661825 1.9213285878336814 
demo 	 735.419684917687 1.7811991364219397 
wkdemo 	 831.7671430155195 1.7811991364219397 
wksp4 	 831.7671430155195 1.7811991364219397 
wks4 	 831.7671430155195 1.7811991364219397 
line_col 	 187.09521076561032 1.9213285878336814 
autofact 	 831.7671430155195 1.7811991364219397 
november 	 333.65801057012015 1.7811991364219397 
cobo 	 831.7671430155195 1.7811991364219397 
hall 	 408.57852417196364 1.7811991364219397 
detroit 	 639.0722268198547 1.7811991364219397 
usa 	 299.5859889035352 1.7811991364219397 
free 	 175.89579990550132 1.7811991364219397 
tickets 	 608.0552731871795 1.7811991364219397 
arranged 	 679.0600348906522 1.7811991364219397 
calling 	 430.0054686679526 1.7811991364219397 
north 	 245.25557199604063 1.7811991364219397 
american 	 154.1147150905594 1.7811991364219397 
rwt 	 415.88357150775977 1.8842690608540094 
mailto 	 100.97528630365784 1.7811991364219397 
info 	 287.99594526100714 1.7811991364219397 
com 	 67.0922517498024 1.7811991364219397 
mhipr1 	 831.7671430155195 1.7811991364219397 
mhi 	 831.7671430155195 1.7811991364219397 
utilised 	 831.7671430155195 1.7811991364219397 
development 	 161.74800539641933 1.7811991364219397 
mitsubishi 	 639.0722268198547 1.7811991364219397 
controller 	 561.285632296831 1.7811991364219397 
language 	 299.5859889035352 1.7811991364219397 
offered 	 354.44292159208413 1.7811991364219397 
release 	 350.02985252635744 1.7811991364219397 
registered 	 408.57852417196364 1.7811991364219397 
trademarks 	 542.7247687220223 1.7811991364219397 
patent 	 319.53611340992734 1.8842690608540094 
application 	 119.62732005338832 1.8842690608540094 
applied 	 337.573762468491 1.7811991364219397 
copyright 	 108.4102135118449 1.7811991364219397 
revision 	 498.459700096546 1.7811991364219397 
august 	 322.5320742034986 1.7811991364219397 
