term 	 tf-idf weight 	 BM25 ranking 
 sir 	 31.566177566316505 1.980311717365969 
radar 	 43.39340740993312 1.9738348144161166 
images 	 42.893973827583096 1.9610072845333262 
sirbdesc 	 269.2771326309236 1.9235059249189137 
html 	 8.841359253967507 1.9610072845333262 
sar 	 147.41487358132412 1.9235059249189137 
flew 	 175.70226325533096 1.9235059249189137 
space 	 94.14521921594537 1.9235059249189137 
shuttle 	 147.41487358132412 1.9235059249189137 
acquired 	 132.27362293336952 1.9235059249189137 
data 	 75.59420343673594 1.9235059249189137 
sites 	 122.66278841995688 1.9235059249189137 
world 	 49.89325308687175 1.9235059249189137 
gif 	 3.8877931277262525 1.980311717365969 
thumb 	 238.08550950572604 1.9235059249189137 
sirbdv8 	 269.2771326309236 1.9235059249189137 
sample 	 165.66080344619152 1.9235059249189137 
image 	 81.42970548561989 1.9235059249189137 
death 	 81.42970548561989 1.9235059249189137 
valley 	 150.51955279823693 1.9235059249189137 
jpeg 	 170.40202665079372 1.9235059249189137 
sirbimg1 	 269.2771326309236 1.9235059249189137 
jpg 	 119.32792967303939 1.9235059249189137 
icons 	 136.77737856843376 1.9235059249189137 
yellow 	 130.18022222979937 1.9235059249189137 
index 	 19.56870881063868 1.9235059249189137 
imaging 	 136.77737856843376 1.9235059249189137 
home 	 20.097090615089424 1.9235059249189137 
page 	 22.089367680598887 1.9235059249189137 
updated 	 48.20766277280123 1.9235059249189137 
bruce 	 126.26471026526602 1.9235059249189137 
chapman 	 144.51064013013342 1.9235059249189137 
jpl 	 126.26471026526602 1.9235059249189137 
nasa 	 116.22325045612656 1.9235059249189137 
gov 	 104.41685855508948 1.9235059249189137 
