term 	 tf-idf weight 	 BM25 ranking 
 robot 	 156.88071037449296 1.911322189662233 
follow 	 91.58241577452507 1.9399946018893388 
ups 	 119.66454231289788 1.9399946018893388 
post 	 69.18110834091517 1.9399946018893388 
followup 	 146.72618840106975 1.9399946018893388 
workspace 	 175.60614493127642 1.911322189662233 
user 	 145.16567393049695 1.911322189662233 
http 	 11.517419450450234 1.9546558396175362 
www 	 11.41508013953923 1.9546558396175362 
rosl 	 110.0446413008023 1.9546558396175362 
com 	 10.13623947299173 1.9635594350117032 
wwwboard 	 70.66545730355786 1.9695403653183245 
html 	 8.251935303703007 1.9635594350117032 
faq 	 91.84952781110374 1.9546558396175362 
posted 	 386.5418747077802 1.8301742664208671 
bruce 	 294.61765728562074 1.8301742664208671 
dovidio 	 628.3133094721551 1.8301742664208671 
mailto 	 76.27629540923793 1.8301742664208671 
klabs 	 628.3133094721551 1.8301742664208671 
usa1 	 628.3133094721551 1.8301742664208671 
october 	 226.3059628408 1.8301742664208671 
cincinnatti 	 314.15665473607754 1.911322189662233 
milacron 	 277.7664277566804 1.911322189662233 
t3776 	 277.7664277566804 1.911322189662233 
home 	 11.723302858802164 1.9546558396175362 
nice 	 211.99637191067356 1.911322189662233 
clean 	 175.60614493127642 1.911322189662233 
unit 	 137.37362366178763 1.911322189662233 
hrs 	 256.47950958100176 1.911322189662233 
light 	 105.71632927459112 1.911322189662233 
duty 	 141.1252192708502 1.911322189662233 
recieve 	 314.15665473607754 1.911322189662233 
offer 	 127.50088150788328 1.911322189662233 
send 	 55.47583626532425 1.911322189662233 
located 	 139.2159179518793 1.911322189662233 
england 	 137.37362366178763 1.911322189662233 
usa 	 113.1529814204 1.911322189662233 
walter 	 409.97194759577224 1.8301742664208671 
weisel 	 628.3133094721551 1.8301742664208671 
name 	 205.65138194496433 1.8301742664208671 
mail 	 185.26500042866377 1.8301742664208671 
subject 	 92.82733455061415 1.8301742664208671 
comments 	 118.85013176059519 1.8301742664208671 
optional 	 168.59574681848898 1.911322189662233 
link 	 143.1065864899497 1.911322189662233 
url 	 193.2709373538901 1.911322189662233 
title 	 121.34036705541337 1.8301742664208671 
image 	 190.0026461331131 1.8301742664208671 
