term 	 tf-idf weight 	 BM25 ranking 
 graphics 	 61.54982035579519 1.9648380029927663 
x15 	 395.7112433535455 1.866398552515959 
gif 	 6.998027629907255 1.9648380029927663 
energy 	 43.20922074928692 1.9648380029927663 
analysis 	 99.65803325604689 1.866398552515959 
muhlenberg 	 428.5539171103069 1.866398552515959 
college 	 67.99141020296152 1.9533904845972054 
diamond 	 339.56632172818996 1.866398552515959 
index 	 17.61183792957481 1.930891011017422 
html 	 10.609631104761009 1.9533904845972054 
main 	 145.33680463152194 1.866398552515959 
menu 	 283.4214001028344 1.866398552515959 
study 	 49.13669207697179 1.930891011017422 
completed 	 59.523130320016286 1.9648380029927663 
campus 	 276.9379407812779 1.866398552515959 
wide 	 172.83688299714768 1.866398552515959 
audit 	 298.1894462031447 1.866398552515959 
buildings 	 153.36182398571432 1.930891011017422 
totalling 	 484.69883873566243 1.866398552515959 
conservation 	 283.4214001028344 1.866398552515959 
opportunities 	 203.97423060888457 1.866398552515959 
identified 	 255.2085578671089 1.866398552515959 
potential 	 166.22096248499204 1.866398552515959 
savings 	 234.32440001363884 1.866398552515959 
entech 	 354.3343678285003 1.866398552515959 
ems 	 428.5539171103069 1.866398552515959 
include 	 138.28888309536194 1.866398552515959 
estimated 	 217.73605258931175 1.866398552515959 
construction 	 194.43380472071752 1.866398552515959 
cost 	 164.64809753056682 1.866398552515959 
design 	 75.8590278688121 1.930891011017422 
street 	 172.83688299714768 1.866398552515959 
lighting 	 158.13203692979786 1.930891011017422 
provide 	 137.17162400264274 1.866398552515959 
campus' 	 484.69883873566243 1.866398552515959 
major 	 108.50317590521124 1.866398552515959 
roads 	 428.5539171103069 1.866398552515959 
return 	 122.96028112464113 1.866398552515959 
list 	 185.89960295243358 1.866398552515959 
pleased 	 339.56632172818996 1.866398552515959 
talk 	 250.5787263460731 1.866398552515959 
projects 	 217.73605258931175 1.866398552515959 
please 	 144.11873656499418 1.866398552515959 
contact 	 130.7735626858337 1.866398552515959 
marketing 	 190.05435979782519 1.866398552515959 
matt 	 354.3343678285003 1.866398552515959 
lloyd 	 327.08011666218204 1.866398552515959 
email 	 270.9351950368265 1.866398552515959 
mlloyd 	 177.16718391425016 1.930891011017422 
entecheng 	 177.16718391425016 1.930891011017422 
novel 	 121.02226228889458 1.930891011017422 
net 	 93.97517269958053 1.930891011017422 
mailto 	 58.841713601412124 1.866398552515959 
updated 	 86.77379299104221 1.866398552515959 
june 	 169.46139458870167 1.866398552515959 
tgray 	 484.69883873566243 1.866398552515959 
