term 	 tf-idf weight 	 BM25 ranking 
 mission 	 111.20721915478046 1.9276017614151395 
status 	 11.710187494506087 1.9875583117722262 
srl 	 60.962697134109945 1.970397759545944 
report 	 19.15192112013567 1.9787657451732108 
october 	 30.533344192806346 1.9752704621444603 
project_update7 	 508.6345838584112 1.8602619183187534 
html 	 3.0364264104534877 1.9864349206827763 
project_update6 	 508.6345838584112 1.8602619183187534 
shuttle 	 92.81677225490778 1.9511450050129033 
oct 	 104.30495031797243 1.9511450050129033 
oct7update 	 508.6345838584112 1.8602619183187534 
sir 	 47.70000165576717 1.970397759545944 
sar 	 55.69006335294466 1.970397759545944 
project_update5 	 508.6345838584112 1.8602619183187534 
oct5update 	 508.6345838584112 1.8602619183187534 
project_update4 	 508.6345838584112 1.8602619183187534 
oct3update 	 508.6345838584112 1.8602619183187534 
project_update3 	 508.6345838584112 1.8602619183187534 
project_update2 	 508.6345838584112 1.8602619183187534 
september 	 201.7065612836521 1.8602619183187534 
project_update1 	 508.6345838584112 1.8602619183187534 
gif 	 14.687218482521398 1.9276017614151395 
icons 	 258.3572706292638 1.8602619183187534 
yellow 	 245.89597532295434 1.8602619183187534 
index 	 36.96311664231751 1.8602619183187534 
imaging 	 258.3572706292638 1.8602619183187534 
radar 	 245.89597532295434 1.8602619183187534 
home 	 37.96117116183558 1.8602619183187534 
page 	 41.72436117446456 1.8602619183187534 
updated 	 91.05891857084676 1.8602619183187534 
bruce 	 238.50000827883582 1.8602619183187534 
chapman 	 272.9645424680298 1.8602619183187534 
jpl 	 238.50000827883582 1.8602619183187534 
nasa 	 219.53280641712797 1.8602619183187534 
gov 	 197.23184393739123 1.8602619183187534 
