term 	 tf-idf weight 	 BM25 ranking 
 boat 	 165.10434896373957 1.927953644897401 
builder 	 1446.0559016376478 1.5853068944952025 
statistics 	 932.6139892427683 1.5853068944952025 
report 	 466.85624189318946 1.5853068944952025 
business 	 268.9936897741956 1.5853068944952025 
network's 	 1566.0735736376646 1.5853068944952025 
web 	 607.424751797008 1.5853068944952025 
site 	 590.5058613003831 1.5853068944952025 
building 	 32.50413979192205 1.971351295739995 
repairing 	 98.40250772685602 1.971351295739995 
industry 	 116.71406047329737 1.8772356500518168 
sic 	 1566.0735736376646 1.5853068944952025 
establishments 	 453.6340027306403 1.8395961785473947 
primarily 	 764.4907141114103 1.5853068944952025 
engaged 	 1195.2557349630356 1.5853068944952025 
boats 	 226.81700136532015 1.916447556465019 
rubber 	 680.4510040959603 1.7686707901398855 
nonrigid 	 1771.2451390834085 1.5853068944952025 
plastics 	 885.6225695417043 1.7686707901398855 
classified 	 323.7128792507287 1.8772356500518168 
plastic 	 1294.8515170029148 1.5853068944952025 
products 	 664.8949320715315 1.5853068944952025 
marinas 	 1446.0559016376478 1.5853068944952025 
perform 	 884.5083861114271 1.5853068944952025 
incidental 	 1771.2451390834085 1.5853068944952025 
repair 	 517.8563853730802 1.7686707901398855 
membership 	 718.862112882542 1.5853068944952025 
yacht 	 1771.2451390834085 1.5853068944952025 
clubs 	 1240.8843361919041 1.5853068944952025 
outboard 	 723.0279508188239 1.7686707901398855 
motor 	 442.25419305571353 1.7686707901398855 
market 	 69.91489358320831 1.9366742901239224 
size 	 409.2289474612105 1.7686707901398855 
estimated 	 795.6774267461269 1.5853068944952025 
people 	 346.83856989317275 1.5853068944952025 
employed 	 830.5412053004166 1.5853068944952025 
total 	 84.9171025832104 1.9366742901239224 
annual 	 870.0664975172751 1.5853068944952025 
sales 	 62.06527414069614 1.9605499083340634 
average 	 449.84560062507103 1.7686707901398855 
employees 	 245.4263002964434 1.8395961785473947 
establishment 	 285.43219096311566 1.8395961785473947 
share 	 242.48080793234155 1.8395961785473947 
analysis 	 91.04561062898111 1.8772356500518168 
num 	 295.2075231805681 1.916447556465019 
bus 	 75.44483989899149 1.9005678476871903 
unknown 	 560.4333320959437 1.7686707901398855 
totals 	 391.51839340941615 1.8772356500518168 
averages 	 361.51397540941196 1.8772356500518168 
gif 	 51.14607848030981 1.7686707901398855 
note 	 201.71214095726245 1.8772356500518168 
segments 	 1294.8515170029148 1.5853068944952025 
larger 	 950.5588773004331 1.5853068944952025 
labeled 	 1360.9020081919207 1.5853068944952025 
chart 	 1446.0559016376478 1.5853068944952025 
figures 	 193.63139335185303 1.8772356500518168 
millions 	 228.92377468653592 1.8772356500518168 
company 	 549.6133611100613 1.5853068944952025 
emp 	 295.2075231805681 1.916447556465019 
avg 	 261.0122622729441 1.916447556465019 
geography 	 1240.8843361919041 1.5853068944952025 
