term 	 tf-idf weight 	 BM25 ranking 
 pubs 	 4563.184459273269 1.01939662875008 
gif 	 376.16558395822454 1.01939662875008 
accepted 	 6991.1036347400095 0.6840203152038943 
presentation 	 6734.689966116063 0.6840203152038943 
fourth 	 6201.0583749782545 0.6840203152038943 
international 	 2937.2242756800965 0.6840203152038943 
syposium 	 13027.029283056014 0.6840203152038943 
medicine 	 892.8211456724858 1.218548806736472 
meets 	 8500.085046819011 0.6840203152038943 
virtual 	 4250.0425234095055 1.01939662875008 
reality 	 2811.3112915887505 1.01939662875008 
health 	 1743.6786496854868 1.01939662875008 
care 	 717.1774898008206 1.5144077407632044 
information 	 602.7711606114494 1.218548806736472 
age 	 4225.306672980198 0.6840203152038943 
future 	 3304.7473087449844 0.6840203152038943 
tools 	 6859.123833045631 0.6840203152038943 
transforming 	 13027.029283056014 0.6840203152038943 
san 	 5350.14242096663 0.6840203152038943 
diego 	 7617.387506467538 0.6840203152038943 
california 	 5622.622583177501 0.6840203152038943 
january 	 5051.455579431773 0.6840203152038943 
robotic 	 165.59538057538126 1.9197106171351754 
arm 	 232.27519384602383 1.910358088356822 
enhancement 	 912.6368918546538 1.6773050062456023 
accommodate 	 3336.3554862993374 1.218548806736472 
improved 	 1346.9379932232125 1.4442748710061248 
efficiency 	 334.41870068433 1.806876088008939 
decreased 	 2502.266614724503 1.3504640219090038 
resource 	 463.04127787061077 1.7421731469503192 
utilization 	 676.6485938056588 1.7022738816827796 
complex 	 214.8949084278581 1.8456188191389873 
minimally 	 443.1395971093974 1.8515739895338994 
invasive 	 425.41401322502156 1.8570867891980989 
surgical 	 369.56891507908745 1.8456188191389873 
procedures 	 102.0016731065055 1.9197106171351754 
peter 	 2255.2776001194698 1.01939662875008 
geis 	 3256.7573207640035 1.3504640219090038 
charles 	 6991.1036347400095 0.6840203152038943 
kim 	 4395.391444281298 1.01939662875008 
edward 	 8790.782888562597 0.6840203152038943 
brennan 	 10635.350330625539 0.6840203152038943 
paul 	 6734.689966116063 0.6840203152038943 
mcafee 	 13027.029283056014 0.6840203152038943 
training 	 1564.025654299751 1.218548806736472 
institute 	 2233.722440307578 1.01939662875008 
department 	 4187.444849096459 0.6840203152038943 
surgery 	 292.9764425564437 1.8622047441819753 
joseph 	 3429.5619165228154 1.01939662875008 
medical 	 592.8900382390375 1.5688226060202863 
center 	 1690.5705559870598 1.01939662875008 
baltimore 	 5317.675165312769 1.01939662875008 
maryland 	 9126.368918546537 0.6840203152038943 
corresponding 	 9523.282947686977 0.6840203152038943 
author 	 5622.622583177501 0.6840203152038943 
facs 	 13027.029283056014 0.6840203152038943 
director 	 5166.060987229537 0.6840203152038943 
misti 	 13027.029283056014 0.6840203152038943 
abstract 	 7281.801476483596 0.6840203152038943 
allocation 	 8790.782888562597 0.6840203152038943 
including 	 637.1286621248165 1.218548806736472 
manpower 	 9523.282947686977 0.6840203152038943 
