term 	 tf-idf weight 	 BM25 ranking 
 national 	 87.19081335848783 1.873350840960341 
arbor 	 334.6491251713614 1.873350840960341 
day 	 106.24445693727394 1.873350840960341 
foundation 	 260.0948057726085 1.8346252174694317 
images 	 194.45268135171005 1.8346252174694317 
weblogo_small 	 1338.5965006854456 1.5742791460491457 
gif 	 17.624662179025677 1.9137465733145607 
rain 	 58.12277769483611 1.9703977595459439 
forest 	 66.8280760235336 1.9645821562079624 
rescue 	 225.2986926868205 1.8973810119140138 
rainforest 	 1338.5965006854456 1.5742791460491457 
join 	 800.6919779144192 1.5742791460491457 
saving 	 1158.7337812253973 1.5742791460491457 
earth's 	 446.1988335618152 1.8346252174694317 
precious 	 747.4545707789193 1.7617864545238846 
wildlands 	 1831.0845018902803 1.5742791460491457 
late 	 710.0346381746085 1.5742791460491457 
supporting 	 822.5584208929555 1.5742791460491457 
foundation's 	 747.4545707789193 1.7617864545238846 
campaign 	 680.1572664880501 1.5742791460491457 
doing 	 761.1531880815373 1.5742791460491457 
planet 	 1070.7030670551524 1.5742791460491457 
humanity 	 1097.328548413979 1.5742791460491457 
realize 	 1235.6359962793545 1.5742791460491457 
extent 	 717.9831370140063 1.5742791460491457 
destruction 	 482.06060930453907 1.7617864545238846 
wrought 	 1618.981464638937 1.5742791460491457 
burning 	 267.71930013708914 1.8973810119140138 
bulldozing 	 1831.0845018902803 1.5742791460491457 
reached 	 822.5584208929555 1.5742791460491457 
proportions 	 1282.8061043064954 1.5742791460491457 
threatens 	 1282.8061043064954 1.5742791460491457 
worldwide 	 449.7303179734564 1.7617864545238846 
consequences 	 752.0181813577349 1.5742791460491457 
acres 	 1618.981464638937 1.5742791460491457 
irreplaceable 	 1618.981464638937 1.5742791460491457 
burned 	 1494.9091415578387 1.5742791460491457 
hour 	 930.0861742653495 1.5742791460491457 
real 	 610.4553836416123 1.5742791460491457 
dangers 	 1046.20999850705 1.5742791460491457 
climate 	 726.1436206211475 1.5742791460491457 
uncontrolled 	 1831.0845018902803 1.5742791460491457 
pouring 	 1406.8784273875938 1.5742791460491457 
carbon 	 1194.7753901362505 1.5742791460491457 
dioxide 	 1282.8061043064954 1.5742791460491457 
faster 	 1097.328548413979 1.5742791460491457 
surrounding 	 761.1531880815373 1.5742791460491457 
forests 	 247.1271992558709 1.8973810119140138 
cleanse 	 1831.0845018902803 1.5742791460491457 
air 	 743.1479950745197 1.5742791460491457 
result 	 549.0501508301941 1.5742791460491457 
major 	 409.90088675302025 1.5742791460491457 
contributor 	 1831.0845018902803 1.5742791460491457 
greenhouse 	 1194.7753901362505 1.5742791460491457 
effect 	 241.31420611370942 1.7617864545238846 
predicted 	 1194.7753901362505 1.5742791460491457 
scientists 	 523.104999253525 1.7617864545238846 
loss 	 363.07181031057377 1.7617864545238846 
tomorrow's 	 1618.981464638937 1.5742791460491457 
miracle 	 1235.6359962793545 1.5742791460491457 
drugs 	 482.06060930453907 1.7617864545238846 
occupying 	 1618.981464638937 1.5742791460491457 
percent 	 282.03616649353694 1.8346252174694317 
surface 	 982.6723528849072 1.5742791460491457 
support 	 141.65927591636526 1.8346252174694317 
half 	 390.14220865891275 1.7617864545238846 
planet's 	 915.5422509451402 1.7617864545238846 
wild 	 597.3876950681253 1.7617864545238846 
plants 	 214.14061341103047 1.8973810119140138 
trees 	 334.140380117668 1.8346252174694317 
animal 	 982.6723528849072 1.5742791460491457 
insect 	 915.5422509451402 1.7617864545238846 
life 	 189.56763530556287 1.7617864545238846 
including 	 268.66518687670265 1.5742791460491457 
vegetation 	 617.8179981396772 1.7617864545238846 
provides 	 544.4485603566446 1.5742791460491457 
quarter 	 1338.5965006854456 1.5742791460491457 
today's 	 964.1212186090781 1.5742791460491457 
medicines 	 1406.8784273875938 1.5742791460491457 
treatment 	 501.88004280305296 1.5742791460491457 
heart 	 885.2255111626356 1.5742791460491457 
disease 	 400.3459889572096 1.7617864545238846 
leukemia 	 1618.981464638937 1.5742791460491457 
evaluated 	 1282.8061043064954 1.5742791460491457 
medical 	 583.3580440551301 1.5742791460491457 
value 	 578.2150658503174 1.5742791460491457 
varieties 	 1494.9091415578387 1.5742791460491457 
known 	 558.4662783822207 1.5742791460491457 
possess 	 1618.981464638937 1.5742791460491457 
cancer 	 501.21057017650196 1.7617864545238846 
fighting 	 964.1212186090781 1.5742791460491457 
properties 	 1126.4934634341023 1.5742791460491457 
knows 	 1126.4934634341023 1.5742791460491457 
fight 	 511.7664795140056 1.7617864545238846 
diseases 	 1002.4211403530039 1.5742791460491457 
rainforest_lab 	 1831.0845018902803 1.5742791460491457 
rainforest_cat 	 1831.0845018902803 1.5742791460491457 
answers 	 946.6307439740539 1.5742791460491457 
world 	 169.63706049536395 1.7617864545238846 
hunger 	 1194.7753901362505 1.5742791460491457 
delicate 	 1406.8784273875938 1.5742791460491457 
lands 	 1282.8061043064954 1.5742791460491457 
tropics 	 1618.981464638937 1.5742791460491457 
quickly 	 946.6307439740539 1.5742791460491457 
barren 	 1831.0845018902803 1.5742791460491457 
ironically 	 1406.8784273875938 1.5742791460491457 
left 	 666.2457800205624 1.5742791460491457 
science 	 334.6376686544236 1.5742791460491457 
undisturbed 	 1831.0845018902803 1.5742791460491457 
nurturing 	 1618.981464638937 1.5742791460491457 
help 	 263.35222975781886 1.7617864545238846 
produce 	 449.7303179734564 1.7617864545238846 
bumper 	 1831.0845018902803 1.5742791460491457 
crop 	 1194.7753901362505 1.5742791460491457 
yields 	 1338.5965006854456 1.5742791460491457 
learning 	 811.4299217766679 1.5742791460491457 
interbreed 	 1831.0845018902803 1.5742791460491457 
main 	 549.0501508301941 1.5742791460491457 
food 	 659.5202345646171 1.5742791460491457 
crops 	 1338.5965006854456 1.5742791460491457 
robust 	 1494.9091415578387 1.5742791460491457 
resistant 	 1831.0845018902803 1.5742791460491457 
relatives 	 1126.4934634341023 1.5742791460491457 
repellants 	 1831.0845018902803 1.5742791460491457 
harmless 	 1618.981464638937 1.5742791460491457 
substances 	 1194.7753901362505 1.5742791460491457 
hold 	 780.2844173178255 1.5742791460491457 
key 	 535.4479114835189 1.5742791460491457 
nonpoisonous 	 1831.0845018902803 1.5742791460491457 
insecticides 	 1831.0845018902803 1.5742791460491457 
threat 	 871.6232718159604 1.5742791460491457 
world's 	 1097.328548413979 1.5742791460491457 
wildlife 	 1494.9091415578387 1.5742791460491457 
home 	 136.66021618260808 1.5742791460491457 
species 	 703.4392136937969 1.7617864545238846 
hardly 	 1406.8784273875938 1.5742791460491457 
survive 	 1070.7030670551524 1.5742791460491457 
howler 	 1831.0845018902803 1.5742791460491457 
monkey 	 1618.981464638937 1.5742791460491457 
toucan 	 1831.0845018902803 1.5742791460491457 
gorilla 	 1831.0845018902803 1.5742791460491457 
red 	 780.2844173178255 1.5742791460491457 
eyed 	 1618.981464638937 1.5742791460491457 
frog 	 1831.0845018902803 1.5742791460491457 
skyrocketing 	 1618.981464638937 1.5742791460491457 
squeezed 	 1406.8784273875938 1.5742791460491457 
decreasing 	 1406.8784273875938 1.5742791460491457 
space 	 640.1874906684285 1.5742791460491457 
program 	 361.0540622019037 1.5742791460491457 
donation 	 1338.5965006854456 1.5742791460491457 
preserve 	 1126.4934634341023 1.5742791460491457 
square 	 964.1212186090781 1.5742791460491457 
foot 	 1126.4934634341023 1.5742791460491457 
tract 	 1282.8061043064954 1.5742791460491457 
threatened 	 946.6307439740539 1.5742791460491457 
