term 	 tf-idf weight 	 BM25 ranking 
 cimtas 	 376.987985683293 1.8945219835484488 
optimising 	 1884.9399284164651 1.5644845329409613 
reach 	 846.7513156251013 1.5644845329409613 
line 	 128.14416200231088 1.8698682344983675 
programming 	 343.96803835642294 1.8301742664208671 
arc 	 199.3063919792551 1.7556362144179616 
welding 	 344.49174649993085 1.8698682344983675 
workcell 	 362.06430116592486 1.8698682344983675 
workspace 	 150.51955279823693 1.9235059249189137 
user 	 435.4970217914909 1.7556362144179616 
profile 	 974.4728246791731 1.5644845329409613 
turkish 	 1192.814186555556 1.5644845329409613 
company 	 584.8925971272612 1.5644845329409613 
involved 	 590.014661201872 1.5644845329409613 
construction 	 756.1314628027903 1.5644845329409613 
industry 	 496.8233655282253 1.5644845329409613 
specialise 	 1884.9399284164651 1.5644845329409613 
fabrication 	 1666.5985665400822 1.5644845329409613 
installation 	 1102.194333733245 1.5644845329409613 
heavy 	 1102.194333733245 1.5644845329409613 
steel 	 564.8014587424892 1.7556362144179616 
structures 	 396.61655951727556 1.7556362144179616 
cranes 	 1884.9399284164651 1.5644845329409613 
pressure 	 793.2331190345511 1.5644845329409613 
vessels 	 1229.9158427873167 1.5644845329409613 
manufacture 	 1229.9158427873167 1.5644845329409613 
region 	 722.942900370575 1.5644845329409613 
tonnes 	 1884.9399284164651 1.5644845329409613 
employees 	 783.5400465545237 1.5644845329409613 
challenge 	 911.2615556085955 1.5644845329409613 
weld 	 1538.8770574860105 1.5644845329409613 
beams 	 555.5328555133608 1.8301742664208671 
production 	 692.9201937322127 1.5644845329409613 
purchased 	 1192.814186555556 1.5644845329409613 
fanuc 	 1538.8770574860105 1.5644845329409613 
arcmate 	 555.5328555133608 1.8301742664208671 
reis 	 555.5328555133608 1.8301742664208671 
srv12l 	 555.5328555133608 1.8301742664208671 
robots 	 367.39811124441496 1.8301742664208671 
form 	 485.50478262201534 1.5644845329409613 
manufacturing 	 478.7208249895181 1.7556362144179616 
system 	 169.88918660417986 1.7556362144179616 
