term 	 tf-idf weight 	 BM25 ranking 
 honors 	 60.74229459693689 1.9712559005925003 
office 	 27.062159170752857 1.9712559005925003 
staff 	 33.539427274745094 1.9712559005925003 
ira 	 151.7221833457209 1.9433263181573375 
cohen 	 144.35844615235197 1.9433263181573375 
mailto 	 5.993137496440124 1.9855239248605403 
honcohen 	 197.4698972626773 1.9433263181573375 
ilstu 	 32.21208159681068 1.9855239248605403 
edu 	 9.022094007839852 1.9855239248605403 
director 	 39.15480307270894 1.9712559005925003 
sara 	 144.35844615235197 1.9433263181573375 
attig 	 197.4698972626773 1.9433263181573375 
saattig 	 197.4698972626773 1.9433263181573375 
assistant 	 115.46797781967328 1.9433263181573375 
kerry 	 197.4698972626773 1.9433263181573375 
kalus 	 197.4698972626773 1.9433263181573375 
klkalus 	 197.4698972626773 1.9433263181573375 
susan 	 144.35844615235197 1.9433263181573375 
sloss 	 197.4698972626773 1.9433263181573375 
sksloss 	 197.4698972626773 1.9433263181573375 
