term 	 tf-idf weight 	 BM25 ranking 
 shared 	 213.17574277049087 1.8624051447371912 
vision 	 253.78746890616767 1.8309145912150906 
line 	 680.1810757709962 1.460492606993771 
october 	 450.4566307974019 1.6881904085471147 
tzu 	 384.36286447582626 1.8624051447371912 
chi 	 384.36286447582626 1.8624051447371912 
institute 	 71.48185423737313 1.940271808513893 
vgh 	 2501.285365327246 1.460492606993771 
acceptance 	 1398.1594015480675 1.460492606993771 
alternative 	 92.91037169673363 1.9287517232881217 
medicines 	 384.36286447582626 1.8624051447371912 
takes 	 519.8726023171284 1.6881904085471147 
step 	 1003.3744490525916 1.460492606993771 
mainstream 	 1582.845492000706 1.460492606993771 
autumn 	 1687.8949230221247 1.460492606993771 
unique 	 519.8726023171284 1.6881904085471147 
centre 	 499.65504709917565 1.7807319593350053 
vancouver 	 466.0531338493559 1.7807319593350053 
hospital 	 263.15193948923996 1.8309145912150906 
pronounced 	 1828.5403179297916 1.460492606993771 
soo 	 2501.285365327246 1.460492606993771 
chee 	 2501.285365327246 1.460492606993771 
complementary 	 914.2701589648958 1.6881904085471147 
medicine 	 128.5711663611963 1.8309145912150906 
partnership 	 1398.1594015480675 1.460492606993771 
foundation 	 1065.8787138524544 1.460492606993771 
support 	 193.5084226569957 1.7807319593350053 
hospitals 	 1270.5098720356734 1.460492606993771 
post 	 826.2200939000727 1.460492606993771 
secondary 	 1429.1365339083231 1.460492606993771 
educational 	 866.0597490582805 1.460492606993771 
institutions 	 929.1037169673365 1.460492606993771 
world 	 231.72644211458214 1.6881904085471147 
class 	 849.665490960209 1.460492606993771 
combine 	 1538.8047964557345 1.460492606993771 
research 	 95.94390564430554 1.8624051447371912 
education 	 113.49708223694115 1.8309145912150906 
information 	 86.80236970679348 1.8309145912150906 
resource 	 577.8976352661689 1.6881904085471147 
treatment 	 342.78734949620286 1.6881904085471147 
health 	 83.69977900419539 1.9117258269486614 
steadily 	 1828.5403179297916 1.460492606993771 
growing 	 874.5044807170037 1.460492606993771 
documentation 	 1498.9651412975268 1.460492606993771 
tells 	 1429.1365339083231 1.460492606993771 
third 	 849.665490960209 1.460492606993771 
population 	 288.68658301942685 1.7807319593350053 
conventional 	 447.44775981033905 1.7807319593350053 
methods 	 232.19177795635596 1.7807319593350053 
mike 	 960.9071611895657 1.6881904085471147 
mahony 	 277.9205961474717 1.9211473655600264 
executive 	 1003.3744490525916 1.460492606993771 
director 	 495.9608389209799 1.6881904085471147 
don 	 317.62746800891836 1.8309145912150906 
tell 	 1270.5098720356734 1.460492606993771 
regular 	 1270.5098720356734 1.460492606993771 
physicians 	 1538.8047964557345 1.460492606993771 
involvement 	 991.9216778419598 1.460492606993771 
patients 	 646.5549852633244 1.6881904085471147 
afraid 	 1828.5403179297916 1.460492606993771 
doctor 	 1342.343279431017 1.460492606993771 
reaction 	 1052.6077579569599 1.460492606993771 
urges 	 1921.8143223791315 1.460492606993771 
honesty 	 2211.5498438531886 1.460492606993771 
doctors 	 487.53146190528724 1.7807319593350053 
goal 	 1123.625555337436 1.460492606993771 
bring 	 1003.3744490525916 1.460492606993771 
logo 	 1039.7452046342569 1.460492606993771 
representative 	 1065.8787138524544 1.460492606993771 
design 	 782.9400901028015 1.460492606993771 
incorporates 	 2042.0654286639758 1.460492606993771 
traditional 	 883.1233427677472 1.460492606993771 
serpent 	 2501.285365327246 1.460492606993771 
staff 	 849.665490960209 1.460492606993771 
caduceus 	 2501.285365327246 1.460492606993771 
chinese 	 1249.0692749816774 1.460492606993771 
yin 	 2501.285365327246 1.460492606993771 
yang 	 2501.285365327246 1.460492606993771 
symbol 	 1538.8047964557345 1.460492606993771 
medical 	 159.37494275493097 1.8624051447371912 
profession 	 1172.8588642418044 1.460492606993771 
note 	 1139.4010124342662 1.460492606993771 
section 	 1065.8787138524544 1.460492606993771 
knowledgeable 	 2042.0654286639758 1.460492606993771 
benefits 	 883.1233427677472 1.460492606993771 
approaches 	 1052.6077579569599 1.460492606993771 
maintaining 	 1249.0692749816774 1.460492606993771 
applies 	 1293.1099705266488 1.460492606993771 
spades 	 2211.5498438531886 1.460492606993771 
notes 	 737.5311445636329 1.460492606993771 
referring 	 1752.3299071899187 1.460492606993771 
cultural 	 833.8900338633789 1.460492606993771 
diversity 	 1498.9651412975268 1.460492606993771 
conscious 	 1921.8143223791315 1.460492606993771 
public 	 225.44025396999103 1.6881904085471147 
demanding 	 1687.8949230221247 1.460492606993771 
improving 	 1293.1099705266488 1.460492606993771 
lifestyle 	 1582.845492000706 1.460492606993771 
western 	 368.76557228181645 1.6881904085471147 
approach 	 849.665490960209 1.460492606993771 
fixing 	 2501.285365327246 1.460492606993771 
wrong 	 1369.3203812665217 1.460492606993771 
holistic 	 2042.0654286639758 1.460492606993771 
looks 	 725.4143541506136 1.460492606993771 
underlying 	 1228.6749863588548 1.460492606993771 
cause 	 1052.6077579569599 1.460492606993771 
combination 	 1342.343279431017 1.460492606993771 
clinics 	 1687.8949230221247 1.460492606993771 
centres 	 2211.5498438531886 1.460492606993771 
university 	 1003.3744490525916 1.460492606993771 
british 	 342.4222220125634 1.7807319593350053 
columbia 	 476.3788446361078 1.7807319593350053 
technology 	 782.9400901028015 1.460492606993771 
involved 	 260.9800300342672 1.7807319593350053 
plans 	 725.4143541506136 1.460492606993771 
school 	 388.07159618919866 1.6881904085471147 
comprehensive 	 938.9394648847978 1.460492606993771 
partners 	 1429.1365339083231 1.460492606993771 
surprising 	 1921.8143223791315 1.460492606993771 
arise 	 1582.845492000706 1.460492606993771 
bound 	 1369.3203812665217 1.460492606993771 
conflict 	 874.5044807170037 1.460492606993771 
philosophies 	 1209.2296198234696 1.460492606993771 
integrate 	 2042.0654286639758 1.460492606993771 
smooth 	 1538.8047964557345 1.460492606993771 
sailing 	 1921.8143223791315 1.460492606993771 
