term 	 tf-idf weight 	 BM25 ranking 
 scar 	 42.20249797958334 1.987611904568957 
logo 	 333.31544837557516 1.7882363244086714 
index 	 58.27126623612407 1.7882363244086714 
gif 	 46.30793592136158 1.7882363244086714 
scientific 	 72.04106431350068 1.9537277523889383 
committee 	 70.0858854163149 1.942492316706286 
antarctic 	 177.2414348542627 1.942492316706286 
research 	 30.75713721611709 1.9537277523889383 
interdisciplinary 	 654.6334149305568 1.7882363244086714 
icsu 	 400.92373080604176 1.8881993321130068 
http 	 19.597894683940716 1.9240510304892324 
www 	 19.423755412041356 1.9240510304892324 
lmcp 	 801.8474616120835 1.7882363244086714 
jussieu 	 801.8474616120835 1.7882363244086714 
fabrice 	 801.8474616120835 1.7882363244086714 
international 	 180.79377718931232 1.7882363244086714 
council 	 310.9302010307109 1.7882363244086714 
unions 	 458.1442477122376 1.7882363244086714 
charged 	 387.6477728620692 1.7882363244086714 
initiation 	 616.0840172220182 1.7882363244086714 
promotion 	 430.3205728319528 1.7882363244086714 
ordination 	 708.9657394170508 1.7882363244086714 
antarctica 	 708.9657394170508 1.7882363244086714 
provides 	 238.41865061369407 1.7882363244086714 
advice 	 422.19687350855054 1.7882363244086714 
treaty 	 375.9882483454588 1.7882363244086714 
system 	 144.54064130133395 1.7882363244086714 
secretariat 	 801.8474616120835 1.7882363244086714 
scott 	 360.2053215675034 1.7882363244086714 
polar 	 616.0840172220182 1.7882363244086714 
institute 	 274.98282682702387 1.7882363244086714 
lensfield 	 801.8474616120835 1.7882363244086714 
road 	 355.3320572486062 1.7882363244086714 
cambridge 	 293.09139067295706 1.8881993321130068 
cb2 	 801.8474616120835 1.7882363244086714 
united 	 92.37732834483964 1.8881993321130068 
kingdom 	 219.48436733219367 1.8881993321130068 
telephone 	 333.31544837557516 1.7882363244086714 
facsimile 	 654.6334149305568 1.7882363244086714 
mail 	 236.4334291184852 1.7882363244086714 
execsec 	 400.92373080604176 1.8881993321130068 
demon 	 293.09139067295706 1.8881993321130068 
mailto 	 97.34308176036079 1.7882363244086714 
executive 	 107.21864128632158 1.9240510304892324 
secretary 	 329.3151513135179 1.7882363244086714 
clarkson 	 801.8474616120835 1.7882363244086714 
directory 	 507.41936824903013 1.7882363244086714 
pages 	 155.92973182100857 1.7882363244086714 
constitution 	 182.63126275860247 1.8881993321130068 
html 	 6.581900777953589 1.9708267366558834 
information 	 111.30638794938112 1.7882363244086714 
intro 	 586.1827813459141 1.7882363244086714 
national 	 152.72639202663228 1.7882363244086714 
membership 	 108.47694045750069 1.9240510304892324 
subsidiary 	 195.39426044863802 1.9240510304892324 
chief 	 291.7546879828607 1.7882363244086714 
officers 	 360.2053215675034 1.7882363244086714 
publications 	 124.40572700802062 1.8881993321130068 
future 	 203.4157737123693 1.7882363244086714 
meetings 	 138.1792153513325 1.9240510304892324 
symposia 	 801.8474616120835 1.7882363244086714 
subsidiary_meetings 	 801.8474616120835 1.7882363244086714 
global 	 321.6559238589648 1.7882363244086714 
change 	 214.65589256578338 1.7882363244086714 
programme 	 561.7516927355241 1.7882363244086714 
antcrc 	 801.8474616120835 1.7882363244086714 
utas 	 708.9657394170508 1.7882363244086714 
edu 	 146.5406784303685 1.7882363244086714 
xxiv 	 801.8474616120835 1.7882363244086714 
august 	 310.9302010307109 1.7882363244086714 
gold 	 448.2137794436389 1.7882363244086714 
net 	 310.9302010307109 1.7882363244086714 
users 	 400.41933695584873 1.7882363244086714 
db62 	 801.8474616120835 1.7882363244086714 
scarcomnap 	 801.8474616120835 1.7882363244086714 
