term 	 tf-idf weight 	 BM25 ranking 
 frame 	 53.361428099767174 1.976132853654084 
alert 	 147.0276813234416 1.930067646673412 
document 	 108.72100259099145 1.930067646673412 
designed 	 77.47326045706868 1.930067646673412 
read 	 111.75942944929405 1.930067646673412 
capable 	 64.58982020093497 1.9644116286976476 
browser 	 62.834439567419764 1.976132853654084 
netscape 	 57.29308308994151 1.976132853654084 
seeing 	 147.0276813234416 1.930067646673412 
message 	 131.66524989634377 1.930067646673412 
display 	 155.25517983738982 1.930067646673412 
frames 	 94.25165935112965 1.9644116286976476 
allow 	 99.57211698710884 1.930067646673412 
access 	 44.18354512606095 1.9644116286976476 
homepage 	 122.51636429246118 1.930067646673412 
obtain 	 110.2120760019973 1.930067646673412 
communications 	 43.92253719299667 1.930067646673412 
http 	 8.994556142256373 1.9644116286976476 
home 	 18.310682560414808 1.930067646673412 
com 	 19.789800875840996 1.930067646673412 
portions 	 179.3544330983767 1.930067646673412 
sea 	 49.208555515737146 1.9644116286976476 
website 	 124.61938936235074 1.930067646673412 
utilize 	 150.93539869541894 1.930067646673412 
click 	 50.444189672813856 1.930067646673412 
www 	 17.829268027470796 1.930067646673412 
edu 	 44.8370732510829 1.930067646673412 
bilboard 	 200.2982836727823 1.930067646673412 
paneltxt 	 245.34138750817482 1.930067646673412 
htm 	 26.898464587801985 1.930067646673412 
