term 	 tf-idf weight 	 BM25 ranking 
 interpretive 	 156.96007663710827 1.9489046819901044 
tree 	 103.80454571667599 1.9489046819901044 
trails 	 86.95876705793964 1.969026286849387 
national 	 101.43767828634532 1.8541655058268995 
arbor 	 194.6651773872625 1.9243236991495976 
day 	 61.80233115959072 1.9243236991495976 
foundation 	 226.94546778198193 1.8541655058268995 
images 	 33.93389929471019 1.969026286849387 
weblogo_small 	 389.330354774525 1.8541655058268995 
gif 	 6.151352682091315 1.969026286849387 
leaf_poplar 	 532.57032898116 1.8541655058268995 
series 	 202.06241504447658 1.8541655058268995 
graded 	 409.1901308414897 1.8541655058268995 
walking 	 327.6402557046899 1.8541655058268995 
traverses 	 532.57032898116 1.8541655058268995 
farm's 	 532.57032898116 1.8541655058268995 
orchards 	 266.28516449058 1.9243236991495976 
croplands 	 532.57032898116 1.8541655058268995 
grasslands 	 532.57032898116 1.8541655058268995 
oak 	 359.3843257152371 1.8541655058268995 
hickory 	 470.8802299113248 1.8541655058268995 
forest 	 291.5538610830632 1.8541655058268995 
south 	 158.35268585536397 1.8541655058268995 
table 	 291.5538610830632 1.8541655058268995 
creek 	 359.3843257152371 1.8541655058268995 
tributary 	 532.57032898116 1.8541655058268995 
nearby 	 347.50003177165456 1.8541655058268995 
missouri 	 409.1901308414897 1.8541655058268995 
river 	 280.4143413601567 1.8541655058268995 
crosses 	 434.79383528969817 1.8541655058268995 
property 	 202.06241504447658 1.8541655058268995 
provide 	 75.35971935947657 1.9243236991495976 
opportunities 	 224.11983363198428 1.8541655058268995 
enjoy 	 297.69422664540195 1.8541655058268995 
trees 	 97.18462036102109 1.9489046819901044 
natural 	 99.95886647697009 1.9243236991495976 
habitat 	 409.1901308414897 1.8541655058268995 
windbreaks 	 532.57032898116 1.8541655058268995 
plantations 	 434.79383528969817 1.8541655058268995 
human 	 137.17436715352179 1.8541655058268995 
planted 	 409.1901308414897 1.8541655058268995 
settings 	 319.157649702105 1.8541655058268995 
unobtrusive 	 470.8802299113248 1.8541655058268995 
panels 	 434.79383528969817 1.8541655058268995 
understanding 	 218.7242422903216 1.8541655058268995 
environment 	 162.42973456214915 1.8541655058268995 
aboricultural 	 532.57032898116 1.8541655058268995 
processes 	 229.8637620132281 1.8541655058268995 
farm 	 265.95015663485475 1.8541655058268995 
free 	 112.62392943589654 1.8541655058268995 
free_trees_button 	 389.330354774525 1.8541655058268995 
join 	 116.44050005618189 1.9243236991495976 
free_trees 	 389.330354774525 1.8541655058268995 
html 	 11.657495905231233 1.9489046819901044 
return 	 135.104506420902 1.8541655058268995 
homepage 	 265.95015663485475 1.8541655058268995 
homepage_button 	 389.330354774525 1.8541655058268995 
index 	 38.70255742548539 1.8541655058268995 
help 	 153.19181992448287 1.8541655058268995 
rescue 	 327.6402557046899 1.8541655058268995 
rainforest 	 194.6651773872625 1.9243236991495976 
rainforest_button 	 409.1901308414897 1.8541655058268995 
