term 	 tf-idf weight 	 BM25 ranking 
 benefit 	 83.5820737506567 1.927953644897401 
schedule_ 	 1771.2451390834085 1.5853068944952025 
bronze 	 1294.8515170029148 1.5853068944952025 
plan 	 133.90662679857493 1.8772356500518168 
silver 	 1120.8666641918874 1.5853068944952025 
gold 	 990.0841695172918 1.5853068944952025 
international 	 399.3653585674362 1.5853068944952025 
maximum 	 830.5412053004166 1.5853068944952025 
benefits 	 625.3696398546726 1.5853068944952025 
insurance 	 343.4154459145165 1.7686707901398855 
limit 	 58.00443316781834 1.9657197633242425 
hospital 	 106.48390169352703 1.927953644897401 
nursing 	 221.12709652785676 1.8772356500518168 
charges 	 754.784926555805 1.5853068944952025 
accom 	 1771.2451390834085 1.5853068944952025 
inpatient 	 453.6340027306403 1.8395961785473947 
day 	 205.54483172178487 1.7686707901398855 
care 	 97.51241937576616 1.916447556465019 
patient 	 415.2706026502083 1.7686707901398855 
operating 	 774.5255734074121 1.5853068944952025 
theatre 	 1155.730442746177 1.5853068944952025 
recovery 	 969.6622795571542 1.5853068944952025 
prescribed 	 1446.0559016376478 1.5853068944952025 
medicines 	 1360.9020081919207 1.5853068944952025 
drugs 	 466.30699462138415 1.7686707901398855 
dressings 	 1566.0735736376646 1.5853068944952025 
whilst 	 885.6225695417043 1.7686707901398855 
home 	 44.064732015307186 1.8395961785473947 
specialist 	 597.6278674815178 1.7686707901398855 
medical 	 141.07351392182886 1.8772356500518168 
reasons 	 325.56250372180153 1.7686707901398855 
full 	 26.81536291995679 1.97283864497401 
payment 	 51.034856818797586 1.97283864497401 
surgeon's 	 1446.0559016376478 1.5853068944952025 
anaesthetist's 	 1771.2451390834085 1.5853068944952025 
fees 	 495.0420847586459 1.7686707901398855 
operation 	 702.4134369407179 1.5853068944952025 
including 	 129.94263940441826 1.7686707901398855 
aftercare 	 1771.2451390834085 1.5853068944952025 
physicians 	 1089.6799515571709 1.5853068944952025 
regular 	 899.6912012501421 1.5853068944952025 
attendance 	 1195.2557349630356 1.5853068944952025 
days 	 312.6848199273363 1.7686707901398855 
acute 	 1012.0201292747935 1.5853068944952025 
major 	 396.5054329375621 1.5853068944952025 
illness 	 932.6139892427683 1.5853068944952025 
intensive 	 1120.8666641918874 1.5853068944952025 
paid 	 784.912604071548 1.5853068944952025 
physiotherapy 	 1771.2451390834085 1.5853068944952025 
following 	 145.34357505147358 1.8395961785473947 
annual 	 290.0221658390917 1.8395961785473947 
limits 	 457.84754937307184 1.7686707901398855 
consultations 	 1240.8843361919041 1.5853068944952025 
radiology 	 1240.8843361919041 1.5853068944952025 
pathology 	 1240.8843361919041 1.5853068944952025 
radiotherapy 	 1771.2451390834085 1.5853068944952025 
chemotherapy 	 1294.8515170029148 1.5853068944952025 
oncology 	 1771.2451390834085 1.5853068944952025 
tech 	 1120.8666641918874 1.5853068944952025 
diagnostic 	 1061.4681383350908 1.5853068944952025 
procedures 	 637.9672857226362 1.5853068944952025 
mri 	 1566.0735736376646 1.5853068944952025 
scans 	 1566.0735736376646 1.5853068944952025 
coloured 	 1771.2451390834085 1.5853068944952025 
angiography 	 1771.2451390834085 1.5853068944952025 
micturating 	 1771.2451390834085 1.5853068944952025 
cystogram 	 1771.2451390834085 1.5853068944952025 
please 	 263.3280618718412 1.7686707901398855 
contact 	 477.88857475317 1.5853068944952025 
managed 	 597.6278674815178 1.7686707901398855 
consultants 	 597.6278674815178 1.7686707901398855 
date 	 736.2789008893302 1.5853068944952025 
details 	 784.912604071548 1.5853068944952025 
course 	 351.20671847035896 1.7686707901398855 
treatment 	 161.8262447382393 1.8395961785473947 
max 	 231.1460885492354 1.9005678476871903 
alternative 	 328.96495241905694 1.7686707901398855 
medicine 	 364.18244251592444 1.5853068944952025 
consultation 	 1360.9020081919207 1.5853068944952025 
acupunture 	 1771.2451390834085 1.5853068944952025 
osteopathy 	 1771.2451390834085 1.5853068944952025 
chiropractic 	 1446.0559016376478 1.5853068944952025 
