term 	 tf-idf weight 	 BM25 ranking 
 overview 	 641.2454637766787 1.5076818003713577 
pcmdi 	 147.5246982699191 1.9396778912932202 
program 	 871.9573593699571 1.209863010747186 
climate 	 70.14642295935008 1.949083718488844 
model 	 85.89298395133783 1.9299762050894782 
diagnosis 	 345.8399732590429 1.8293289137005224 
intercomparison 	 269.3961911782528 1.8967714218308722 
established 	 1773.9084159087683 1.209863010747186 
lawrence 	 1186.5929228463176 1.5076818003713577 
livermore 	 3232.754294139034 1.209863010747186 
national 	 280.7582181783116 1.642449787425666 
laboratory 	 1186.5929228463176 1.5076818003713577 
llnl 	 426.30018732513673 1.8293289137005224 
http 	 32.42427799574371 1.8773913775734832 
www 	 40.17021058628329 1.8490526527549358 
gov 	 214.34460686725313 1.8490526527549358 
san 	 1816.1484837364906 1.209863010747186 
francisco 	 2104.998685856192 1.209863010747186 
bay 	 2137.8485383960383 1.209863010747186 
ipandc 	 4422.128911427834 1.209863010747186 
miscellaneous 	 4422.128911427834 1.209863010747186 
directions 	 2585.782897234502 1.209863010747186 
shtml 	 3098.018663668301 1.209863010747186 
staff 	 751.0799016980795 1.5076818003713577 
phillips 	 242.68981275430247 1.9108610985654155 
pcmdistaff 	 4422.128911427834 1.209863010747186 
html 	 10.755167882604095 1.9527662219956816 
includes 	 1011.5548494821429 1.209863010747186 
research 	 94.23517579896571 1.8646898744204075 
scientists 	 421.1052227106263 1.8036759689543802 
computer 	 857.3784274690125 1.5076818003713577 
support 	 342.1117807261239 1.642449787425666 
personnel 	 1733.9527393900346 1.209863010747186 
means 	 1325.9740570703052 1.209863010747186 
communicating 	 3098.018663668301 1.209863010747186 
pcmdicommunicns 	 4422.128911427834 1.209863010747186 
mission 	 966.8486465339148 1.5076818003713577 
pcmdi's 	 2211.064455713917 1.5076818003713577 
principal 	 806.9599376044335 1.642449787425666 
develop 	 553.3303545054749 1.642449787425666 
improved 	 2286.144182342568 1.209863010747186 
methods 	 1231.5051955245003 1.209863010747186 
tools 	 582.0960625425724 1.7192914137328417 
validation 	 488.7366431242543 1.8490526527549358 
global 	 295.6514026514614 1.8036759689543802 
models 	 186.09500792588358 1.8773913775734832 
gcms 	 3909.893144994034 1.209863010747186 
call 	 1396.4082799457012 1.209863010747186 
modeling 	 240.45180101053626 1.8967714218308722 
infrastructure 	 411.9775908070263 1.8036759689543802 
infrastr 	 4422.128911427834 1.209863010747186 
engage 	 2720.518527705234 1.209863010747186 
wide 	 1576.8698337641003 1.209863010747186 
variety 	 1546.0737111240808 1.209863010747186 
outstanding 	 2650.084304829838 1.209863010747186 
analysis 	 151.53762670003837 1.8036759689543802 
standards 	 796.3814597111962 1.5076818003713577 
increasingly 	 2104.998685856192 1.209863010747186 
apparent 	 2526.631336263758 1.209863010747186 
complex 	 1677.7991541333504 1.209863010747186 
developed 	 1474.269701016835 1.209863010747186 
disagreement 	 3397.6573785602345 1.209863010747186 
observations 	 762.0480607808561 1.642449787425666 
remains 	 2208.2827612714345 1.209863010747186 
significant 	 788.4349168820502 1.5076818003713577 
poorly 	 3397.6573785602345 1.209863010747186 
understood 	 2585.782897234502 1.209863010747186 
nature 	 1251.4793844191727 1.209863010747186 
causes 	 1625.6127719622386 1.209863010747186 
disagreements 	 3610.2544301021007 1.209863010747186 
accounted 	 3610.2544301021007 1.209863010747186 
systematic 	 883.3614349432794 1.642449787425666 
fashion 	 2885.421612126435 1.209863010747186 
confidently 	 4422.128911427834 1.209863010747186 
sensitivity 	 3397.6573785602345 1.209863010747186 
predictability 	 1954.946572497017 1.5076818003713577 
studies 	 197.9192377172228 1.7192914137328417 
change 	 295.9528071009588 1.7192914137328417 
devote 	 4422.128911427834 1.209863010747186 
share 	 1816.1484837364906 1.209863010747186 
time 	 352.31764375941196 1.5076818003713577 
development 	 171.9881668891423 1.768947282827197 
examples 	 1794.726693987157 1.209863010747186 
include 	 630.8363247374845 1.5076818003713577 
ongoing 	 2373.185845692635 1.209863010747186 
construction 	 1773.9084159087683 1.209863010747186 
documentation 	 662.5210762074595 1.7192914137328417 
data 	 95.49421596538095 1.9043322491555623 
software 	 345.5911884667837 1.8036759689543802 
products 	 829.9955317582123 1.5076818003713577 
pcmdisoftware 	 2211.064455713917 1.5076818003713577 
designed 	 1396.4082799457012 1.209863010747186 
specifically 	 1677.7991541333504 1.209863010747186 
atmospheric 	 544.1037055410469 1.768947282827197 
project 	 203.20159649527983 1.8490526527549358 
amip 	 188.75874325334638 1.9299762050894782 
