term 	 tf-idf weight 	 BM25 ranking 
 baron's 	 161.21569173662965 1.9433263181573375 
monthly 	 103.97385690882214 1.9433263181573375 
special 	 18.185232344409453 1.9807450225640824 
blrule 	 161.21569173662965 1.9433263181573375 
jpg 	 87.50714842689555 1.9433263181573375 
month 	 80.14341123352663 1.9433263181573375 
offer 	 80.14341123352663 1.9433263181573375 
value 	 62.35652670934796 1.9433263181573375 
customers 	 112.82656846644657 1.9433263181573375 
month's 	 174.5960403041991 1.9433263181573375 
buy 	 103.97385690882214 1.9433263181573375 
worth 	 103.97385690882214 1.9433263181573375 
cigars 	 161.21569173662965 1.9433263181573375 
free 	 41.75943450993917 1.9433263181573375 
common 	 59.21129077580524 1.9433263181573375 
sense 	 79.21377229362565 1.9433263181573375 
humidor 	 98.73494863133865 1.9712559005925003 
html 	 4.32244230193967 1.9807450225640824 
call 	 62.35652670934796 1.9433263181573375 
cigar 	 72.17922307617599 1.9712559005925003 
baron 	 72.17922307617599 1.9712559005925003 
logo 	 82.08514773428344 1.9433263181573375 
gif 	 11.404193174663675 1.9433263181573375 
index 	 7.1751932305675155 1.9712559005925003 
home 	 14.737866451065578 1.9433263181573375 
