term 	 tf-idf weight 	 BM25 ranking 
 principal 	 125.79402545606324 1.934356826247624 
component 	 148.49109709396924 1.9186138385516542 
statistical 	 197.98812945862565 1.8929373543626933 
studies 	 102.84301391530929 1.84359238481395 
pcmdi 	 201.2244869500385 1.9186138385516542 
conducted 	 530.891607517246 1.709873747273786 
exploratory 	 937.9822064676634 1.709873747273786 
potential 	 394.00524440887 1.709873747273786 
usefulness 	 804.897947800154 1.709873747273786 
various 	 234.57837041077136 1.709873747273786 
linear 	 201.2244869500385 1.9186138385516542 
nonlinear 	 253.95787680610778 1.9186138385516542 
methods 	 319.95804809296897 1.709873747273786 
model 	 50.21078358183753 1.9584617597949245 
data 	 53.755877999456665 1.94499647135738 
intercomparisons 	 1015.8315072244311 1.709873747273786 
sengupta 	 229.78315317838812 1.934356826247624 
boyle 	 234.49555161691586 1.9186138385516542 
applied 	 466.28893808597314 1.709873747273786 
technique 	 516.1150876191093 1.709873747273786 
common 	 172.25102771143344 1.84359238481395 
components 	 538.729430465135 1.709873747273786 
cpcs 	 1148.9157658919407 1.709873747273786 
identify 	 291.791740945992 1.84359238481395 
similar 	 379.5077943273061 1.709873747273786 
modes 	 363.52432352169325 1.84359238481395 
vertically 	 727.0486470433865 1.709873747273786 
averaged 	 1015.8315072244311 1.709873747273786 
atmospheric 	 353.4097140185419 1.84359238481395 
temperature 	 727.0486470433865 1.709873747273786 
fields 	 628.9701272803162 1.709873747273786 
observed 	 642.2167586058109 1.709873747273786 
microwave 	 804.897947800154 1.709873747273786 
sounding 	 1015.8315072244311 1.709873747273786 
unit 	 502.3949665345376 1.709873747273786 
msu 	 1015.8315072244311 1.709873747273786 
satellites 	 671.8136891326445 1.709873747273786 
simulated 	 749.6629898894121 1.709873747273786 
ecmwf 	 441.3736242784608 1.84359238481395 
global 	 230.44006485418373 1.84359238481395 
represented 	 604.9388038331471 1.709873747273786 
analyses 	 628.9701272803162 1.709873747273786 
combination 	 616.5787312219026 1.709873747273786 
concluded 	 353.4097140185419 1.84359238481395 
cpc 	 1148.9157658919407 1.709873747273786 
potentially 	 749.6629898894121 1.709873747273786 
promising 	 804.897947800154 1.709873747273786 
approach 	 195.13848596215325 1.84359238481395 
rigorously 	 1148.9157658919407 1.709873747273786 
identifying 	 749.6629898894121 1.709873747273786 
similarities 	 516.1150876191093 1.709873747273786 
especially 	 166.6023397092318 1.84359238481395 
analysis 	 47.24528983990371 1.934356826247624 
restricted 	 775.3010172733204 1.709873747273786 
regions 	 502.3949665345376 1.709873747273786 
equatorial 	 937.9822064676634 1.709873747273786 
pacific 	 583.583481891984 1.709873747273786 
dominant 	 296.9821941879385 1.84359238481395 
mode 	 214.07225286860364 1.8929373543626933 
variability 	 419.9518433522967 1.84359238481395 
enso 	 1015.8315072244311 1.709873747273786 
occur 	 555.4356148471439 1.709873747273786 
considered 	 198.90367442486826 1.84359238481395 
relative 	 466.28893808597314 1.709873747273786 
merits 	 749.6629898894121 1.709873747273786 
applying 	 642.2167586058109 1.709873747273786 
nlpca 	 382.9719219639802 1.8929373543626933 
based 	 236.22644919951856 1.709873747273786 
auto 	 656.4454892593255 1.709873747273786 
associative 	 1148.9157658919407 1.709873747273786 
neural 	 937.9822064676634 1.709873747273786 
networks 	 671.8136891326445 1.709873747273786 
traditional 	 405.6451717976255 1.709873747273786 
pca 	 574.4578829459704 1.84359238481395 
precipitation 	 419.9518433522967 1.84359238481395 
found 	 359.6279839706648 1.709873747273786 
effected 	 882.7472485569216 1.709873747273786 
somewhat 	 593.964388375877 1.709873747273786 
reduction 	 573.7351693695744 1.709873747273786 
leading 	 147.9633623228999 1.84359238481395 
captured 	 749.6629898894121 1.709873747273786 
seasonal 	 727.0486470433865 1.709873747273786 
cycle 	 555.4356148471439 1.709873747273786 
fails 	 628.9701272803162 1.709873747273786 
uncover 	 882.7472485569216 1.709873747273786 
physically 	 628.9701272803162 1.709873747273786 
meaningful 	 775.3010172733204 1.709873747273786 
patterns 	 455.61952666424946 1.709873747273786 
climatological 	 937.9822064676634 1.709873747273786 
references 	 727.0486470433865 1.709873747273786 
intercomparison 	 839.9036867045934 1.709873747273786 
climate 	 227.80976333212473 1.84359238481395 
models 	 483.49447255439304 1.709873747273786 
report 	 151.412835208602 1.84359238481395 
abstract 	 321.10837930290546 1.84359238481395 
pcmdireports 	 507.91575361221555 1.84359238481395 
html 	 18.861566408464014 1.9186138385516542 
rp13 	 1148.9157658919407 1.709873747273786 
rp29 	 1148.9157658919407 1.709873747273786 
return 	 291.46140711026044 1.709873747273786 
directory 	 727.0486470433865 1.709873747273786 
pcmditoc 	 1015.8315072244311 1.709873747273786 
update 	 604.9388038331471 1.709873747273786 
august 	 445.5119298350485 1.709873747273786 
questions 	 309.98177821827244 1.709873747273786 
contact 	 309.98177821827244 1.709873747273786 
sailes 	 229.78315317838812 1.934356826247624 
llnl 	 193.8252543183301 1.9186138385516542 
gov 	 148.50397661168282 1.8929373543626933 
mailto 	 139.47665446260652 1.709873747273786 
disclaimers 	 775.3010172733204 1.709873747273786 
http 	 84.24169655186456 1.709873747273786 
www 	 83.49315759205837 1.709873747273786 
disclaimer 	 775.3010172733204 1.709873747273786 
ucrl 	 882.7472485569216 1.709873747273786 
