term 	 tf-idf weight 	 BM25 ranking 
 ashlog1 	 517.8443431540226 1.8286954114696974 
gif 	 6.105275133910856 1.969254733033737 
services 	 29.875576406296716 1.9632187645308694 
aimr 	 634.2972457528422 1.8286954114696974 
sample 	 195.1116129477367 1.9105154262116948 
reports 	 135.14730103870832 1.9105154262116948 
htm 	 13.908474372229318 1.9632187645308694 
advantages 	 131.83372211869764 1.9105154262116948 
overview 	 91.97837504780506 1.9105154262116948 
quick 	 340.40284119542537 1.8286954114696974 
start 	 114.33811923836865 1.8286954114696974 
quickstart 	 634.2972457528422 1.8286954114696974 
home 	 47.33981344887731 1.8286954114696974 
index 	 46.09518075394889 1.8286954114696974 
click 	 130.41668549556755 1.8286954114696974 
http 	 46.50843663800856 1.8286954114696974 
www 	 46.09518075394889 1.8286954114696974 
adobe 	 634.2972457528422 1.8286954114696974 
com 	 17.054625145033704 1.9394404261994054 
prodindex 	 634.2972457528422 1.8286954114696974 
acrobat 	 317.1486228764211 1.9105154262116948 
readstep 	 634.2972457528422 1.8286954114696974 
html 	 41.65262581869137 1.8286954114696974 
download 	 444.37074201466834 1.8286954114696974 
reader 	 354.5571688136248 1.8286954114696974 
pdficonsmall 	 126.85944915056844 1.9632187645308694 
list 	 121.63801180838246 1.9105154262116948 
composites 	 280.411822306744 1.9105154262116948 
complist 	 634.2972457528422 1.8286954114696974 
pdf 	 112.16472892269759 1.9632187645308694 
following 	 156.14613806205608 1.8286954114696974 
full 	 182.45317878646276 1.8286954114696974 
disclosure 	 444.37074201466834 1.8286954114696974 
independent 	 200.2967221572995 1.8286954114696974 
accountant's 	 634.2972457528422 1.8286954114696974 
verification 	 413.8764423347796 1.8286954114696974 
report 	 167.18500554283136 1.8286954114696974 
opinion 	 284.9385379563833 1.8286954114696974 
examined 	 266.92924005607114 1.8286954114696974 
performance 	 238.10426621480516 1.8286954114696974 
value 	 200.2967221572995 1.8286954114696974 
composite 	 428.03076995297897 1.8286954114696974 
mandate 	 243.67502173706688 1.9105154262116948 
quarterly 	 231.84841351741377 1.9105154262116948 
mandateq 	 634.2972457528422 1.8286954114696974 
asset 	 206.9382211673898 1.9105154262116948 
weighted 	 258.9221715770113 1.9105154262116948 
returns 	 173.62196221800394 1.9105154262116948 
gross 	 185.44857043765708 1.9105154262116948 
management 	 88.32175285899663 1.9105154262116948 
fees 	 118.18572293787493 1.9394404261994054 
mandatey 	 634.2972457528422 1.8286954114696974 
quote 	 487.35004347413377 1.8286954114696974 
sheet 	 428.03076995297897 1.8286954114696974 
quotesht 	 634.2972457528422 1.8286954114696974 
determined 	 311.5778673541593 1.8286954114696974 
ashland 	 258.9221715770113 1.9105154262116948 
accounting 	 158.37481237805957 1.9105154262116948 
client 	 333.97663128288326 1.8286954114696974 
copyright 	 82.67253692270187 1.8286954114696974 
info 	 109.81140358872935 1.9105154262116948 
aascpa 	 258.9221715770113 1.9105154262116948 
mailto 	 77.00273631789734 1.8286954114696974 
