term 	 tf-idf weight 	 BM25 ranking 
 ccnlearn 	 537.9241045893741 1.812584353987157 
gif 	 8.086609705670606 1.9594791762536754 
bbar 	 268.96205229468706 1.9016857707990928 
cgi 	 361.94704916655 1.812584353987157 
bin 	 419.56679792299195 1.812584353987157 
imagemap 	 391.35083727541604 1.812584353987157 
arcd 	 700.1205448404013 1.812584353987157 
tafter 	 700.1205448404013 1.812584353987157 
tarcd 	 700.1205448404013 1.812584353987157 
games 	 409.38646681520527 1.812584353987157 
activities 	 104.96547001165474 1.9016857707990928 
hope 	 310.25261714990245 1.812584353987157 
enjoy 	 391.35083727541604 1.812584353987157 
watch 	 472.44905740092963 1.812584353987157 
carefully 	 419.56679792299195 1.812584353987157 
plan 	 211.71723426261173 1.812584353987157 
add 	 355.62118427792774 1.812584353987157 
exciting 	 537.9241045893741 1.812584353987157 
time 	 55.779654018743166 1.9016857707990928 
biblenet 	 350.06027242020065 1.9016857707990928 
http 	 7.333540548041782 1.9708880343484718 
www 	 8.479773817943428 1.9661182371329504 
isstb 	 700.1205448404013 1.812584353987157 
com 	 9.412222367778035 1.9661182371329504 
trivia 	 309.5111623574439 1.9016857707990928 
html 	 15.325022706877013 1.933365324404525 
bible 	 110.7613173230159 1.949604230080901 
game 	 375.72766433834687 1.812584353987157 
test 	 284.14482164613986 1.812584353987157 
knowledge 	 254.74103353727386 1.812584353987157 
biblical 	 511.8163090856116 1.812584353987157 
events 	 215.37378185259195 1.812584353987157 
quiz 	 537.9241045893741 1.812584353987157 
islandnet 	 619.0223247148878 1.812584353987157 
hunter 	 472.44905740092963 1.812584353987157 
quest00 	 700.1205448404013 1.812584353987157 
htm 	 25.586344364006766 1.933365324404525 
submit 	 361.94704916655 1.812584353987157 
answer 	 180.973524583275 1.9016857707990928 
quizzes 	 700.1205448404013 1.812584353987157 
receive 	 265.6326130359973 1.812584353987157 
correct 	 323.5120733308218 1.812584353987157 
mail 	 206.43814333479676 1.812584353987157 
free 	 148.05617689887524 1.812584353987157 
child 	 254.74103353727386 1.812584353987157 
family 	 199.75060891552283 1.812584353987157 
starwave 	 700.1205448404013 1.812584353987157 
funstuff 	 619.0223247148878 1.812584353987157 
activity 	 235.59639095480304 1.812584353987157 
tvtoc 	 700.1205448404013 1.812584353987157 
select 	 443.0452692920636 1.812584353987157 
catagories 	 700.1205448404013 1.812584353987157 
arts 	 355.62118427792774 1.812584353987157 
crafts 	 511.8163090856116 1.812584353987157 
outdoor 	 571.5829070662325 1.812584353987157 
play 	 291.02916014882305 1.812584353987157 
waldo 	 190.52763568874414 1.933365324404525 
warneractive 	 700.1205448404013 1.812584353987157 
imagination_pilots 	 700.1205448404013 1.812584353987157 
docs 	 619.0223247148878 1.812584353987157 
wwb 	 619.0223247148878 1.812584353987157 
circus 	 619.0223247148878 1.812584353987157 
toy 	 619.0223247148878 1.812584353987157 
story 	 268.52164870907075 1.812584353987157 
contest 	 236.22452870046482 1.9016857707990928 
disney 	 472.44905740092963 1.812584353987157 
toystorybook 	 700.1205448404013 1.812584353987157 
puzzle 	 700.1205448404013 1.812584353987157 
day 	 162.49152237465427 1.812584353987157 
try 	 323.5120733308218 1.812584353987157 
solve 	 443.0452692920636 1.812584353987157 
learn 	 318.9232498918879 1.812584353987157 
home 	 52.252435599232506 1.812584353987157 
learnathome 	 537.9241045893741 1.812584353987157 
feedback 	 187.86383216917343 1.9016857707990928 
christian 	 287.53636346031044 1.812584353987157 
community 	 180.33034783103426 1.812584353987157 
network 	 291.02916014882305 1.812584353987157 
christcom 	 537.9241045893741 1.812584353987157 
net 	 271.48383224323265 1.812584353987157 
