term 	 tf-idf weight 	 BM25 ranking 
 robomedia 	 723.0279508188239 1.7686707901398855 
home 	 132.19419604592156 1.5853068944952025 
page 	 48.43298395153534 1.8395961785473947 
image 	 107.12530143885996 1.9005678476871903 
banner_fin 	 1446.0559016376478 1.5853068944952025 
gif 	 25.573039240154905 1.8772356500518168 
example 	 174.0902861170936 1.8395961785473947 
targeting 	 1294.8515170029148 1.5853068944952025 
consumers 	 950.5588773004331 1.5853068944952025 
robotic 	 517.8563853730802 1.7686707901398855 
outreach 	 431.61717233430494 1.8395961785473947 
challenge 	 856.2965728893469 1.5853068944952025 
multi 	 884.5083861114271 1.5853068944952025 
dollar 	 710.5235333003998 1.5853068944952025 
private 	 284.6770039808341 1.7686707901398855 
company 	 183.20445370335375 1.8395961785473947 
largest 	 745.3873118546893 1.5853068944952025 
service 	 149.77877865388385 1.8395961785473947 
provider 	 1089.6799515571709 1.5853068944952025 
type 	 727.4424237970246 1.5853068944952025 
world 	 328.18673141586754 1.5853068944952025 
major 	 396.5054329375621 1.5853068944952025 
industry 	 233.42812094659473 1.7686707901398855 
journal 	 1012.0201292747935 1.5853068944952025 
published 	 702.4134369407179 1.5853068944952025 
study 	 359.1224902415716 1.5853068944952025 
excelled 	 1566.0735736376646 1.5853068944952025 
virtually 	 1035.7127707461605 1.5853068944952025 
community 	 228.11018358113736 1.7686707901398855 
client 	 116.57674865534604 1.9366742901239224 
especially 	 513.690547436798 1.5853068944952025 
concerned 	 710.5235333003998 1.5853068944952025 
positive 	 254.83023803713678 1.8395961785473947 
public 	 79.8209511664083 1.8772356500518168 
recognition 	 428.14828644467343 1.7686707901398855 
time 	 282.2355143512475 1.5853068944952025 
owners 	 915.6950987461437 1.5853068944952025 
trying 	 856.2965728893469 1.5853068944952025 
pre 	 672.0278073389333 1.5853068944952025 
sell 	 843.13885116838 1.5853068944952025 
blocks 	 1240.8843361919041 1.5853068944952025 
stock 	 397.83871337306346 1.7686707901398855 
institutional 	 1035.7127707461605 1.5853068944952025 
investors 	 1012.0201292747935 1.5853068944952025 
regional 	 363.7212118985123 1.7686707901398855 
locations 	 1035.7127707461605 1.5853068944952025 
representing 	 795.6774267461269 1.5853068944952025 
nearly 	 1035.7127707461605 1.5853068944952025 
retail 	 1120.8666641918874 1.5853068944952025 
outlets 	 1294.8515170029148 1.5853068944952025 
