term 	 tf-idf weight 	 BM25 ranking 
 jpg 	 381.84937495372606 1.7742171177611286 
italy 	 371.914401459605 1.7742171177611286 
florence 	 301.83673042505774 1.8803551172632027 
florence_ 	 861.6868244189554 1.7742171177611286 
situated 	 603.6734608501155 1.7742171177611286 
banks 	 462.4340484164269 1.7742171177611286 
arno 	 761.8736304183233 1.7742171177611286 
river 	 453.70410287486027 1.7742171177611286 
surrounded 	 703.4866548507476 1.7742171177611286 
apennine 	 861.6868244189554 1.7742171177611286 
mountains 	 562.247242417059 1.7742171177611286 
population 	 298.35551163730236 1.7742171177611286 
half 	 367.19266697309433 1.7742171177611286 
people 	 168.73227724532728 1.7742171177611286 
known 	 262.8076604151627 1.7742171177611286 
wealth 	 471.7275954602371 1.7742171177611286 
art 	 40.748616603632634 1.9383330241067307 
culture 	 282.0361809530939 1.7742171177611286 
scuola 	 861.6868244189554 1.7742171177611286 
lorenzo 	 703.4866548507476 1.7742171177611286 
de'medici_ 	 861.6868244189554 1.7742171177611286 
http 	 63.18127241389843 1.7742171177611286 
www 	 62.619868194043775 1.7742171177611286 
dada 	 861.6868244189554 1.7742171177611286 
ldm 	 861.6868244189554 1.7742171177611286 
welcome 	 416.576711135358 1.7742171177611286 
html 	 56.58469922539205 1.7742171177611286 
located 	 381.84937495372606 1.7742171177611286 
downtown 	 761.8736304183233 1.7742171177611286 
school 	 267.3794729724622 1.7742171177611286 
international 	 64.76195003796262 1.9186138385516542 
students 	 89.54743389194556 1.9383330241067307 
study 	 174.7082384958997 1.7742171177611286 
studios 	 703.4866548507476 1.7742171177611286 
careful 	 603.6734608501155 1.7742171177611286 
supervision 	 530.1145710278129 1.7742171177611286 
master 	 492.3341169444941 1.7742171177611286 
artist 	 492.3341169444941 1.7742171177611286 
prerequisites_ 	 703.4866548507476 1.7742171177611286 
undergraduate 	 603.6734608501155 1.7742171177611286 
isu 	 150.91836521252887 1.9383330241067307 
cum 	 629.927765028445 1.7742171177611286 
gpa 	 629.927765028445 1.7742171177611286 
full 	 247.860922125006 1.7742171177611286 
semesters 	 761.8736304183233 1.7742171177611286 
academic 	 392.52092294386205 1.7742171177611286 
program_ 	 703.4866548507476 1.7742171177611286 
university 	 172.83004864063778 1.8803551172632027 
studies 	 77.13226043648197 1.8803551172632027 
available 	 112.68688844812266 1.8803551172632027 
variety 	 301.2647014910252 1.7742171177611286 
courses 	 503.8602668494834 1.7742171177611286 
language 	 310.3624633245257 1.7742171177611286 
liberal 	 371.914401459605 1.7742171177611286 
arts 	 218.843805709494 1.8803551172632027 
studio 	 581.4757629549904 1.7742171177611286 
drawing 	 545.2864852825398 1.7742171177611286 
printmaking 	 861.6868244189554 1.7742171177611286 
jewelery 	 861.6868244189554 1.7742171177611286 
painting 	 703.4866548507476 1.7742171177611286 
restoration 	 530.1145710278129 1.7742171177611286 
sculpture 	 861.6868244189554 1.7742171177611286 
graphic 	 492.3341169444941 1.7742171177611286 
