term 	 tf-idf weight 	 BM25 ranking 
 ozone 	 234.4797378979323 1.9137465733145607 
recommendation 	 249.15152359297312 1.9137465733145607 
amip 	 46.895947579586455 1.9821328743375497 
intercomparison 	 223.0994167809076 1.9137465733145607 
existing 	 131.71968385027677 1.9137465733145607 
climatologies 	 305.18075031504674 1.9137465733145607 
http 	 11.188350323294513 1.9559228350279252 
www 	 11.088934992695252 1.9559228350279252 
pcmdi 	 71.2670057948053 1.970397759545944 
llnl 	 41.187866542645146 1.9821328743375497 
gov 	 29.584776590608687 1.9777158621084356 
amip2 	 269.8302441064895 1.9137465733145607 
ozone1 	 152.59037515752337 1.9559228350279252 
html 	 5.0101035772482545 1.9777158621084356 
recommended 	 170.58882650466853 1.9137465733145607 
data 	 85.67343056163406 1.9137465733145607 
set 	 75.6904571282032 1.9137465733145607 
wang 	 199.12923168937508 1.9137465733145607 
return 	 77.41943626366293 1.9137465733145607 
home 	 22.77670269710135 1.9137465733145607 
page 	 25.03461670467874 1.9137465733145607 
amiphome 	 269.8302441064895 1.9137465733145607 
update 	 160.6868697681797 1.9137465733145607 
october 	 109.92003909410286 1.9137465733145607 
information 	 42.362878995659976 1.9137465733145607 
contact 	 82.33890983922862 1.9137465733145607 
project 	 112.1870789852154 1.9137465733145607 
office 	 83.64667380050882 1.9137465733145607 
mailto 	 37.048486341629854 1.9137465733145607 
disclaimers 	 205.93933271322575 1.9137465733145607 
disclaimer 	 205.93933271322575 1.9137465733145607 
ucrl 	 234.4797378979323 1.9137465733145607 
