term 	 tf-idf weight 	 BM25 ranking 
 center 	 823.9298851181766 1.3616362185595414 
democracy 	 1179.1615355291196 1.3616362185595414 
technology 	 993.6596119606129 1.3616362185595414 
images 	 1011.3445829125703 1.3616362185595414 
cdtlgo 	 5183.328755532245 1.032182315522944 
gif 	 183.3310448230024 1.3616362185595414 
index 	 115.34666693382022 1.6202065066314657 
html 	 5.147150709717161 1.9771132738822272 
cdt 	 177.54152773374668 1.9182442397462725 
publications 	 656.688937092089 1.5237544992472754 
policy 	 19.384434950593693 1.9786748390241884 
posts 	 1004.4252793138451 1.6202065066314657 
position 	 769.9341657867523 1.3616362185595414 
papers 	 1585.2422257841622 1.3616362185595414 
testimony 	 1209.1817085141395 1.5237544992472754 
reports 	 676.3739924625921 1.6202065066314657 
annual 	 1039.5726957948525 1.5237544992472754 
regular 	 3224.9066369135157 1.032182315522944 
news 	 1936.3814423644972 1.032182315522944 
publication 	 3407.2397595127013 1.032182315522944 
designed 	 2004.8568132914602 1.032182315522944 
deliver 	 4284.345725661422 1.032182315522944 
accurate 	 3804.789509370038 1.032182315522944 
date 	 2639.1618710931734 1.032182315522944 
information 	 176.2628024093931 1.6841701948025898 
public 	 228.89197077718705 1.6841701948025898 
issues 	 184.19177910203865 1.790181310003818 
affecting 	 1488.5206399049694 1.3616362185595414 
civil 	 1811.4136415330745 1.032182315522944 
liberties 	 3905.9136101424265 1.032182315522944 
online 	 347.5715130439664 1.828547657411178 
cdt's 	 2806.7636176175038 1.3616362185595414 
leading 	 1635.3034106728835 1.032182315522944 
resource 	 2933.729143623948 1.032182315522944 
makers 	 3475.715130439664 1.032182315522944 
press 	 1726.4883286914521 1.032182315522944 
industry 	 418.3568181154341 1.6202065066314657 
representatives 	 925.4185060644868 1.5237544992472754 
students 	 2639.1618710931734 1.032182315522944 
legal 	 905.7068207665372 1.3616362185595414 
internet 	 137.29026876473407 1.790181310003818 
interactive 	 951.1973773425095 1.6202065066314657 
media 	 306.25498627831064 1.5237544992472754 
volume 	 579.2858550732774 1.7296942787277276 
post 	 29.5376885109501 1.9739318065138578 
pp_3 	 6348.95639380911 1.032182315522944 
january 	 492.3834974531108 1.6841701948025898 
fbi 	 612.0493893802031 1.7637479328077328 
scaled 	 6348.95639380911 1.032182315522944 
surveillance 	 828.5337836173605 1.6841701948025898 
capacity 	 733.432285905987 1.6202065066314657 
notice 	 1074.968878971172 1.5237544992472754 
cost 	 2156.686808394215 1.032182315522944 
capability 	 3282.271958681278 1.032182315522944 
remain 	 1335.9053004692996 1.3616362185595414 
tuesday 	 5183.328755532245 1.032182315522944 
issued 	 2977.0412798099387 1.032182315522944 
revised 	 2439.0490383304527 1.3616362185595414 
proposed 	 1288.3660502844207 1.3616362185595414 
required 	 2198.299985049846 1.032182315522944 
communications 	 189.43826000719298 1.7296942787277276 
assistance 	 2576.7321005688414 1.032182315522944 
law 	 221.86618847750887 1.6202065066314657 
enforcement 	 1488.5206399049694 1.3616362185595414 
act 	 276.6259203377853 1.7637479328077328 
calea 	 6348.95639380911 1.032182315522944 
digital 	 1737.857565219832 1.3616362185595414 
telephony 	 1428.1152418871407 1.5237544992472754 
details 	 2813.487408513218 1.032182315522944 
projected 	 4142.668918086803 1.032182315522944 
increases 	 3224.9066369135157 1.032182315522944 
wiretapping 	 5613.5272352350075 1.032182315522944 
electronic 	 1488.5206399049694 1.3616362185595414 
activity 	 2136.476673530308 1.032182315522944 
coming 	 3224.9066369135157 1.032182315522944 
pp_2 	 181.3987541088317 1.9478183803575597 
november 	 509.36856002143526 1.6841701948025898 
president 	 898.3894633753331 1.3616362185595414 
takes 	 2639.1618710931734 1.032182315522944 
steps 	 2892.115966968317 1.032182315522944 
clipper 	 2806.7636176175038 1.3616362185595414 
privacy 	 267.3627023415126 1.8654518210306734 
wrap 	 5183.328755532245 1.032182315522944 
october 	 457.3535744268358 1.6841701948025898 
congress 	 487.0110585988445 1.6841701948025898 
promises 	 3627.5451255424186 1.032182315522944 
action 	 2136.476673530308 1.032182315522944 
encryption 	 1219.5245191652264 1.6202065066314657 
admin 	 2591.6643777661225 1.3616362185595414 
crypto 	 561.3527235235007 1.828547657411178 
pushes 	 4878.0980766609055 1.032182315522944 
key 	 464.1423481078542 1.6202065066314657 
escrow 	 1871.175745078336 1.5237544992472754 
september 	 503.55449769871734 1.6841701948025898 
house 	 271.9618160741531 1.7637479328077328 
judiciary 	 2439.0490383304527 1.3616362185595414 
comm 	 3174.478196904555 1.3616362185595414 
holds 	 3407.2397595127013 1.032182315522944 
hearing 	 613.8720701591872 1.6841701948025898 
bill 	 297.91111610130696 1.790181310003818 
ftc 	 2591.6643777661225 1.3616362185595414 
recommends 	 5183.328755532245 1.032182315522944 
changes 	 877.0241598826559 1.3616362185595414 
protect 	 2383.2889288104557 1.032182315522944 
personal 	 1517.2930118209351 1.032182315522944 
info 	 2198.299985049846 1.032182315522944 
demands 	 3282.271958681278 1.032182315522944 
rejected 	 3407.2397595127013 1.032182315522944 
grounds 	 4142.668918086803 1.032182315522944 
join 	 555.251103638692 1.6841701948025898 
rep 	 4641.342768716529 1.032182315522944 
eshoo 	 6348.95639380911 1.032182315522944 
tues 	 6348.95639380911 1.032182315522944 
edt 	 2591.6643777661225 1.3616362185595414 
august 	 820.6391624218514 1.5237544992472754 
health 	 424.9065336050302 1.6202065066314657 
provisions 	 3407.2397595127013 1.032182315522944 
pose 	 4142.668918086803 1.032182315522944 
risks 	 3282.271958681278 1.032182315522944 
clinton 	 595.4082559619877 1.6841701948025898 
administration 	 603.8045471776916 1.5237544992472754 
propose 	 5183.328755532245 1.032182315522944 
sweeping 	 1547.114256238843 1.5237544992472754 
anti 	 1029.6394993183258 1.3616362185595414 
terrorism 	 1856.2352191920204 1.3616362185595414 
