term 	 tf-idf weight 	 BM25 ranking 
 images 	 1830.1428833102123 1.082025651833564 
psp2 	 11489.157658919406 0.7416279396105556 
gif 	 331.7583468993069 1.082025651833564 
instructortitle 	 11489.157658919406 0.7416279396105556 
programs 	 1562.1383558376947 1.082025651833564 
aboutourprograms 	 11489.157658919406 0.7416279396105556 
html 	 94.30783204232009 1.6500339755009092 
class 	 3902.7697192430655 0.7416279396105556 
schedule 	 7068.194280370838 0.7416279396105556 
classschedule 	 11489.157658919406 0.7416279396105556 
instructors 	 5744.578829459703 1.082025651833564 
mailing 	 7753.010172733204 0.7416279396105556 
list 	 4406.509107020648 0.7416279396105556 
mailinglist 	 11489.157658919406 0.7416279396105556 
maps 	 3359.068445663223 1.082025651833564 
registration 	 7068.194280370838 0.7416279396105556 
info 	 3978.0734884973654 0.7416279396105556 
http 	 842.4169655186457 0.7416279396105556 
www 	 834.9315759205837 0.7416279396105556 
ccecs 	 3386.105024081437 1.2774736602636105 
arthum 	 10158.315072244312 0.7416279396105556 
hawaii 	 7753.010172733204 0.7416279396105556 
edu 	 2099.6873327336384 0.7416279396105556 
osa 	 10158.315072244312 0.7416279396105556 
home 	 857.4758662438154 0.7416279396105556 
noncreditreginfo 	 11489.157658919406 0.7416279396105556 
search 	 1164.7215899726646 1.082025651833564 
call 	 3628.016099452972 0.7416279396105556 
whotocall 	 11489.157658919406 0.7416279396105556 
almar 	 11489.157658919406 0.7416279396105556 
arcano 	 11489.157658919406 0.7416279396105556 
executive 	 768.1335495139457 1.5590955628438057 
chef 	 1044.4688780835822 1.732724145608957 
hy's 	 11489.157658919406 0.7416279396105556 
steak 	 11489.157658919406 0.7416279396105556 
house 	 3445.0205542286685 0.7416279396105556 
returned 	 6289.701272803162 0.7416279396105556 
studying 	 3534.097140185419 1.082025651833564 
europe 	 1313.3508146962333 1.2774736602636105 
culinary 	 2872.2894147298516 1.404304537426343 
institute 	 985.013111022175 1.404304537426343 
america 	 1253.4941375693063 1.2774736602636105 
eager 	 8827.472485569217 0.7416279396105556 
share 	 4718.545451656376 0.7416279396105556 
ideas 	 3902.7697192430655 0.7416279396105556 
techniques 	 957.5770723789997 1.404304537426343 
mary 	 3635.243235216932 1.082025651833564 
