term 	 tf-idf weight 	 BM25 ranking 
 college 	 172.49672588529126 1.8858392043230356 
continuing 	 184.134809905776 1.8858392043230356 
education 	 49.598405953623406 1.9224166398612348 
community 	 105.57802415748587 1.8858392043230356 
service 	 103.98492909923355 1.8858392043230356 
images 	 11.871665483593706 1.9890537299864381 
ccecsheader 	 819.7992704541451 1.784007354766202 
gif 	 2.152030943428269 1.9890537299864381 
dot 	 80.53756741304807 1.9734523274058384 
dean's 	 819.7992704541451 1.784007354766202 
message 	 439.95461550729505 1.784007354766202 
deansmessage 	 819.7992704541451 1.784007354766202 
welcome 	 396.32645434405583 1.784007354766202 
html 	 5.383405412415771 1.9760753374598525 
ccecs 	 241.6127022391442 1.9224166398612348 
aboutccecs 	 409.89963522707257 1.8858392043230356 
student 	 321.4499665716302 1.784007354766202 
services 	 193.06386639918162 1.784007354766202 
studentservices 	 819.7992704541451 1.784007354766202 
osa 	 724.8381067174327 1.784007354766202 
home 	 8.740639410372227 1.9659962381982614 
departments 	 479.36705943318907 1.784007354766202 
ccecsdept 	 819.7992704541451 1.784007354766202 
center 	 106.38868450630555 1.8858392043230356 
labor 	 295.275399135139 1.784007354766202 
research 	 157.2286492017926 1.784007354766202 
clearhome 	 819.7992704541451 1.784007354766202 
conference 	 307.73853274932367 1.784007354766202 
extended 	 201.34984824301807 1.8858392043230356 
program 	 80.82419366284446 1.8858392043230356 
professional 	 275.8692782975044 1.784007354766202 
special 	 226.48880283491775 1.784007354766202 
programs 	 222.930161197671 1.784007354766202 
psp 	 409.89963522707257 1.8858392043230356 
business 	 124.50045776711082 1.784007354766202 
management 	 228.30339889967055 1.784007354766202 
sbmp 	 409.89963522707257 1.8858392043230356 
web 	 281.13915877091245 1.784007354766202 
pages 	 159.420695966255 1.784007354766202 
netscape 	 287.1641115849508 1.8858392043230356 
enhanced 	 518.779503359083 1.784007354766202 
netscapeenhanced 	 819.7992704541451 1.784007354766202 
http 	 60.10996056044503 1.784007354766202 
com 	 66.12689560951748 1.784007354766202 
comprod 	 819.7992704541451 1.784007354766202 
mirror 	 534.9157792440076 1.784007354766202 
index 	 59.57584682349998 1.784007354766202 
comments 	 155.07112429715752 1.784007354766202 
questions 	 221.18491466616317 1.784007354766202 
mailto 	 99.52240448633903 1.784007354766202 
gsong 	 819.7992704541451 1.784007354766202 
serv1 	 819.7992704541451 1.784007354766202 
arthum 	 724.8381067174327 1.784007354766202 
hawaii 	 553.2095800335671 1.784007354766202 
edu 	 149.82143988776483 1.784007354766202 
revision 	 491.28761808076837 1.784007354766202 
ccecsaddress 	 819.7992704541451 1.784007354766202 
