term 	 tf-idf weight 	 BM25 ranking 
 william 	 110.27845568515782 1.9202417667438216 
puette 	 281.245005192298 1.9202417667438216 
imbars 	 56.249001038459596 1.983522672331309 
billnam1 	 281.245005192298 1.9202417667438216 
gif 	 2.7070559556019833 1.986250013356477 
blcrest 	 140.622502596149 1.9593095334411348 
images 	 44.800372664364566 1.9593095334411348 
puette2 	 281.245005192298 1.9202417667438216 
jpg 	 31.15784830351584 1.9794456754566998 
swash1 	 281.245005192298 1.9202417667438216 
red 	 119.84760658149607 1.9202417667438216 
horse 	 216.0891702196631 1.9202417667438216 
mustang 	 281.245005192298 1.9202417667438216 
poems 	 177.97545005749564 1.9202417667438216 
icons 	 47.61879105715842 1.972687797919858 
shiji2 	 281.245005192298 1.9202417667438216 
poesis 	 281.245005192298 1.9202417667438216 
html 	 4.61715427707192 1.9794456754566998 
puette's 	 281.245005192298 1.9202417667438216 
law 	 39.31276478206566 1.9202417667438216 
lawgavel 	 281.245005192298 1.9202417667438216 
mylaw 	 281.245005192298 1.9202417667438216 
main 	 84.33123231705595 1.9202417667438216 
squeeze 	 248.66708770598052 1.9202417667438216 
guitar2 	 281.245005192298 1.9202417667438216 
guitar 	 248.66708770598052 1.9202417667438216 
arrow 	 281.245005192298 1.9202417667438216 
button 	 56.23289328154178 1.9202417667438216 
