term 	 tf-idf weight 	 BM25 ranking 
 ibm 	 110.98162725512805 1.9385405656593881 
software 	 89.47647369415148 1.9451822211594925 
servers 	 156.9351289610796 1.9385405656593881 
icsurmst 	 572.4632375190746 1.8440931317044202 
html 	 16.11092130722968 1.930067646673412 
toc_4 	 1717.3897125572237 1.595364801684752 
chapter 	 370.6230320100925 1.7749128555045985 
introducing 	 1120.5899900951108 1.595364801684752 
ibm's 	 1518.4564717365195 1.595364801684752 
toc_5 	 1717.3897125572237 1.595364801684752 
congratulations 	 1717.3897125572237 1.595364801684752 
choosing 	 1056.5477908679325 1.595364801684752 
internet 	 59.419124803737866 1.9034451666865104 
connection 	 210.9029432326503 1.8807457797775764 
secure 	 147.9755030068374 1.9188849682075975 
server 	 74.70599933967405 1.9667447367626094 
warp 	 701.0439928547381 1.7749128555045985 
significant 	 612.3973508664368 1.595364801684752 
enhancements 	 1518.4564717365195 1.595364801684752 
network 	 356.9460212081719 1.7749128555045985 
easy 	 264.5241169400167 1.8440931317044202 
path 	 1056.5477908679325 1.595364801684752 
versatile 	 1319.523230915815 1.595364801684752 
client 	 452.1287414065448 1.7749128555045985 
networks 	 334.74050135602255 1.8440931317044202 
family 	 122.49663409990396 1.8807457797775764 
lotus 	 467.36266190315877 1.8440931317044202 
products 	 322.3392660549485 1.7749128555045985 
help 	 494.00058784636616 1.595364801684752 
quickly 	 443.9265090205122 1.7749128555045985 
install 	 659.7616154579075 1.7749128555045985 
multi 	 857.6145500472282 1.595364801684752 
functional 	 1158.9134997783488 1.595364801684752 
compatible 	 1319.523230915815 1.595364801684752 
cover 	 681.0562716283313 1.595364801684752 
broad 	 741.246064020185 1.595364801684752 
range 	 651.5945294130873 1.595364801684752 
entry 	 981.2492469657626 1.595364801684752 
level 	 425.9443371724376 1.595364801684752 
database 	 1120.5899900951108 1.595364801684752 
comprehensive 	 322.3392660549485 1.7749128555045985 
systems 	 113.16532214809575 1.8807457797775764 
management 	 239.13531198615127 1.7749128555045985 
sophisticated 	 981.2492469657626 1.595364801684752 
technology 	 268.78445676974167 1.7749128555045985 
fingertips 	 1717.3897125572237 1.595364801684752 
enables 	 1029.1937692640913 1.595364801684752 
doing 	 713.8920424163438 1.595364801684752 
guaranteed 	 1029.1937692640913 1.595364801684752 
transaction 	 1203.1547448887718 1.595364801684752 
processing 	 817.5028725855576 1.595364801684752 
workgroup 	 1518.4564717365195 1.595364801684752 
functions 	 356.9460212081719 1.7749128555045985 
notes 	 506.39100117168095 1.595364801684752 
designed 	 271.15641159974035 1.7749128555045985 
satisfy 	 1319.523230915815 1.595364801684752 
adding 	 843.6117729306012 1.595364801684752 
value 	 542.3128231994807 1.595364801684752 
existing 	 741.246064020185 1.595364801684752 
environments 	 543.3931294308644 1.7749128555045985 
reliable 	 940.1793048408894 1.595364801684752 
environment 	 174.59675587766594 1.8440931317044202 
build 	 887.8530180410244 1.595364801684752 
business 	 86.93827586170512 1.8440931317044202 
critical 	 562.1137773162358 1.595364801684752 
solutions 	 396.786175410025 1.7749128555045985 
performance 	 644.678532109897 1.595364801684752 
availability 	 1029.1937692640913 1.595364801684752 
require 	 782.3160061450584 1.595364801684752 
compatibility 	 1717.3897125572237 1.595364801684752 
popular 	 651.5945294130873 1.595364801684752 
clients 	 771.4845320139812 1.595364801684752 
windows 	 257.29844231602283 1.8807457797775764 
macintosh 	 1319.523230915815 1.595364801684752 
unix 	 858.6948562786118 1.7749128555045985 
netware 	 1717.3897125572237 1.595364801684752 
aix 	 1518.4564717365195 1.595364801684752 
built 	 380.52350906847005 1.7749128555045985 
system 	 154.7879255726972 1.7749128555045985 
services 	 404.44766172675276 1.595364801684752 
enable 	 1029.1937692640913 1.595364801684752 
mobile 	 1086.7862588617288 1.595364801684752 
remote 	 940.1793048408894 1.595364801684752 
users 	 857.6145500472282 1.595364801684752 
securely 	 1717.3897125572237 1.595364801684752 
access 	 618.5696317648533 1.595364801684752 
update 	 904.2574828130896 1.595364801684752 
data 	 482.12303080762695 1.595364801684752 
regardless 	 887.8530180410244 1.595364801684752 
growth 	 528.3100460828538 1.595364801684752 
departmental 	 1518.4564717365195 1.595364801684752 
largest 	 722.7235084537022 1.595364801684752 
modern 	 482.12303080762695 1.595364801684752 
enterprise 	 959.9802589576444 1.595364801684752 
powerful 	 857.6145500472282 1.595364801684752 
look 	 459.74806840581965 1.595364801684752 
workgroups 	 1717.3897125572237 1.595364801684752 
interconnected 	 1518.4564717365195 1.595364801684752 
combine 	 1056.5477908679325 1.595364801684752 
integrated 	 327.08308232192087 1.8440931317044202 
support 	 398.59031556859634 1.595364801684752 
applications 	 336.70124235787546 1.7749128555045985 
lay 	 1029.1937692640913 1.595364801684752 
foundation 	 731.8353848699867 1.595364801684752 
future 	 435.6740825033581 1.595364801684752 
suppliers 	 627.7405158443185 1.7749128555045985 
information 	 47.67900498727221 1.9034451666865104 
rom 	 1319.523230915815 1.595364801684752 
available 	 449.1824581196 1.595364801684752 
product 	 370.6230320100925 1.7749128555045985 
tells 	 981.2492469657626 1.595364801684752 
book 	 463.3581788991885 1.595364801684752 
describes 	 577.9159333677648 1.595364801684752 
host 	 1158.9134997783488 1.595364801684752 
manage 	 1029.1937692640913 1.595364801684752 
hypertext 	 1717.3897125572237 1.595364801684752 
markup 	 1717.3897125572237 1.595364801684752 
language 	 618.5696317648533 1.595364801684752 
home 	 128.17477792290367 1.595364801684752 
pages 	 333.96890322857803 1.595364801684752 
documents 	 713.8920424163438 1.595364801684752 
distribute 	 1203.1547448887718 1.595364801684752 
wealth 	 940.1793048408894 1.595364801684752 
world 	 318.20808079849314 1.595364801684752 
company 	 532.9021440492824 1.595364801684752 
text 	 750.9758093511057 1.595364801684752 
quality 	 624.8775779931419 1.595364801684752 
graphics 	 872.3357255364552 1.595364801684752 
audio 	 1120.5899900951108 1.595364801684752 
video 	 921.6567492744065 1.595364801684752 
publish 	 560.2949950475554 1.7749128555045985 
presales 	 1717.3897125572237 1.595364801684752 
postsales 	 1717.3897125572237 1.595364801684752 
revise 	 1518.4564717365195 1.595364801684752 
easily 	 872.3357255364552 1.595364801684752 
create 	 612.3973508664368 1.595364801684752 
audience 	 514.5968846320457 1.7749128555045985 
interact 	 1086.7862588617288 1.595364801684752 
electronic 	 805.2882632473633 1.595364801684752 
forms 	 519.3405660971758 1.595364801684752 
mail 	 506.39100117168095 1.595364801684752 
dynamically 	 1402.0879857094762 1.595364801684752 
track 	 959.9802589576444 1.595364801684752 
customers 	 981.2492469657626 1.595364801684752 
personnel 	 673.4024847157509 1.595364801684752 
tell 	 872.3357255364552 1.595364801684752 
reaching 	 904.2574828130896 1.595364801684752 
addition 	 637.9252793531712 1.595364801684752 
offers 	 594.6391099993457 1.595364801684752 
sockets 	 1518.4564717365195 1.595364801684752 
layer 	 1158.9134997783488 1.595364801684752 
ssl 	 1717.3897125572237 1.595364801684752 
protocol 	 1402.0879857094762 1.595364801684752 
transactions 	 1004.2215040680676 1.595364801684752 
installed 	 1402.0879857094762 1.595364801684752 
currently 	 606.3550224266589 1.595364801684752 
supported 	 872.3357255364552 1.595364801684752 
releases 	 1120.5899900951108 1.595364801684752 
preferred 	 1120.5899900951108 1.595364801684752 
operating 	 750.9758093511057 1.595364801684752 
base 	 782.3160061450584 1.595364801684752 
providing 	 588.9557559653422 1.595364801684752 
simplified 	 1717.3897125572237 1.595364801684752 
installation 	 1004.2215040680676 1.595364801684752 
complete 	 637.9252793531712 1.595364801684752 
application 	 494.00058784636616 1.595364801684752 
personal 	 410.4270446678684 1.595364801684752 
computer 	 665.9475201180152 1.595364801684752 
deployed 	 1120.5899900951108 1.595364801684752 
learn 	 782.3160061450584 1.595364801684752 
refer 	 1004.2215040680676 1.595364801684752 
installing 	 1402.0879857094762 1.595364801684752 
icsur006 	 1717.3897125572237 1.595364801684752 
hdrins 	 1717.3897125572237 1.595364801684752 
top 	 268.0810384766065 1.595364801684752 
page 	 46.96035943949541 1.8440931317044202 
previous 	 651.5945294130873 1.595364801684752 
icsur002 	 1717.3897125572237 1.595364801684752 
icsur004 	 1717.3897125572237 1.595364801684752 
table 	 940.1793048408894 1.595364801684752 
contents 	 705.3242419923854 1.595364801684752 
toc 	 1402.0879857094762 1.595364801684752 
