term 	 tf-idf weight 	 BM25 ranking 
 welcome 	 558.3285086744728 1.7085828495144064 
icswgmst 	 461.9598808690511 1.8722659740467587 
html 	 15.16784298680648 1.9340262126572099 
toc_1 	 2309.7994043452554 1.4912892217397655 
book 	 311.5962666464926 1.7085828495144064 
describes 	 777.2667257141366 1.4912892217397655 
ibm 	 238.8231811594672 1.8722659740467587 
internet 	 44.39756518436472 1.9269634860324971 
connection 	 141.82671792300178 1.918207287697467 
server 	 45.670756644146635 1.9795374924755467 
secure 	 199.0193176328893 1.8924097335483614 
warp 	 1885.7350609193652 1.4912892217397655 
brief 	 749.1816149611192 1.4912892217397655 
overview 	 334.94012045710144 1.7085828495144064 
software 	 1083.0706258309485 1.4912892217397655 
servers 	 1688.5563701456929 1.4912892217397655 
extensive 	 1067.31333594613 1.4912892217397655 
provides 	 343.3940266301713 1.7085828495144064 
planning 	 915.9850900645848 1.4912892217397655 
installing 	 1885.7350609193652 1.4912892217397655 
information 	 40.0786061086391 1.918207287697467 
note 	 1052.1741406689634 1.4912892217397655 
mean 	 597.057952898668 1.7085828495144064 
road 	 511.7842317088134 1.7085828495144064 
map 	 511.7842317088134 1.7085828495144064 
toc_2 	 2309.7994043452554 1.4912892217397655 
table 	 632.2460133599012 1.7085828495144064 
refer 	 1350.6254375270876 1.4912892217397655 
read 	 1052.1741406689634 1.4912892217397655 
running 	 180.64171810282892 1.907065568739895 
plan 	 698.4859181655396 1.4912892217397655 
install 	 591.5632603176592 1.7958042069860594 
response 	 280.14256109797066 1.7958042069860594 
file 	 180.51177097182475 1.8924097335483614 
rom 	 1774.6897809529778 1.4912892217397655 
remote 	 1264.4920267198024 1.4912892217397655 
code 	 867.0589316878754 1.4912892217397655 
automatically 	 1291.1232751137657 1.4912892217397655 
systemview 	 2309.7994043452554 1.4912892217397655 
start 	 416.3633398680217 1.4912892217397655 
appropriate 	 92.65610941011971 1.9340262126572099 
section 	 98.4280343413989 1.9340262126572099 
built 	 1023.5684634176268 1.4912892217397655 
forms 	 698.4859181655396 1.4912892217397655 
configure 	 577.4498510863139 1.8428417741705563 
configuration 	 591.5632603176592 1.7958042069860594 
change 	 309.1685616805686 1.7085828495144064 
directives 	 1021.1222963245583 1.7085828495144064 
commands 	 1421.0015584495538 1.4912892217397655 
view 	 316.54525575486673 1.7085828495144064 
online 	 1264.4920267198024 1.4912892217397655 
documentation 	 692.1059145225423 1.7085828495144064 
print 	 1134.6137433840142 1.4912892217397655 
copies 	 1350.6254375270876 1.4912892217397655 
protect 	 867.0589316878754 1.4912892217397655 
unwanted 	 1885.7350609193652 1.4912892217397655 
access 	 207.98595632511618 1.8428417741705563 
security 	 669.8802409142029 1.4912892217397655 
functions 	 960.1474856191941 1.4912892217397655 
communications 	 413.5146184511394 1.4912892217397655 
write 	 196.15483224320616 1.8428417741705563 
programs 	 157.02744931076828 1.8428417741705563 
interface 	 519.5593622699681 1.7958042069860594 
web 	 264.03823670455523 1.7958042069860594 
programming 	 1264.4920267198024 1.4912892217397655 
guide 	 1099.4986369966036 1.4912892217397655 
side 	 424.55110282640334 1.7085828495144064 
includes 	 264.18144242226464 1.7085828495144064 
imbed 	 2309.7994043452554 1.4912892217397655 
files 	 586.6229791935048 1.7085828495144064 
multiple 	 288.36168668835376 1.8428417741705563 
addresses 	 366.4995456655345 1.7958042069860594 
manage 	 1384.2118290450846 1.4912892217397655 
customize 	 680.7481975497055 1.7958042069860594 
error 	 430.37442503792187 1.7958042069860594 
messages 	 461.4039430150282 1.7958042069860594 
review 	 520.7940148886161 1.4912892217397655 
style 	 948.6242418434173 1.4912892217397655 
