term 	 tf-idf weight 	 BM25 ranking 
 amnesty 	 330.13392390240693 1.8698682344983675 
international 	 212.50014856206485 1.7556362144179616 
irish 	 1076.9808808160808 1.5644845329409613 
section 	 803.2339590036439 1.5644845329409613 
turkey 	 188.26715291416306 1.9113221896622328 
security 	 182.2213090569723 1.8301742664208671 
human 	 44.13679842018321 1.9506353885309335 
rights 	 26.383863001179133 1.9506353885309335 
custody 	 1271.9782314640413 1.5644845329409613 
time 	 300.35198317784784 1.5644845329409613 
kill 	 1192.814186555556 1.5644845329409613 
body 	 336.07171693889825 1.7556362144179616 
ali 	 206.8938863805285 1.9235059249189137 
ekber 	 269.2771326309236 1.9235059249189137 
kaya 	 238.08550950572604 1.9235059249189137 
pix 	 833.2992832700411 1.7556362144179616 
alik 	 1884.9399284164651 1.5644845329409613 
jpg 	 417.64775385563786 1.7556362144179616 
courageous 	 1538.8770574860105 1.5644845329409613 
people 	 123.03395215805114 1.8301742664208671 
personal 	 450.4687075622946 1.5644845329409613 
risk 	 373.75039296676715 1.7556362144179616 
spoken 	 1229.9158427873167 1.5644845329409613 
defence 	 1538.8770574860105 1.5644845329409613 
civil 	 537.7901009264076 1.5644845329409613 
servant 	 1448.2572046636994 1.5644845329409613 
father 	 974.4728246791731 1.5644845329409613 
president 	 533.4452044547218 1.5644845329409613 
tunceli 	 628.3133094721551 1.8301742664208671 
branch 	 210.7273739175317 1.8945219835484488 
association 	 611.3787790485817 1.5644845329409613 
hra 	 628.3133094721551 1.8301742664208671 
politically 	 1229.9158427873167 1.5644845329409613 
independent 	 595.2213913165033 1.5644845329409613 
organisation 	 660.2678478048139 1.7556362144179616 
founded 	 1076.9808808160808 1.5644845329409613 
outspokenly 	 1884.9399284164651 1.5644845329409613 
condemned 	 1377.9669859997234 1.5644845329409613 
violations 	 957.4416499790362 1.5644845329409613 
closed 	 496.2388625193784 1.7556362144179616 
result 	 565.1986846781409 1.5644845329409613 
threats 	 343.96803835642294 1.8301742664208671 
harassment 	 564.8014587424892 1.7556362144179616 
march 	 685.8412441388143 1.5644845329409613 
detained 	 1229.9158427873167 1.5644845329409613 
anti 	 611.3787790485817 1.5644845329409613 
terror 	 1076.9808808160808 1.5644845329409613 
police 	 193.53409079059355 1.8698682344983675 
headquarters 	 1129.6029174849784 1.5644845329409613 
suspicion 	 1271.9782314640413 1.5644845329409613 
links 	 1031.9041150692688 1.5644845329409613 
illegal 	 858.6395189396982 1.5644845329409613 
torture 	 196.85242657138906 1.9235059249189137 
guess 	 1666.5985665400822 1.5644845329409613 
officers 	 423.3756578125506 1.7556362144179616 
sit 	 1271.9782314640413 1.5644845329409613 
tied 	 1192.814186555556 1.5644845329409613 
arms 	 538.4904404080404 1.7556362144179616 
legs 	 1320.5356956096277 1.5644845329409613 
hosed 	 1884.9399284164651 1.5644845329409613 
cold 	 941.2842622469578 1.5644845329409613 
pressurised 	 1884.9399284164651 1.5644845329409613 
water 	 365.4590049428132 1.7556362144179616 
jet 	 925.9153605335867 1.5644845329409613 
particularly 	 560.4617533083107 1.5644845329409613 
sensitive 	 974.4728246791731 1.5644845329409613 
kidneys 	 1666.5985665400822 1.5644845329409613 
genitals 	 833.2992832700411 1.7556362144179616 
rectum 	 1884.9399284164651 1.5644845329409613 
lifted 	 1538.8770574860105 1.5644845329409613 
weight 	 1031.9041150692688 1.5644845329409613 
hung 	 1448.2572046636994 1.5644845329409613 
hanging 	 1666.5985665400822 1.5644845329409613 
air 	 765.0052890472997 1.5644845329409613 
electric 	 974.4728246791731 1.5644845329409613 
shocks 	 1538.8770574860105 1.5644845329409613 
fingers 	 1538.8770574860105 1.5644845329409613 
due 	 605.900380094343 1.5644845329409613 
hard 	 858.6395189396982 1.5644845329409613 
beating 	 1538.8770574860105 1.5644845329409613 
ribs 	 942.4699642082326 1.7556362144179616 
broken 	 538.4904404080404 1.7556362144179616 
released 	 448.6296251993914 1.7556362144179616 
visited 	 1076.9808808160808 1.5644845329409613 
doctor 	 1011.5744809109339 1.5644845329409613 
