term 	 tf-idf weight 	 BM25 ranking 
 menu 	 209.94177785395144 1.8992918296163195 
image 	 46.53126027749708 1.9555606687665381 
gif 	 10.36744834060334 1.9483454048662012 
index 	 39.13741762127736 1.85264764104256 
html 	 5.440836463980005 1.9758231905877577 
lynden 	 79.9416653239486 1.9714900688012544 
information 	 74.75802175704702 1.85264764104256 
tribune 	 196.85242657138906 1.9235059249189137 
flag 	 681.6081066031749 1.7255180625708193 
top 	 28.0224082031296 1.9483454048662012 
bkbut 	 952.3420380229041 1.7255180625708193 
commun 	 275.858515174038 1.8992918296163195 
return 	 273.2450691658692 1.7255180625708193 
community 	 138.71565217771865 1.85264764104256 
info 	 186.472194773314 1.85264764104256 
whatcom 	 317.44734600763474 1.8992918296163195 
county's 	 952.3420380229041 1.7255180625708193 
hub 	 538.5542652618471 1.85264764104256 
city 	 99.9868900290528 1.8992918296163195 
holland 	 726.8447036937379 1.7255180625708193 
race 	 152.99694457212263 1.8992918296163195 
jpeg 	 681.6081066031749 1.7255180625708193 
north 	 79.39928589799877 1.9235059249189137 
county 	 213.57165312386692 1.85264764104256 
located 	 477.31171869215757 1.7255180625708193 
miles 	 547.109514273735 1.7255180625708193 
bellingham 	 1077.1085305236943 1.7255180625708193 
south 	 320.2638590333204 1.7255180625708193 
interstate 	 754.5918260626444 1.7255180625708193 
exit 	 393.7048531427781 1.85264764104256 
head 	 200.0462548494265 1.85264764104256 
route 	 662.6432137847661 1.7255180625708193 
east 	 355.78855718184946 1.7255180625708193 
birch 	 879.3583185634345 1.7255180625708193 
bay 	 520.7208889191975 1.7255180625708193 
road 	 477.31171869215757 1.7255180625708193 
dutch 	 787.4097062855562 1.7255180625708193 
culture 	 352.5452261913674 1.7255180625708193 
influences 	 422.34302177294484 1.7255180625708193 
town's 	 952.3420380229041 1.7255180625708193 
shops 	 787.4097062855562 1.7255180625708193 
churches 	 754.5918260626444 1.7255180625708193 
town 	 497.7108820474182 1.7255180625708193 
attracts 	 1077.1085305236943 1.7255180625708193 
tourists 	 827.575545522114 1.7255180625708193 
serves 	 537.8767212839759 1.7255180625708193 
surrounding 	 447.7371694597278 1.7255180625708193 
rural 	 702.8090530213238 1.7255180625708193 
residents 	 537.8767212839759 1.7255180625708193 
counties 	 726.8447036937379 1.7255180625708193 
united 	 248.17789704583785 1.7255180625708193 
milk 	 702.8090530213238 1.7255180625708193 
raspberry 	 1077.1085305236943 1.7255180625708193 
production 	 395.95439641840727 1.7255180625708193 
due 	 346.22878862533884 1.7255180625708193 
farms 	 787.4097062855562 1.7255180625708193 
northwest 	 702.8090530213238 1.7255180625708193 
washington 	 190.14617428013696 1.85264764104256 
fair 	 505.0588410610641 1.7255180625708193 
august 	 417.6674342203579 1.7255180625708193 
draws 	 629.8253335618542 1.7255180625708193 
people 	 210.9153465566591 1.7255180625708193 
population 	 372.944389546628 1.7255180625708193 
increase 	 376.5808768637815 1.7255180625708193 
hall 	 529.0944917334781 1.7255180625708193 
front 	 218.5729397277999 1.85264764104256 
mayor 	 645.4873814199876 1.7255180625708193 
jim 	 589.6594943252965 1.7255180625708193 
kaemingk 	 1077.1085305236943 1.7255180625708193 
administrator 	 629.8253335618542 1.7255180625708193 
stephan 	 1077.1085305236943 1.7255180625708193 
jilk 	 1077.1085305236943 1.7255180625708193 
chamber 	 827.575545522114 1.7255180625708193 
commerce 	 615.4176461806177 1.7255180625708193 
renee 	 952.3420380229041 1.7255180625708193 
reimer 	 1077.1085305236943 1.7255180625708193 
director 	 427.14330624773385 1.7255180625708193 
major 	 241.1181686782472 1.7255180625708193 
attractions 	 952.3420380229041 1.7255180625708193 
pioneer 	 754.5918260626444 1.7255180625708193 
museum 	 726.8447036937379 1.7255180625708193 
bender 	 827.575545522114 1.7255180625708193 
fields 	 589.6594943252965 1.7255180625708193 
softball 	 952.3420380229041 1.7255180625708193 
complex 	 408.6655585169189 1.7255180625708193 
homestead 	 787.4097062855562 1.7255180625708193 
golf 	 754.5918260626444 1.7255180625708193 
country 	 292.90094171956775 1.7255180625708193 
club 	 578.0425605205337 1.7255180625708193 
access 	 387.9530791556571 1.7255180625708193 
lummi 	 538.5542652618471 1.85264764104256 
island 	 529.0944917334781 1.7255180625708193 
line 	 292.90094171956775 1.7255180625708193 
civic 	 702.8090530213238 1.7255180625708193 
home 	 80.3883624603577 1.7255180625708193 
story 	 413.11022878318573 1.7255180625708193 
news 	 328.50957551895334 1.7255180625708193 
spotlight 	 754.5918260626444 1.7255180625708193 
spot 	 645.4873814199876 1.7255180625708193 
local 	 281.71722112030665 1.7255180625708193 
history 	 198.20418445814755 1.7255180625708193 
hist 	 827.575545522114 1.7255180625708193 
contact 	 290.6079170796304 1.7255180625708193 
cont 	 827.575545522114 1.7255180625708193 
subscribe 	 377.2959130313222 1.85264764104256 
copyright 	 140.3873268498711 1.7255180625708193 
mailto 	 130.7593635586936 1.7255180625708193 
lyndentrib 	 439.67915928171726 1.85264764104256 
nas 	 439.67915928171726 1.85264764104256 
com 	 43.4410263128217 1.85264764104256 
usa 	 387.9530791556571 1.7255180625708193 
