term 	 tf-idf weight 	 BM25 ranking 
 button 	 130.41245463166072 1.8242731516356245 
jpg 	 57.807752597161304 1.962197461980595 
direct 	 242.27824198430545 1.8242731516356245 
htm 	 11.918425366139905 1.9683983330491304 
foreign 	 41.36626741538853 1.9529690635710495 
currency 	 78.17569397197629 1.962197461980595 
draft 	 58.339480645127935 1.9683983330491304 
transfer 	 277.9444493060228 1.8242731516356245 
funds 	 274.48384118973354 1.8242731516356245 
canadian 	 160.19805444152533 1.9080992170816995 
full 	 187.6169479974004 1.8242731516356245 
range 	 247.4696993241342 1.8242731516356245 
currencies 	 501.1429692328357 1.8242731516356245 
money 	 41.19309946253895 1.962197461980595 
drafts 	 532.5003151300798 1.8242731516356245 
accepted 	 350.0368838707676 1.8242731516356245 
redemption 	 476.82032213958684 1.8242731516356245 
worldwide 	 320.39610888305066 1.8242731516356245 
issued 	 305.8411870869777 1.8242731516356245 
guaranteed 	 390.87846985988136 1.8242731516356245 
bank 	 109.74361800886125 1.9080992170816995 
america 	 213.48572030477249 1.8242731516356245 
prepaid 	 456.9472724490457 1.8242731516356245 
time 	 103.9313211631283 1.8242731516356245 
purchase 	 165.65260293288088 1.9080992170816995 
cashable 	 576.6960119138697 1.8242731516356245 
receipt 	 440.14484834787464 1.8242731516356245 
purchaser 	 501.1429692328357 1.8242731516356245 
responsible 	 242.27824198430545 1.8242731516356245 
delivering 	 456.9472724490457 1.8242731516356245 
recipient 	 412.75157566525587 1.8242731516356245 
service 	 82.73253483077706 1.9080992170816995 
charge 	 301.3915896842699 1.8242731516356245 
buy 	 343.42880009277616 1.8242731516356245 
waived 	 425.5899265518016 1.8242731516356245 
surrey 	 206.37578783262794 1.9080992170816995 
metro 	 190.69711488400588 1.9080992170816995 
savings 	 157.66271358942367 1.9080992170816995 
prestige 	 206.37578783262794 1.9080992170816995 
chequing 	 532.5003151300798 1.8242731516356245 
mcheq 	 532.5003151300798 1.8242731516356245 
account 	 209.66076644534405 1.8242731516356245 
holders 	 501.1429692328357 1.8242731516356245 
onsider 	 456.9472724490457 1.8242731516356245 
pay 	 237.3228432099389 1.8242731516356245 
dealer 	 501.1429692328357 1.8242731516356245 
country 	 177.36779248573825 1.8242731516356245 
accept 	 289.03876298580656 1.8242731516356245 
standard 	 232.58296600850738 1.8242731516356245 
cheque 	 532.5003151300798 1.8242731516356245 
cash 	 178.53579133738143 1.9080992170816995 
send 	 115.17840291276843 1.8242731516356245 
gift 	 401.26727945855276 1.8242731516356245 
friend 	 337.1985329842218 1.8242731516356245 
relative 	 264.7161158925577 1.8242731516356245 
overseas 	 401.26727945855276 1.8242731516356245 
worried 	 532.5003151300798 1.8242731516356245 
sending 	 364.59180566684057 1.8242731516356245 
travelers 	 532.5003151300798 1.8242731516356245 
cheques 	 532.5003151300798 1.8242731516356245 
traveler 	 250.57148461641785 1.9080992170816995 
morders 	 652.2490545949038 1.8242731516356245 
m_order 	 652.2490545949038 1.8242731516356245 
forn_cur 	 576.6960119138697 1.8242731516356245 
f_curr 	 576.6960119138697 1.8242731516356245 
accounts 	 331.30520586576176 1.8242731516356245 
services 	 153.60555793803502 1.8242731516356245 
as1 	 456.9472724490457 1.8242731516356245 
mcwhir 	 652.2490545949038 1.8242731516356245 
tels2 	 476.82032213958684 1.8242731516356245 
proth 	 652.2490545949038 1.8242731516356245 
tollfree 	 476.82032213958684 1.8242731516356245 
copyright 	 85.01232570353305 1.8242731516356245 
september 	 258.65900211668327 1.8242731516356245 
