term 	 tf-idf weight 	 BM25 ranking 
 launchspace 	 894.2413533558398 1.7066501534343945 
course 	 923.1041451687138 1.488346975050649 
catalog 	 510.0207965816356 1.488346975050649 
text2 	 2327.7512131873173 1.488346975050649 
gif 	 44.81041560549666 1.7943803536727685 
lslogo3 	 2327.7512131873173 1.488346975050649 
jpg 	 1031.5236587291627 1.488346975050649 
text 	 1017.8731353225787 1.488346975050649 
introduction 	 399.13552102877713 1.7066501534343945 
space 	 162.76662344445666 1.871337087699113 
technical 	 495.96509532129755 1.7066501534343945 
professionals 	 562.6678494154661 1.7066501534343945 
intro 	 1701.6798652504522 1.488346975050649 
html 	 4.24603549357205 1.9810821688358216 
kaplan 	 411.6233919898997 1.871337087699113 
dec 	 260.2315823933963 1.871337087699113 
washington 	 51.365876246509224 1.9579322737201132 
electromagnetic 	 1900.3910328954223 1.488346975050649 
environment 	 709.9456937604048 1.488346975050649 
effects 	 608.8222167544404 1.488346975050649 
testing 	 562.6678494154661 1.7066501534343945 
elecmag 	 2327.7512131873173 1.488346975050649 
violette 	 2327.7512131873173 1.488346975050649 
fundamentals 	 2058.1169599494983 1.488346975050649 
orbit 	 716.0228060063167 1.7066501534343945 
mechanics 	 1570.7921652048003 1.488346975050649 
orbitmch 	 2327.7512131873173 1.488346975050649 
kaufman 	 2058.1169599494983 1.488346975050649 
intellectual 	 1108.0439631908778 1.488346975050649 
property 	 883.1716792393414 1.488346975050649 
valuing 	 2327.7512131873173 1.488346975050649 
licensing 	 1432.0456120126335 1.488346975050649 
intprop 	 2327.7512131873173 1.488346975050649 
jarosz 	 2327.7512131873173 1.488346975050649 
goldscheider 	 2327.7512131873173 1.488346975050649 
remote 	 637.1598424792786 1.7066501534343945 
sensing 	 1570.7921652048003 1.488346975050649 
satellites 	 680.5612632098926 1.7066501534343945 
brodsky 	 2327.7512131873173 1.488346975050649 
cocoa 	 94.13066877429893 1.9644565014880087 
beach 	 68.48199536668324 1.9644565014880087 
ascent 	 950.1955164477112 1.7066501534343945 
trajectory 	 1788.4827067116796 1.488346975050649 
