term 	 tf-idf weight 	 BM25 ranking 
 dove 	 346.8580034333547 1.881918741896497 
peace 	 65.89863962143424 1.9510328665412393 
fly 	 537.7130618758379 1.7770033464925117 
gif 	 9.814517762437829 1.9510328665412393 
index 	 61.750147802459836 1.7770033464925117 
htm 	 46.58026794473027 1.881918741896497 
bwpeace1 	 849.718951857581 1.7770033464925117 
lines 	 172.42976356304214 1.881918741896497 
air_ 	 849.718951857581 1.7770033464925117 
award 	 431.6086168159465 1.7770033464925117 
winning 	 447.4026570015983 1.7770033464925117 
cable 	 174.2506228841422 1.919698817147936 
television 	 357.58445366001985 1.7770033464925117 
program 	 167.5479635054586 1.7770033464925117 
produced 	 188.27295570635104 1.881918741896497 
education 	 154.22570026455162 1.7770033464925117 
center 	 220.5429664218305 1.7770033464925117 
begun 	 621.1787682919388 1.7770033464925117 
season 	 496.862207587685 1.7770033464925117 
series 	 322.39171838556933 1.7770033464925117 
programs 	 38.511049744609835 1.959026860685948 
dealing 	 142.96875006658988 1.881918741896497 
issues 	 197.21193313846928 1.7770033464925117 
justice 	 151.49899620737636 1.881918741896497 
relate 	 522.7518686524265 1.7770033464925117 
lansing 	 212.42973796439526 1.9391634570661753 
community 	 218.86247343595613 1.7770033464925117 
fish2 	 849.718951857581 1.7770033464925117 
appear 	 404.4787731956418 1.7770033464925117 
channel 	 496.862207587685 1.7770033464925117 
thursday 	 595.2891072271972 1.7770033464925117 
east 	 140.33881977728507 1.881918741896497 
meridian 	 693.7160068667094 1.7770033464925117 
plans 	 123.21631374328602 1.881918741896497 
add 	 431.6086168159465 1.7770033464925117 
viewing 	 465.17582330106717 1.7770033464925117 
earth 	 392.63858472629653 1.7770033464925117 
btl 	 283.2396506191937 1.919698817147936 
grape 	 849.718951857581 1.7770033464925117 
boycott 	 621.1787682919388 1.7770033464925117 
mecha 	 849.718951857581 1.7770033464925117 
world 	 157.44093196301753 1.7770033464925117 
court 	 261.3938207099834 1.7770033464925117 
decision 	 252.65259990406386 1.7770033464925117 
legality 	 621.1787682919388 1.7770033464925117 
nuclear 	 353.21487812934083 1.7770033464925117 
weapons 	 474.97281105221435 1.7770033464925117 
michigan 	 447.4026570015983 1.7770033464925117 
faith 	 417.3967657008549 1.7770033464925117 
resistance 	 537.7130618758379 1.7770033464925117 
team 	 404.4787731956418 1.7770033464925117 
produce 	 417.3967657008549 1.7770033464925117 
civil 	 242.4323629573012 1.7770033464925117 
rights 	 130.83045716775175 1.7770033464925117 
michigan's 	 751.2920522180689 1.7770033464925117 
tuition 	 537.7130618758379 1.7770033464925117 
waver 	 849.718951857581 1.7770033464925117 
native 	 424.3249690129143 1.7770033464925117 
americans 	 387.06924345853065 1.7770033464925117 
suggestions 	 404.4787731956418 1.7770033464925117 
additional 	 353.21487812934083 1.7770033464925117 
individuals 	 322.39171838556933 1.7770033464925117 
contact 	 114.628678403632 1.881918741896497 
david 	 178.79222683000992 1.881918741896497 
dwyer 	 283.2396506191937 1.919698817147936 
day_ 	 849.718951857581 1.7770033464925117 
evenings_ 	 849.718951857581 1.7770033464925117 
mail 	 125.27442886128694 1.881918741896497 
at_ 	 424.8594759287905 1.881918741896497 
pmsu 	 849.718951857581 1.7770033464925117 
edu 	 77.64468782504599 1.881918741896497 
taped 	 621.1787682919388 1.7770033464925117 
tuesday 	 693.7160068667094 1.7770033464925117 
tci 	 849.718951857581 1.7770033464925117 
studios 	 693.7160068667094 1.7770033464925117 
trowbridge 	 849.718951857581 1.7770033464925117 
road 	 376.5459114127021 1.7770033464925117 
wish 	 439.28616223632565 1.7770033464925117 
join 	 371.5629439995018 1.7770033464925117 
crew 	 554.4382529390443 1.7770033464925117 
john 	 151.49899620737636 1.881918741896497 
masterson 	 424.8594759287905 1.881918741896497 
isidore 	 849.718951857581 1.7770033464925117 
flores 	 849.718951857581 1.7770033464925117 
chris 	 652.8651525785566 1.7770033464925117 
sara 	 621.1787682919388 1.7770033464925117 
lubiensky 	 849.718951857581 1.7770033464925117 
please 	 252.65259990406386 1.7770033464925117 
email 	 474.97281105221435 1.7770033464925117 
mutersn 	 849.718951857581 1.7770033464925117 
math 	 509.2178231202125 1.7770033464925117 
msu 	 751.2920522180689 1.7770033464925117 
tealprev 	 693.7160068667094 1.7770033464925117 
newscont 	 751.2920522180689 1.7770033464925117 
pages 	 165.2389695416658 1.7770033464925117 
compliments 	 693.7160068667094 1.7770033464925117 
misery 	 537.7130618758379 1.7770033464925117 
bay 	 410.7909234807002 1.7770033464925117 
publications 	 263.66586918117804 1.7770033464925117 
http 	 62.30375474148317 1.7770033464925117 
www 	 61.750147802459836 1.7770033464925117 
miserybay 	 286.6998553458633 1.881918741896497 
com 	 34.2701429801149 1.881918741896497 
