term 	 tf-idf weight 	 BM25 ranking 
 thumbnail 	 1497.2933153360104 1.5998760641830831 
flrnc 	 564.4846558114916 1.8460988424297673 
gif 	 32.59986533767495 1.8460988424297673 
click 	 348.1879433513737 1.5998760641830831 
image 	 39.39249000415458 1.962249810620729 
detailed 	 298.9520406737709 1.7777012715532379 
browse 	 691.2733448706999 1.7777012715532379 
florence 	 296.5965094107338 1.8823100544658142 
italy 	 243.63836947469494 1.8460988424297673 
radar 	 116.95556473343879 1.9310086918449436 
land 	 642.5130725571559 1.5998760641830831 
patterns 	 671.5641981561594 1.5998760641830831 
city 	 235.80241565184951 1.7777012715532379 
shown 	 253.57737811841656 1.8460988424297673 
center 	 146.51093778727235 1.8460988424297673 
situated 	 1186.3860376429352 1.5998760641830831 
plain 	 1382.5466897413999 1.5998760641830831 
chianti 	 1693.453967434475 1.5998760641830831 
hill 	 1071.6394120483249 1.5998760641830831 
region 	 649.501081920231 1.5998760641830831 
central 	 495.2018266334505 1.5998760641830831 
arno 	 748.6466576680052 1.7777012715532379 
river 	 891.6545910665657 1.5998760641830831 
flows 	 1104.9720111390814 1.5998760641830831 
town 	 782.5121089967741 1.5998760641830831 
visible 	 990.2253855444709 1.5998760641830831 
dark 	 1014.8496052325361 1.5998760641830831 
line 	 460.50536948132043 1.5998760641830831 
running 	 927.0757605225494 1.5998760641830831 
upper 	 268.7030347755085 1.8460988424297673 
bottom 	 967.5732992728599 1.5998760641830831 
home 	 126.38836986822905 1.5998760641830831 
world's 	 1014.8496052325361 1.5998760641830831 
famous 	 927.0757605225494 1.5998760641830831 
art 	 320.3294027452232 1.5998760641830831 
museums 	 1382.5466897413999 1.5998760641830831 
bridges 	 1693.453967434475 1.5998760641830831 
seen 	 534.7544563256204 1.5998760641830831 
crossing 	 1142.7613952518213 1.5998760641830831 
faint 	 1497.2933153360104 1.5998760641830831 
red 	 360.8177942825892 1.7777012715532379 
lines 	 687.2904660329708 1.5998760641830831 
portion 	 990.2253855444709 1.5998760641830831 
sacked 	 1382.5466897413999 1.5998760641830831 
world 	 313.773124968549 1.5998760641830831 
war 	 467.8564321334432 1.5998760641830831 
exception 	 967.5732992728599 1.5998760641830831 
ponte 	 1497.2933153360104 1.5998760641830831 
vecchio 	 1693.453967434475 1.5998760641830831 
remains 	 845.6617340186955 1.5998760641830831 
florence's 	 1693.453967434475 1.5998760641830831 
covered 	 771.4126471743955 1.5998760641830831 
bridge 	 1071.6394120483249 1.5998760641830831 
black 	 327.0411797779237 1.5998760641830831 
shaped 	 908.8113590406168 1.5998760641830831 
feature 	 927.0757605225494 1.5998760641830831 
near 	 687.2904660329708 1.5998760641830831 
railroad 	 967.5732992728599 1.5998760641830831 
station 	 782.5121089967741 1.5998760641830831 
acquired 	 831.8541175587461 1.5998760641830831 
spaceborne 	 495.11269277223545 1.7777012715532379 
imaging 	 286.72591211012406 1.8460988424297673 
band 	 109.43484499373254 1.9393711764989985 
synthetic 	 483.78664963642996 1.7777012715532379 
aperture 	 495.11269277223545 1.7777012715532379 
sir 	 132.34412224100106 1.9199702535606151 
sar 	 132.43939436036422 1.9310086918449436 
onboard 	 1382.5466897413999 1.5998760641830831 
space 	 148.0172057672919 1.8823100544658142 
shuttle 	 927.0757605225494 1.5998760641830831 
endeavour 	 1041.82238611716 1.5998760641830831 
april 	 592.0688230691676 1.5998760641830831 
joint 	 712.6507069421523 1.5998760641830831 
mission 	 246.83641584943425 1.8460988424297673 
german 	 339.6590539256979 1.7777012715532379 
italian 	 422.83086700934774 1.7777012715532379 
united 	 390.19080479984507 1.5998760641830831 
agencies 	 629.0343346931967 1.5998760641830831 
nasa's 	 433.7108877458486 1.8460988424297673 
planet 	 495.11269277223545 1.7777012715532379 
earth 	 260.8373696655913 1.8460988424297673 
centered 	 967.5732992728599 1.5998760641830831 
degrees 	 397.0323667230032 1.7777012715532379 
north 	 249.66664343481833 1.7777012715532379 
latitude 	 990.2253855444709 1.5998760641830831 
east 	 559.3786760136855 1.5998760641830831 
