term 	 tf-idf weight 	 BM25 ranking 
 virtual 	 5766.938729513863 0.8675751907833051 
library 	 3864.7779456849585 0.8675751907833051 
standard 	 3151.6058788492237 0.8675751907833051 
robots 	 5168.066764838104 0.8675751907833051 
workspace 	 1646.7954035777477 1.3936389737851844 
supplied 	 6461.134089909814 0.8675751907833051 
following 	 1087.8671977247964 1.2101864928554062 
robot 	 735.5962197559559 1.6426484779914612 
models 	 1239.7939860465947 1.3936389737851844 
abb 	 339.5358557600451 1.8774692510235902 
irb2000 	 4419.136943287491 1.2101864928554062 
irb6000 	 3907.2477504439707 1.2101864928554062 
fanuc 	 450.9764710132614 1.8491470789546092 
s12 	 2946.0912955249933 1.3936389737851844 
s420fd 	 2946.0912955249933 1.3936389737851844 
s500 	 4419.136943287491 1.2101864928554062 
motomoan 	 8838.273886574982 0.8675751907833051 
k10s 	 2946.0912955249933 1.3936389737851844 
kawasaki 	 781.4495500887941 1.7690855615910388 
js6 	 8838.273886574982 0.8675751907833051 
nachi 	 868.2772778764379 1.7466781612199662 
nr8608 	 4419.136943287491 1.2101864928554062 
comau 	 2946.0912955249933 1.3936389737851844 
kuka 	 1104.7842358218727 1.7194546971216031 
unimation 	 1262.6105552249971 1.6856755291305578 
rx90 	 2946.0912955249933 1.3936389737851844 
pana 	 8838.273886574982 0.8675751907833051 
hr50 	 8838.273886574982 0.8675751907833051 
puma 	 1302.4159168146568 1.6426484779914612 
list 	 3389.798932848696 0.8675751907833051 
available 	 2311.646308859405 0.8675751907833051 
vrml 	 4419.136943287491 1.2101864928554062 
files 	 4489.337514346148 0.8675751907833051 
downloaded 	 7814.4955008879415 0.8675751907833051 
clicking 	 8838.273886574982 0.8675751907833051 
particular 	 2790.9269681729374 0.8675751907833051 
robot's 	 7814.4955008879415 0.8675751907833051 
name 	 2892.8294393591646 0.8675751907833051 
browser 	 3395.358557600451 1.2101864928554062 
recognise 	 4419.136943287491 1.2101864928554062 
file 	 4144.288379151065 0.8675751907833051 
type 	 3629.83939171691 0.8675751907833051 
upgrade 	 5964.164596420283 0.8675751907833051 
vrmlbrow 	 8838.273886574982 0.8675751907833051 
htm 	 323.00026175758967 1.3936389737851844 
image 	 15.18581755079048 1.98527651601052 
gif 	 1.4500682953665847 1.9926110602713112 
ball_red 	 45.170494224785784 1.9850231074329965 
irb 	 488.40596880549634 1.8491470789546092 
irb1000 	 8838.273886574982 0.8675751907833051 
wrz 	 53.891913942530365 1.9842076946608562 
irb1400 	 8838.273886574982 0.8675751907833051 
irb1500 	 8838.273886574982 0.8675751907833051 
irb3000 	 8838.273886574982 0.8675751907833051 
irb3200 	 8838.273886574982 0.8675751907833051 
irb3400 	 8838.273886574982 0.8675751907833051 
wrl 	 982.0304318416645 1.7466781612199662 
irb60 	 8838.273886574982 0.8675751907833051 
irb6400 	 4419.136943287491 1.2101864928554062 
irb90 	 8838.273886574982 0.8675751907833051 
irbl6 	 8838.273886574982 0.8675751907833051 
l6aw 	 8838.273886574982 0.8675751907833051 
irbl6aw 	 8838.273886574982 0.8675751907833051 
l6e 	 8838.273886574982 0.8675751907833051 
irbl6e 	 8838.273886574982 0.8675751907833051 
trallfa 	 4419.136943287491 1.2101864928554062 
tr5002 	 4419.136943287491 1.2101864928554062 
tr5003hw 	 4419.136943287491 1.2101864928554062 
acma 	 8838.273886574982 0.8675751907833051 
