term 	 tf-idf weight 	 BM25 ranking 
 gps 	 194.63350792834905 1.9278754374658915 
gifs 	 165.29027728464467 1.9278754374658915 
titlegps 	 759.9599076472732 1.7981823239914418 
gif 	 14.629621547295825 1.9278754374658915 
april 	 265.6987297872236 1.7981823239914418 
low 	 251.02859312274936 1.7981823239914418 
earth 	 351.1626778890117 1.7981823239914418 
orbiting 	 335.9651078580801 1.8937293374603086 
leo 	 512.8293187172484 1.7981823239914418 
receiver 	 310.21807349321165 1.8937293374603086 
successfully 	 400.1418129521337 1.7981823239914418 
launched 	 444.37676312419717 1.7981823239914418 
aboard 	 444.37676312419717 1.7981823239914418 
micro 	 512.8293187172484 1.7981823239914418 
lab 	 532.4064550553102 1.7981823239914418 
satellite 	 444.37676312419717 1.7981823239914418 
altitude 	 555.5612927681425 1.7981823239914418 
receives 	 407.84113992282096 1.7981823239914418 
radio 	 92.17125714881419 1.9278754374658915 
signals 	 160.30412877519112 1.9278754374658915 
constellation 	 671.9302157161602 1.7981823239914418 
global 	 152.4265012316736 1.8937293374603086 
positioning 	 455.42720800188016 1.7981823239914418 
system 	 136.99001078559263 1.7981823239914418 
satellites 	 444.37676312419717 1.7981823239914418 
refracted 	 759.9599076472732 1.7981823239914418 
bent 	 532.4064550553102 1.7981823239914418 
earth's 	 277.78064638407125 1.8937293374603086 
atmosphere 	 196.44134719723013 1.8937293374603086 
measuring 	 434.211339249658 1.7981823239914418 
doppler 	 759.9599076472732 1.7981823239914418 
shifted 	 620.4361469864233 1.7981823239914418 
frequency 	 455.42720800188016 1.7981823239914418 
received 	 255.73283462615373 1.7981823239914418 
measurements 	 512.8293187172484 1.7981823239914418 
converted 	 512.8293187172484 1.7981823239914418 
vertical 	 247.935415926967 1.8937293374603086 
pressure 	 319.8114479917079 1.7981823239914418 
temperature 	 240.45619316278666 1.8937293374603086 
profiles 	 532.4064550553102 1.7981823239914418 
results 	 220.40101190700457 1.7981823239914418 
indicate 	 444.37676312419717 1.7981823239914418 
accuracies 	 620.4361469864233 1.7981823239914418 
obtained 	 392.88269439446026 1.7981823239914418 
altitudes 	 671.9302157161602 1.7981823239914418 
remote 	 416.03753210729246 1.7981823239914418 
sensing 	 512.8293187172484 1.7981823239914418 
technique 	 341.38862566472335 1.7981823239914418 
promises 	 434.211339249658 1.7981823239914418 
monitor 	 407.84113992282096 1.7981823239914418 
climate 	 150.68666637072835 1.8937293374603086 
change 	 203.44252504369024 1.7981823239914418 
provide 	 215.07155862142753 1.7981823239914418 
substantially 	 583.9005237850471 1.7981823239914418 
improved 	 392.88269439446026 1.7981823239914418 
initial 	 361.75214222427115 1.7981823239914418 
data 	 106.67182040517181 1.8937293374603086 
weather 	 373.30555805639847 1.7981823239914418 
prediction 	 434.211339249658 1.7981823239914418 
project 	 279.36782413965403 1.7981823239914418 
joint 	 319.8114479917079 1.7981823239914418 
program 	 149.8492349661496 1.7981823239914418 
university 	 152.4265012316736 1.8937293374603086 
corporation 	 141.14374647709536 1.8937293374603086 
atmospheric 	 233.7658004185147 1.8937293374603086 
research 	 72.87605273221773 1.8937293374603086 
ucar 	 620.4361469864233 1.7981823239914418 
national 	 144.7481476670321 1.7981823239914418 
center 	 197.24617419417234 1.7981823239914418 
ncar 	 620.4361469864233 1.7981823239914418 
jet 	 373.30555805639847 1.7981823239914418 
propulsion 	 455.42720800188016 1.7981823239914418 
laboratory 	 407.84113992282096 1.7981823239914418 
jpl 	 356.3470711930841 1.7981823239914418 
orbital 	 532.4064550553102 1.7981823239914418 
sciences 	 455.42720800188016 1.7981823239914418 
osc 	 759.9599076472732 1.7981823239914418 
allan 	 620.4361469864233 1.7981823239914418 
osborne 	 759.9599076472732 1.7981823239914418 
associates 	 620.4361469864233 1.7981823239914418 
arizona 	 434.211339249658 1.7981823239914418 
figure 	 356.3470711930841 1.7981823239914418 
typical 	 424.7996267861354 1.7981823239914418 
met 	 276.5137714464426 1.7981823239914418 
profile 	 392.88269439446026 1.7981823239914418 
nearby 	 495.870831853934 1.7981823239914418 
resolution 	 323.8435326776596 1.7981823239914418 
radiosonde 	 759.9599076472732 1.7981823239914418 
soundings 	 759.9599076472732 1.7981823239914418 
regular 	 386.0161572931353 1.7981823239914418 
radiosondes 	 759.9599076472732 1.7981823239914418 
interpolated 	 759.9599076472732 1.7981823239914418 
nmc 	 671.9302157161602 1.7981823239914418 
information 	 105.49187514605524 1.7981823239914418 
please 	 225.9639449846205 1.7981823239914418 
contact 	 205.04003038396147 1.7981823239914418 
prof 	 620.4361469864233 1.7981823239914418 
benjamin 	 495.870831853934 1.7981823239914418 
herman 	 532.4064550553102 1.7981823239914418 
blueline 	 583.9005237850471 1.7981823239914418 
home 	 28.35922786795952 1.8937293374603086 
iconhome 	 555.5612927681425 1.7981823239914418 
shtml 	 532.4064550553102 1.7981823239914418 
